date,daily_return,equity_twr
2025-07-11,-0.040089583,0.959910417
2025-07-12,0.0161387782,0.9754021983
2025-07-13,-0.0303546492,0.9457942068
2025-07-14,-0.048595841,0.8998325419
2025-07-15,0.1603274509,1.0441003995
2025-07-16,-0.0428022713,0.999410531
2025-07-17,-0.0068277234,0.9925868323
2025-07-18,0.0438941941,1.0361556314
2025-07-19,0.0001884158,1.0363508595
2025-07-20,0.015942536,1.0528729204
2025-07-21,-0.0064286362,1.0461043834
2025-07-22,-0.0353498341,1.009124767
2025-07-23,0.0328098636,1.0422340129
2025-07-24,0.022664158,1.0658553693
2025-07-25,0.0268508581,1.0944745006
2025-07-26,-0.0169865836,1.075883118
2025-07-27,-0.0267950902,1.0470547328
2025-07-28,0.0423452829,1.0913925616
2025-07-29,0.0350524882,1.1296485865
2025-07-30,0.0004668013,1.130175908
2025-07-31,0.0143755617,1.1464228215
2025-08-01,0.0225630905,1.1722896633
2025-08-02,0.0097784899,1.183752886
2025-08-03,0.0048084977,1.189444959
2025-08-04,0.0019290549,1.1917394636
2025-08-05,0.0087620653,1.2021815626
2025-08-06,-0.0049514596,1.1962290092
2025-08-07,-0.0518711754,1.1341792044
2025-08-08,0.0171016806,1.1535755749
2025-08-09,0.0089407745,1.163889434
2025-08-10,-0.0711061454,1.0811297427
2025-08-11,-0.0127570058,1.0673377643
2025-08-12,-0.0351018007,1.0298722868
2025-08-13,-0.0968442195,0.930135109
2025-08-14,0.1436146555,1.0637161423
2025-08-15,0.0138751587,1.0784753725
2025-08-16,0.0019841911,1.0806152738
2025-08-17,-0.0045197227,1.0757311924
2025-08-18,0.0373472489,1.115906793
2025-08-19,-0.0082594386,1.1066900293
2025-08-20,-0.0069018308,1.099051842
2025-08-21,0.0266432255,1.1283341281
2025-08-22,-0.0413666499,1.0816587252
2025-08-23,0.0303124699,1.1144464728
2025-08-24,0.0947712974,1.2200640109
2025-08-25,0.0393093323,1.2680239125
2025-08-26,-0.0291863021,1.2310149835
2025-08-27,0.034444322,1.27341646
2025-08-28,-0.0173338532,1.251343246
2025-08-29,0.0887191572,1.3623613642
2025-08-30,0.0074702584,1.3725385556
2025-08-31,-0.0104153124,1.3582431378
2025-09-01,0.0014394022,1.3601981959
2025-09-02,-0.0297301924,1.3197592419
2025-09-03,-0.004404257,1.313946683
2025-09-04,0.0113990716,1.3289244553
2025-09-05,-0.0041829821,1.3233655881
2025-09-06,0.0037445612,1.3283210115
2025-09-07,0.0008616363,1.3294655411
2025-09-08,-0.0035303251,1.3247720956
2025-09-09,0.0061088067,1.3328648722
2025-09-10,-0.0375516082,1.2828136528
2025-09-11,-0.0168492748,1.261199173
2025-09-12,-0.0184121731,1.2379777555
2025-09-13,0.0095817205,1.2498397124
2025-09-14,0.0032675639,1.2539236435
2025-09-15,0.0018495104,1.2562427883
2025-09-16,-0.0215986758,1.2291096076
2025-09-17,-0.0123418188,1.2139401595
2025-09-18,-0.0283515814,1.1795230363
2025-09-19,0.0626601043,1.2534320728
2025-09-20,-0.0011673987,1.2519688178
2025-09-21,0.0166891316,1.2728630901
2025-09-22,0.0533663232,1.3407911132
2025-09-23,0.0181330456,1.3651037396
2025-09-24,-0.0066308942,1.3560518811
2025-09-25,0.0344221135,1.4027300529
2025-09-26,0.0175530261,1.4273522101
2025-09-27,0.0007403634,1.4284089695
2025-09-28,-0.0093453523,1.4150599844
2025-09-29,-0.0055930529,1.4071454791
2025-09-30,-0.0053193056,1.3996604422
2025-10-01,-0.0519631199,1.3269297189
2025-10-02,-0.003236222,1.3226354797
2025-10-03,-0.0539304198,1.251305193
2025-10-04,0.0124274552,1.2668557323
2025-10-05,-0.0419105226,1.2137611465
2025-10-06,-0.0584636977,1.1428001817
2025-10-07,0.1660441576,1.3325554752
2025-10-08,-0.0278420638,1.2954543806
2025-10-09,0.0735873145,1.3907833896
2025-10-10,-0.0402225363,1.3348425542
2025-10-11,0.0300625748,1.3749713583
2025-10-12,-0.0104537291,1.3605977802
2025-10-13,0.0232465047,1.3922269229
2025-10-14,-0.0190556176,1.3656971791
2025-10-15,0.0357036271,1.4144575219
2025-10-16,0.0724276142,1.5169033056
2025-10-17,-0.015326077,1.4936551287
2025-10-18,0.0082109031,1.5059193862
2025-10-19,0.0150716741,1.5286161125
2025-10-20,-0.0066477207,1.5184542995
2025-10-21,-0.0226409248,1.4840750899
2025-10-22,0.0159148153,1.5076938708
2025-10-23,-0.0254045415,1.4693915993
2025-10-24,0.000272964,1.4697926903
2025-10-25,-0.007975567,1.4580702602
2025-10-26,-0.0740235843,1.3501386734
2025-10-27,-0.0038086156,1.3449965142
2025-10-28,0.0434428949,1.4034270564
