date,daily_return,equity_twr
2025-11-16,0.5294562047,1.5294562047
2025-11-17,1.0,3.0589124094
2025-11-18,0.0,3.0589124094
2025-11-19,0.0,3.0589124094
2025-11-20,0.0,3.0589124094
2025-11-21,0.0,3.0589124094
2025-11-22,0.0,3.0589124094
2025-11-23,0.0,3.0589124094
2025-11-24,0.0,3.0589124094
2025-11-25,0.0,3.0589124094
2025-11-26,0.0,3.0589124094
2025-11-27,0.0,3.0589124094
2025-11-28,0.0,3.0589124094
2025-11-29,0.0,3.0589124094
2025-11-30,0.0,3.0589124094
2025-12-01,0.0,3.0589124094
