date,daily_return,equity_twr
2025-07-11,-0.5416921163,0.4583078837
2025-07-12,0.0215709647,0.4681940269
2025-07-13,0.0215869013,0.4783008851
2025-07-14,-0.0746762186,0.4425831837
2025-07-15,0.0576159443,0.4680830317
2025-07-16,0.0076752603,0.4716756908
2025-07-17,0.0505906658,0.4955380781
2025-07-18,-0.1438878587,0.4242361651
2025-07-19,0.0089276344,0.4280235905
2025-07-20,0.1081836631,0.4743287504
2025-07-21,0.027877253,0.487551733
2025-07-22,0.0334943104,0.5038819421
2025-07-23,-0.4350099926,0.2846882622
2025-07-24,0.0909177362,0.3105714745
2025-07-25,-0.046685317,0.2960723468
2025-07-26,0.0592167368,0.313604785
2025-07-27,0.040081574,0.3261745584
2025-07-28,0.0635086252,0.3468894562
2025-07-29,-0.0188200024,0.3403609958
2025-07-30,-0.0015161085,0.3398449716
2025-07-31,-0.0106716972,0.3362182489
2025-08-01,-0.0434421962,0.3216121898
2025-08-02,-0.0500417389,0.3055181566
2025-08-03,0.0318438964,0.3152470451
2025-08-04,0.0477412351,0.3302973284
2025-08-05,-0.0725941574,0.3063196722
2025-08-06,0.0531053655,0.3225868903
2025-08-07,0.0812627779,0.3488011971
2025-08-08,0.0376218372,0.361923739
2025-08-09,0.0290651452,0.372443105
2025-08-10,0.0070246609,0.3750593915
2025-08-11,-0.0126696101,0.3703075353
2025-08-12,0.0527633756,0.3898462108
2025-08-13,0.0409341427,0.4058042313
2025-08-14,-0.1189288583,0.3575423973
2025-08-15,-0.0096378776,0.3540964475
2025-08-16,0.0245247649,0.3627805796
2025-08-17,0.0148876297,0.3681815225
2025-08-18,-0.0192999042,0.3610756544
2025-08-19,-0.1046795975,0.3232784003
2025-08-20,0.0556216941,0.3412596925
2025-08-21,-0.0628243461,0.3198202755
2025-08-22,0.1704971428,0.3743487187
2025-08-23,-0.020730172,0.3665884054
2025-08-24,0.0020961424,0.3673568269
2025-08-25,-0.0667873181,0.3428220496
2025-08-26,0.0692663795,0.3665680918
2025-08-27,-0.0135365079,0.3616060399
2025-08-28,-0.0145621163,0.3563402907
2025-08-29,-0.0811587359,0.3274201632
2025-08-30,-0.0002563116,0.3273362416
2025-08-31,0.0323671957,0.3379311978
2025-09-01,-0.0487660126,0.3214516407
2025-09-02,0.0768815601,0.3461653444
2025-09-03,0.0059440256,0.34822296
2025-09-04,-0.0187801178,0.3416832918
2025-09-05,0.0013487633,0.3421441417
2025-09-06,-0.014182751,0.3372915965
2025-09-07,0.0288566562,0.3470247042
2025-09-08,0.0730334813,0.3723691264
2025-09-09,-0.009024385,0.3690087241
2025-09-10,0.018087069,0.3756830103
2025-09-11,0.0170363664,0.3820832837
2025-09-12,0.0526076896,0.4021838025
2025-09-13,-0.0110717268,0.3977309333
2025-09-14,0.0017628348,0.3984320673
2025-09-15,-0.0404672556,0.382308615
2025-09-16,0.0601351392,0.4052987968
2025-09-17,-0.0093055964,0.4015272497
2025-09-18,0.0436496796,0.4190537855
2025-09-19,-0.061083643,0.3934564537
2025-09-20,0.0175270288,0.4003525763
2025-09-21,-0.0280909987,0.3891062726
2025-09-22,-0.3706619698,0.2448793751
2025-09-23,-0.0457594854,0.2336738209
2025-09-24,-0.0491316472,0.2221930412
2025-09-25,-0.3234801393,0.1503180053
2025-09-26,0.1111669845,0.1670284047
2025-09-27,0.0117474496,0.1689905624
2025-09-28,0.0516193638,0.1777137477
2025-09-29,0.1266024997,0.2002127524
2025-09-30,-0.0561735144,0.1889660985
2025-10-01,0.1364711697,0.214754523
2025-10-02,0.0946685702,0.2350850266
2025-10-03,0.0224964527,0.2403736058
2025-10-04,-0.0201132462,0.2355389123
2025-10-05,-0.0054214769,0.2342619435
2025-10-06,0.049249808,0.2457992993
2025-10-07,-0.0900480674,0.2236655474
2025-10-08,0.0374057464,0.2320319241
2025-10-09,-0.0327494687,0.2244330019
2025-10-10,-0.2089831132,0.1775302945
2025-10-11,-0.1062529718,0.1586671731
2025-10-12,0.3755213511,0.2182500843
2025-10-13,0.0978843737,0.2396133571
2025-10-14,0.0047937594,0.2407620059
2025-10-15,-0.0547787661,0.2275733603
2025-10-16,0.0029644359,0.2282479869
2025-10-17,0.0606173347,0.2420837716
2025-10-18,0.0262270562,0.2484329162
2025-10-19,0.0110378465,0.2511750806
2025-10-20,-0.0038588899,0.2502058236
2025-10-21,0.0370453741,0.259474792
2025-10-22,-0.1086621298,0.2312797085
2025-10-23,0.0737639315,0.248339809
2025-10-24,0.0318222974,0.2562425523
2025-10-25,0.006599569,0.2579336427
2025-10-26,0.0027501784,0.2586430062
2025-10-27,-0.0423001031,0.2477023804
2025-10-28,-0.0232078439,0.2419537422
