date,daily_return,equity_twr
2025-09-11,0.0,1.0
2025-09-12,-0.0082596662,0.9917403338
2025-09-13,0.0,0.9917403338
2025-09-14,0.0,0.9917403338
2025-09-15,0.0,0.9917403338
2025-09-16,0.0,0.9917403338
2025-09-17,0.0360061123,1.0274490476
2025-09-18,0.0,1.0274490476
2025-09-19,-0.0172211885,1.0097551539
2025-09-20,0.0,1.0097551539
2025-09-21,0.0,1.0097551539
2025-09-22,0.0,1.0097551539
2025-09-23,0.0,1.0097551539
2025-09-24,-0.0201188723,0.9894400189
2025-09-25,-0.0088534779,0.9806800336
2025-09-26,0.1134845194,1.0919720359
2025-09-27,0.0,1.0919720359
2025-09-28,0.0,1.0919720359
2025-09-29,0.0,1.0919720359
2025-09-30,0.0,1.0919720359
2025-10-01,0.1413183415,1.2462877129
2025-10-02,0.110532751,1.3840433224
2025-10-03,0.0949458698,1.5154525195
2025-10-04,-0.0040300497,1.5093451705
2025-10-05,-0.0293881099,1.4649883688
2025-10-06,-0.0726972762,1.3584877047
2025-10-07,0.1057926031,1.5022056552
2025-10-08,-0.03252113,1.4533522298
2025-10-09,0.122997879,1.6321114715
2025-10-10,0.2989389408,2.1200131461
2025-10-11,-0.0040010533,2.1115308605
2025-10-12,0.0306999046,2.1763546565
2025-10-13,0.0,2.1763546565
2025-10-14,0.0,2.1763546565
2025-10-15,-0.0311778594,2.108500577
2025-10-16,0.0,2.108500577
2025-10-17,-0.0026392417,2.1029357344
2025-10-18,-0.0134890246,2.0745691825
2025-10-19,-0.0189060511,2.0353472715
2025-10-20,0.0,2.0353472715
2025-10-21,0.1263693998,2.2925528846
2025-10-22,0.066405553,2.4447911267
2025-10-23,-0.0587690819,2.3011129968
2025-10-24,-0.0291791655,2.2339684398
2025-10-25,-0.0088110305,2.2142848757
2025-10-26,-0.0464452377,2.1114418883
2025-10-27,0.0700269605,2.2592997461
2025-10-28,-0.0990487499,2.0355189306
2025-10-29,-0.0079980583,2.0192387315
2025-10-30,0.0569316672,2.1341973589
2025-10-31,0.0,2.1341973589
2025-11-01,0.0,2.1341973589
2025-11-02,0.0,2.1341973589
2025-11-03,-0.0164649098,2.0990579919
2025-11-04,-0.0149006287,2.0677807082
2025-11-05,0.044571169,2.1599441116
2025-11-06,0.0878014154,2.3495902618
2025-11-07,0.0197337595,2.3959565109
2025-11-08,-0.0072593983,2.3785633083
2025-11-09,0.032687999,2.4563137833
2025-11-10,-0.0197995015,2.4076799949
2025-11-11,0.0,2.4076799949
2025-11-12,0.0,2.4076799949
2025-11-13,0.0,2.4076799949
2025-11-14,0.0166253655,2.4477085548
2025-11-15,0.043517616,2.5542269958
2025-11-16,0.0564373962,2.6983809167
2025-11-17,0.0690104759,2.8845974679
2025-11-18,0.0528453675,3.0370350812
2025-11-19,-0.1063833985,2.7139449679
2025-11-20,-0.0327736447,2.6249990998
2025-11-22,-0.0631551934,2.459216774
2025-11-28,0.7711557576,4.3556559484
2025-11-29,-0.0527234407,4.1260107803
2025-11-30,0.0394246422,4.2886772791
2025-12-01,-0.3059299078,2.9766426345
2025-12-02,0.3815222405,4.1122980016
2025-12-03,0.1755446246,4.8341898105
2025-12-04,-0.0274080119,4.7016942786
2025-12-05,-0.1595502381,3.951537837
2025-12-06,0.0172518432,4.0197091482
2025-12-07,0.0235529607,4.1143851998
2025-12-08,0.0804411581,4.4453511101
2025-12-09,0.2158954396,5.4050821422
2025-12-10,-0.0228935435,5.2813406591
2025-12-11,-0.0355121522,5.0937888858
2025-12-12,-0.1630332953,4.2633316981
2025-12-13,0.0264502575,4.3760979194
2025-12-14,-0.1096633657,3.8962002929
2025-12-15,-0.1186641913,3.433860836
2025-12-16,0.0437736557,3.584173478
2025-12-17,-0.0736539194,3.3201850535
2025-12-18,-0.0320568442,3.2137503985
2025-12-19,0.1578212775,3.720948592
2025-12-20,-0.0009050011,3.7175811294
2025-12-21,0.0192808722,3.7892593361
2025-12-22,-0.0211678258,3.7090489545
2025-12-23,-0.009200599,3.6749234824
2025-12-24,-0.016080851,3.6158275855
2025-12-25,0.0037488471,3.6293827702
2025-12-26,-0.0209468177,3.553358751
2025-12-27,0.0163205788,3.6113516225
2025-12-28,-0.0046910578,3.5944105633
2025-12-29,0.001222422,3.5988044498
2025-12-30,0.035073343,3.7250265527
2025-12-31,-0.0139730149,3.6729767012
2026-01-01,0.0122472474,3.7179605555
2026-01-02,0.0846803551,4.0327987756
2026-01-03,-0.0051737787,4.0119339672
2026-01-04,0.0432266863,4.1853565783
