date,daily_return,equity_twr
2025-07-11,0.0012581301,1.0012581301
2025-07-12,0.0133464649,1.0146213866
2025-07-13,-0.0416248102,0.9723879639
2025-07-14,-0.0234428292,0.949592439
2025-07-15,0.1121968228,1.0561336936
2025-07-16,-0.1275851953,0.92138667
2025-07-17,-0.0429086465,0.8818512151
2025-07-18,0.1412009646,1.0063694573
2025-07-19,-0.0337330254,0.9724215709
2025-07-20,0.0144037479,0.986428086
2025-07-21,-0.081174616,0.9063551649
2025-07-22,-0.0939166385,0.8212333346
2025-07-23,0.1513991069,0.945567328
2025-07-24,0.0925494921,1.0330791039
2025-07-25,0.0271755457,1.0611535923
2025-07-26,-0.0047025528,1.0561634615
2025-07-27,-0.0637736665,0.9888080452
2025-07-28,0.1694721057,1.1563834267
2025-07-29,0.0357403113,1.1977129304
2025-07-30,0.0385069778,1.2438332356
2025-07-31,0.0449063765,1.2996892792
2025-08-01,0.1402875285,1.4820194759
2025-08-02,-0.1678436624,1.2332718994
2025-08-03,-0.0507253566,1.1707137425
2025-08-04,-0.1300012625,1.0185194779
2025-08-05,0.152340181,1.1736809195
2025-08-06,-0.0567800581,1.1070392487
2025-08-07,-0.136867601,0.9555214426
2025-08-08,-0.0370755388,0.9200949702
2025-08-09,-0.093136988,0.834400096
2025-08-10,-0.027740082,0.8112537689
2025-08-11,0.2845511226,1.0420969396
2025-08-12,-0.1467616097,0.8891571153
2025-08-13,-0.1536453662,0.7525422447
2025-08-14,0.3676056489,1.0291810249
2025-08-15,0.0496037967,1.0802323112
2025-08-16,0.0044806571,1.0850724618
2025-08-17,-0.0331751451,1.0490750254
2025-08-18,0.0624049445,1.1145424942
2025-08-19,0.1185355867,1.2466554426
2025-08-20,-0.0562977859,1.1764715014
2025-08-21,0.0668534535,1.2551226842
2025-08-22,-0.1629660623,1.0505802827
2025-08-23,0.0525085967,1.105744779
2025-08-24,0.0642212861,1.1767571309
2025-08-25,0.1499196288,1.3531761231
2025-08-26,-0.0521475779,1.2826112658
2025-08-27,0.0127485457,1.2989626941
2025-08-28,-0.0276187611,1.2630869538
2025-08-29,-0.1375016703,1.0894103879
2025-08-30,-0.0043523367,1.0846689071
2025-08-31,-0.0213525949,1.0615084113
2025-09-01,0.0827720437,1.149371632
2025-09-02,-0.1144051526,1.017877595
