date,daily_return,equity_twr
2025-07-11,0.0003633119,1.0003633119
2025-07-12,0.0029406801,1.0033050604
2025-07-13,0.0009302443,1.0042383792
2025-07-14,0.0020559713,1.0063030645
2025-07-15,0.0038462455,1.0101735531
2025-07-16,0.0019270072,1.0121201648
2025-07-17,0.0032181161,1.015377285
2025-07-18,0.0002694159,1.0156508438
2025-07-19,0.0023490858,1.0180366948
2025-07-20,0.0016923124,1.0197595309
2025-07-21,0.0015222219,1.0213118312
2025-07-22,0.0029121185,1.0242860123
2025-07-23,0.0012116643,1.0255271031
2025-07-24,0.0051181632,1.0307759181
2025-07-25,0.0037466432,1.0346378677
2025-07-26,0.001093687,1.0357694377
2025-07-27,0.0014866176,1.0373092308
2025-07-28,-0.0024137306,1.0348054458
2025-07-29,0.0032813028,1.0382009558
2025-07-30,0.0056195604,1.0440351887
2025-07-31,-0.0001320622,1.0438973112
2025-08-01,0.0029592818,1.0469864975
2025-08-02,-0.0014544627,1.0454636947
2025-08-03,0.0040425567,1.0496900409
2025-08-04,0.0008827922,1.0506166991
2025-08-05,-0.0013932958,1.0491528793
2025-08-06,0.0036518193,1.052984196
2025-08-07,0.0014986906,1.0545622935
2025-08-08,0.0011366732,1.0557609862
2025-08-09,0.0010335039,1.0568521193
2025-08-10,0.0008259418,1.0577250177
2025-08-11,4.07503e-05,1.0577681203
2025-08-12,0.0046548825,1.0626919066
2025-08-13,0.0016132598,1.0644063047
2025-08-14,0.0126955692,1.0779195486
2025-08-15,0.0015246649,1.0795630147
2025-08-16,0.0009144766,1.0805502498
2025-08-17,0.0009673935,1.0815955671
2025-08-18,0.0004161955,1.0820457223
2025-08-19,-0.0082655054,1.0731020676
2025-08-20,0.0084360402,1.0821547998
2025-08-21,-0.001071192,1.0809956042
2025-08-22,0.0048015592,1.0861860686
2025-08-23,0.0003175177,1.0865309519
2025-08-24,0.0012069026,1.0878422889
2025-08-25,-0.0135625089,1.0730884182
2025-08-26,0.0165653991,1.0908645561
2025-08-27,-0.0002590055,1.0905820162
2025-08-28,0.0007331586,1.0913815858
2025-08-29,0.0015099243,1.0930294893
2025-08-30,0.0027217527,1.0960044453
2025-08-31,0.0006139575,1.0966773455
2025-09-01,-0.0008483391,1.0957469912
2025-09-02,0.0035768053,1.0996662648
2025-09-03,0.0003699578,1.1000730949
2025-09-04,-0.0010242393,1.0989463568
2025-09-05,0.0009833841,1.1000270432
2025-09-06,-1.06673e-05,1.1000153089
2025-09-07,0.0004146089,1.100471385
2025-09-08,0.0016182843,1.1022522606
2025-09-09,0.0011973282,1.1035720183
2025-09-10,0.0014460021,1.1051677858
2025-09-11,-0.0015886197,1.1034120945
2025-09-12,0.0035308349,1.1073080604
2025-09-13,0.0011997745,1.1086365804
2025-09-14,8.79029e-05,1.1087340327
2025-09-15,0.0005880712,1.1093860473
2025-09-16,0.0017406856,1.1113171396
2025-09-17,0.0012217171,1.1126748548
2025-09-18,0.0006766773,1.1134277766
2025-09-19,-0.00091602,1.1124078545
2025-09-20,0.0005298385,1.112997251
2025-09-21,-0.0017552122,1.1110437046
2025-09-22,-0.02194289,1.0866641948
2025-09-23,0.0054621543,1.0925997223
2025-09-24,0.0023177992,1.0951321491
2025-09-25,0.0005878566,1.0957759297
2025-09-26,0.0017701949,1.0977156667
2025-09-27,0.000529255,1.0982966382
2025-09-28,0.0007232951,1.0990910308
2025-09-29,0.0007287947,1.0998920425
2025-09-30,0.0004202793,1.1003543044
2025-10-01,0.0007408568,1.1011695093
2025-10-02,0.0011119478,1.1023939524
2025-10-03,0.0015710573,1.1041258764
2025-10-04,0.0006510855,1.1048447568
2025-10-05,0.0017209535,1.1067461432
2025-10-06,0.0017614645,1.1086956373
