date,daily_return,equity_twr
2025-11-20,0.0469089573,1.0469089573
2025-11-21,-0.0200883987,1.0258782328
2025-11-22,0.0116920428,1.037872845
2025-11-23,-0.0139792438,1.0233641674
2025-11-24,0.0545692376,1.0792083698
2025-11-25,0.0152451885,1.0956611049
2025-11-26,-0.0034857484,1.0918419059
2025-11-27,-0.0208110745,1.0691195027
2025-11-28,0.0134011927,1.0834469792
2025-11-29,-0.0235700409,1.0579100895
2025-11-30,0.0158154842,1.0746414498
2025-12-01,-0.0463395742,1.0248430226
2025-12-02,0.0277769128,1.0533099979
2025-12-03,0.0548949639,1.1111314122
2025-12-04,0.0097472183,1.1219618527
2025-12-05,-0.0123812545,1.1080705574
2025-12-06,0.0087074624,1.1177190401
2025-12-07,-0.0074749071,1.1093641942
2025-12-08,0.0278063761,1.1402115922
2025-12-09,0.0699872963,1.2200119187
2025-12-10,0.0111575626,1.2336242781
2025-12-11,-0.0448707641,1.1782706141
2025-12-12,-0.0437579774,1.1267118752
2025-12-13,0.0108462092,1.1389324279
2025-12-14,-0.0261120117,1.109192611
2025-12-15,-0.0341718263,1.0712894738
2025-12-16,-0.0187010005,1.0512552888
2025-12-17,-0.0531402155,0.9953913562
2025-12-18,-0.0013398019,0.994057729
2025-12-19,0.0938531277,1.087353156
2025-12-20,-0.0079983672,1.0786561061
2025-12-21,0.0048227116,1.0838581535
2025-12-22,0.01015563,1.0948654158
2025-12-23,-0.0272197429,1.0650634607
2025-12-24,-0.0018544663,1.0630883364
2025-12-25,-0.0037874703,1.0590619209
2025-12-26,-0.0116266216,1.0467486087
2025-12-27,0.0067113263,1.0537736802
2025-12-28,0.0005598517,1.0543636372
2025-12-29,0.0020471841,1.0565221136
2025-12-30,0.0129380686,1.0701914692
2025-12-31,0.0074126021,1.0781243727
2026-01-01,0.0040832859,1.0825266628
2026-01-02,0.0737329075,1.1623445011
2026-01-03,-0.0048312903,1.1567288774
2026-01-04,0.0083253977,1.1663591053
