date,daily_return,equity_twr
2025-07-11,0.0264811746,1.0264811746
2025-07-12,-0.0057305288,1.0205988947
2025-07-13,0.0096609037,1.0304588023
2025-07-14,-0.0237899343,1.0059442551
2025-07-15,0.0243395644,1.0304285001
2025-07-16,-0.006250558,1.023987747
2025-07-17,-0.0095699134,1.0141882729
2025-07-18,-0.0231162978,0.9907439948
2025-07-19,0.0003829516,0.9911234018
2025-07-20,0.0121349493,1.003150634
2025-07-21,-0.0078032928,0.9953227559
2025-07-22,0.001745396,0.9970599882
2025-07-23,-0.0089421545,0.9881441238
2025-07-24,-0.0134706155,0.9748332142
2025-07-25,0.025647549,0.9998352969
2025-07-26,0.0112959088,1.0111293452
2025-07-27,-0.0036855084,1.0074028195
2025-07-28,-0.031020843,0.9761523348
2025-07-29,-0.0235088746,0.953204092
2025-07-30,-0.0117671564,0.9419875903
2025-07-31,-0.042734514,0.9017322085
2025-08-01,-0.0281324342,0.8763642864
2025-08-02,-0.0013232363,0.8752046494
2025-08-03,0.0058573014,0.8803309868
2025-08-04,-0.0317379528,0.8523910835
2025-08-05,-0.0516800558,0.8083394648
2025-08-06,0.0076770824,0.8145451534
2025-08-07,-0.0122290597,0.8045840321
2025-08-08,-0.0031895461,0.8020177743
2025-08-09,0.0111146237,0.8109319
2025-08-10,0.0077138114,0.8171872758
2025-08-11,-0.0261504477,0.7958174626
2025-08-12,0.0704045363,0.8518466221
2025-08-13,0.0275330895,0.8753005914
2025-08-14,-0.048010263,0.8332771798
2025-08-15,-0.0107647947,0.824307122
2025-08-16,-0.0037656386,0.8212030793
2025-08-17,0.0131490054,0.832001083
2025-08-18,-0.029648621,0.8073333982
2025-08-19,-0.0483693979,0.7682831678
2025-08-20,0.0,0.7682831678
2025-08-21,0.0,0.7682831678
2025-08-22,0.0015942063,0.7695079697
2025-08-23,0.0021285332,0.771145893
2025-08-24,0.0057295078,0.7755641794
2025-08-25,-0.0078459978,0.7694791045
2025-08-26,0.0685091403,0.8221954565
2025-08-27,-0.0125613291,0.8118675888
2025-08-28,-0.0222725128,0.7937852575
2025-08-29,-0.0219545529,0.7763580571
2025-08-30,-0.006925598,0.7709813133
2025-08-31,0.0154604152,0.7829010045
2025-09-01,-0.0309262314,0.7586888268
2025-09-02,0.0242564682,0.7770919382
2025-09-03,0.0175713926,0.7907465258
2025-09-04,-0.0094302782,0.7832895661
2025-09-05,0.0223649408,0.8008077908
2025-09-06,-0.0125970493,0.7907199756
2025-09-07,0.0125502833,0.8006437353
2025-09-08,0.037279262,0.8304911429
2025-09-10,0.0666047702,0.8858058146
2025-09-11,0.0175830731,0.901381003
2025-09-12,0.0124817997,0.9126318601
