date,daily_return,equity_twr
2025-07-11,0.0113606731,1.0113606731
2025-07-12,0.0092114063,1.0206767272
2025-07-13,-0.0012261981,1.0194251753
2025-07-14,0.0091844004,1.0287879843
2025-07-15,-0.0184921716,1.0097634604
2025-07-16,-0.0204268298,0.989137194
2025-07-17,0.0176073198,1.0065532489
2025-07-18,0.1303975008,1.137805277
2025-07-19,-0.0322312041,1.1011324429
2025-07-20,-0.0276511163,1.0706849016
2025-07-21,-0.0478026529,1.0195033229
2025-07-22,0.0279575625,1.0480061508
2025-07-23,0.1183761011,1.1720650329
2025-07-24,-0.0210894121,1.1473468704
2025-07-25,-0.0404837295,1.10089799
2025-07-26,0.0068247157,1.1084113058
2025-07-27,-0.0457278997,1.0577259848
2025-07-28,0.0459578288,1.1063367745
2025-07-29,0.0449289961,1.1560433752
2025-07-30,0.0460742424,1.2093071979
2025-07-31,0.0434357673,1.2618343839
2025-08-01,0.0348745875,1.3058403375
2025-08-02,0.0293060131,1.3441093116
2025-08-03,-0.0171713724,1.32102911
2025-08-04,-0.0423367437,1.2651010392
2025-08-05,0.0439046813,1.3206448971
2025-08-06,-0.0034487666,1.3160903011
2025-08-07,0.0185044993,1.3404438932
2025-08-08,0.0216157305,1.3694185671
2025-08-09,0.0431146995,1.4284606371
2025-08-10,0.0095348085,1.4420807357
2025-08-11,0.0328925301,1.4895144197
2025-08-12,-0.0082171471,1.4772748606
2025-08-13,-0.0830456866,1.3545935555
2025-08-14,0.0999331198,1.4899623156
2025-08-15,-0.0114680764,1.4728753139
2025-08-16,-0.0221824784,1.4402032891
2025-08-17,-0.0138080758,1.4203168529
2025-08-18,0.0111331954,1.436129518
2025-08-19,-0.0378360578,1.3817920385
2025-08-20,0.0343442451,1.429248643
2025-08-21,-0.0166708096,1.405421911
2025-08-22,0.0188376377,1.4318967398
2025-08-23,0.0448233718,1.4960791797
2025-08-24,-0.0140639082,1.4750384595
2025-08-25,0.0854553796,1.6010884309
2025-08-26,-0.4919842432,0.8133781509
2025-08-27,0.0193314165,0.8291019028
2025-08-28,-0.0343105665,0.8006549468
2025-08-29,0.0394385856,0.8322316454
2025-08-30,-0.0008318055,0.8315393906
2025-08-31,-0.0157719218,0.8184244163
2025-09-01,-0.0070408751,0.8126619922
2025-09-02,-0.0334450667,0.7854824577
2025-09-03,0.0044966743,0.7890145165
2025-09-04,-0.0003410149,0.7887454508
2025-09-05,-0.0037002188,0.78582692
2025-09-06,-0.0197310333,0.7703217429
2025-09-07,0.0400831993,0.8011987029
2025-09-08,0.0081508208,0.8077291299
2025-09-09,0.0051276842,0.8118709098
2025-09-10,0.0226918257,0.830293743
2025-09-11,0.0209521491,0.8476901813
2025-09-12,0.0431475804,0.8842659615
2025-09-13,-0.0287784958,0.8588181173
2025-09-14,-0.0177604377,0.8435651316
2025-09-15,-0.0206797354,0.8261204279
2025-09-16,0.0245505867,0.8464021691
2025-09-17,-0.0094350333,0.8384163364
2025-09-18,0.0251483073,0.8595010881
