date,daily_return,equity_twr
2025-08-26,-0.0207803693,0.9792196307
2025-08-27,0.0148464104,0.9937575272
2025-08-28,-0.0070004932,0.9868007344
2025-08-29,0.043855128,1.0300770069
2025-08-30,-0.092219686,0.9350836288
2025-08-31,-0.0257223736,0.9110310583
2025-09-01,0.083878852,0.9874472976
2025-09-02,-0.0430851124,0.9449030198
2025-09-03,-0.0283349549,0.9181292354
2025-09-04,0.0408771828,0.955659772
2025-09-05,-0.0273463421,0.9295259729
2025-09-06,0.0193026354,0.9474682739
2025-09-07,-0.036530574,0.912856714
2025-09-08,-0.0728732007,0.8463339234
2025-09-09,-0.1655327049,0.7062379799
2025-09-10,-0.0684887705,0.6578686089
2025-09-11,-0.0303640903,0.6378930271
2025-09-12,-0.0628172895,0.5978223161
2025-09-13,0.0204003239,0.610018085
2025-09-14,0.0692700539,0.6522740706
2025-09-15,0.0194100262,0.6649347274
2025-09-16,-0.0894930886,0.605427665
2025-09-17,-0.0006755027,0.6050186969
2025-09-18,-0.1295580238,0.5266336702
2025-09-19,0.1300967453,0.5951469967
2025-09-20,-0.0850769049,0.5445137322
2025-09-21,-0.1025826977,0.4886560446
2025-09-22,0.0049289018,0.4910645823
2025-09-23,0.1436650812,0.5616134154
2025-09-24,0.0763787959,0.6045087718
2025-09-25,0.3849739738,0.8372289159
2025-09-26,0.0023905785,0.8392303774
2025-09-27,-0.0064652279,0.8338045617
2025-09-28,-0.0323775918,0.806807978
2025-09-29,-0.0659335823,0.7536122377
2025-09-30,0.07925253,0.8133379142
2025-10-01,-0.0805394319,0.7478321407
2025-10-02,-0.0379669057,0.7194392683
2025-10-03,0.0155660741,0.7306381133
2025-10-04,0.0006718985,0.7311290279
2025-10-05,-0.094141795,0.6622992289
2025-10-06,-0.1743631848,0.546818626
2025-10-07,0.0729975601,0.5867350515
2025-10-08,-0.2307401091,0.4513517417
2025-10-09,0.2674293464,0.572056443
2025-10-10,1.0,1.144112886
2025-10-11,0.0300616343,1.1785067892
2025-10-12,0.1499347885,1.3552059554
2025-10-13,0.0552368067,1.4300632048
2025-10-14,-0.0609232717,1.3429390756
2025-10-15,-0.0698877582,1.2490840742
2025-10-16,-0.0652076764,1.1676342041
2025-10-17,-0.0194842559,1.1448837205
2025-10-18,0.0425716547,1.1936233149
2025-10-19,0.0468263119,1.2495162926
2025-10-20,-0.0179007315,1.2271490369
2025-10-21,-0.0192598862,1.2035142861
2025-10-22,-0.0903238011,1.0948083011
2025-10-23,0.0855892039,1.188512072
2025-10-24,0.0586055636,1.2581654918
2025-10-25,0.0546445433,1.3269173705
2025-10-26,0.1081211818,1.4703852448
2025-10-27,-0.015220882,1.4480046845
2025-10-28,-0.0557940109,1.3672146953
2025-10-29,0.0621278255,1.4521567713
2025-10-30,-0.1546793181,1.2275381522
2025-10-31,0.0556235726,1.2958182097
2025-11-01,0.007945006,1.3061134932
2025-11-02,-0.0289592194,1.2682894659
2025-11-03,-0.1183932054,1.1181326107
2025-11-04,-0.0392467915,1.0742494933
2025-11-05,0.0607765487,1.1395386699
2025-11-06,-0.0661770543,1.0641273575
2025-11-07,0.1522299225,1.2261193826
2025-11-08,-0.0587578683,1.1540752214
2025-11-09,0.047757386,1.2091908372
2025-11-10,0.0388689742,1.2561908447
2025-11-11,-0.0841320402,1.1505049461
2025-11-12,-0.0592935871,1.0822873808
2025-11-13,-0.0516732232,1.0263621034
2025-11-14,-0.0523360383,0.9726463771
2025-11-15,-0.0080315822,0.9648344877
2025-11-16,-0.0473228562,0.919175764
2025-11-17,-0.0568375309,0.8669320831
2025-11-18,0.0645415365,0.9228852118
2025-11-19,-0.0318520367,0.8934894382
2025-11-20,-0.0473994208,0.8511385563
2025-11-21,-0.1356223301,0.7357051621
2025-11-22,-0.0278620245,0.7152069268
2025-11-23,0.0225928857,0.7313655152
2025-11-24,0.1160463266,0.8162377966
2025-11-25,0.0126131671,0.8265331403
2025-11-26,0.0675514009,0.8823666119
2025-11-27,-0.0028517658,0.8798503089
2025-11-28,-0.0070237876,0.8736704272
2025-11-29,-0.0219874933,0.8544606046
2025-11-30,-0.0004655074,0.8540628468
2025-12-01,-0.1270825052,0.7455264007
2025-12-02,0.1236604388,0.8377185225
2025-12-03,0.0616497588,0.8893636674
2025-12-04,-0.0329292726,0.8600775687
2025-12-05,-0.0899098207,0.7827481487
2025-12-06,0.0169643868,0.7960269911
2025-12-07,-0.0235988161,0.7772416965
2025-12-08,0.036250203,0.8054168658
2025-12-09,0.0294155949,0.829108682
2025-12-10,-0.031795481,0.8027467727
2025-12-11,-0.0025895937,0.8006679847
2025-12-12,-0.0503458654,0.7603576621
2025-12-13,0.0072260751,0.7658520637
2025-12-14,-0.0555429141,0.7233144083
2025-12-15,-0.0589227975,0.6806946999
2025-12-16,-0.0208227537,0.6665207618
2025-12-17,-0.1100511219,0.5931694042
2025-12-18,-0.0967297853,0.5357922551
2025-12-19,0.100225376,0.5894922353
2025-12-20,0.0240429152,0.6036653471
2025-12-21,-0.0572782337,0.5690884623
2025-12-22,-0.0513371001,0.539873111
2025-12-23,-0.0451623177,0.51549119
2025-12-24,-0.0015126857,0.5147114139
2025-12-25,0.0316069299,0.5309798614
2025-12-26,0.0256430833,0.5445958222
2025-12-27,0.0393534748,0.5660275602
2025-12-28,-0.0332067756,0.54723161
2025-12-29,-0.039993657,0.5253458167
2025-12-30,-0.0193204827,0.515195882
2025-12-31,0.005784364,0.5181759625
2026-01-01,0.069828158,0.5543592355
2026-01-02,0.1430455764,0.6336578718
2026-01-03,0.0137038179,0.6423414039
