date,daily_return,equity_twr
2025-07-14,0.0513397631,1.0513397631
2025-07-15,-0.0176717343,1.0327607661
2025-07-16,-0.1384325928,0.8897930155
2025-07-17,0.0403605785,0.9257055764
2025-07-18,0.0044736642,0.9298468723
2025-07-19,-0.0202428776,0.9110240959
2025-07-20,-0.04887999,0.8664932472
2025-07-21,0.0106164655,0.8756923428
2025-07-22,0.0717971166,0.9385645281
2025-07-23,0.1206578948,1.0518097482
2025-07-24,0.0408750441,1.094802518
2025-07-25,-0.0104256368,1.0833885046
2025-07-26,-0.0194944366,1.0622684561
2025-07-27,0.0183290407,1.0817388179
2025-08-01,0.0948723555,1.1843659275
2025-08-03,0.0118083991,1.1983513931
2025-08-04,-0.015414164,1.1798798082
2025-08-05,0.0823930106,1.2770936577
2025-08-06,-0.0070811545,1.2680503602
2025-08-07,-0.0499175128,1.2047524401
2025-08-08,-0.0384542469,1.1584245924
2025-08-09,-0.0157553465,1.1401732115
2025-08-10,0.0325300806,1.177263138
2025-08-11,0.0253863378,1.2071495377
2025-08-12,-0.0392306873,1.1597922316
2025-08-13,-0.0352804003,1.1188742974
2025-08-14,0.0837140216,1.2125397645
2025-08-15,0.0123313157,1.2274919752
2025-08-16,-0.03149164,1.1888362398
2025-08-17,-0.0650891571,1.111455891
2025-08-18,0.0059399708,1.1180579066
2025-08-19,0.0756899616,1.2026836666
2025-08-20,-0.1079924048,1.0728029652
2025-08-21,0.0403659793,1.1161077075
2025-08-22,-0.2490895629,0.8380969265
2025-08-23,0.0368057264,0.8689436927
2025-08-24,-0.0056123376,0.8640668873
2025-08-25,0.1736544306,1.0141159306
2025-08-26,-0.0841491651,0.9287789217
2025-08-27,0.0391936783,0.965181184
2025-08-28,0.0003782009,0.9655462164
2025-08-29,0.0575884519,1.0211505282
2025-08-30,0.0031610939,1.0243784809
2025-08-31,-0.0440500936,0.979254513
2025-09-01,0.0714543185,1.0492264768
2025-09-02,-0.0184883773,1.0298279819
2025-09-03,0.0072316933,1.037275382
2025-11-05,0.3398336839,1.3897764963
2025-11-06,0.0357837191,1.439507868
2025-11-07,-0.0438535017,1.3763804073
2025-11-08,0.0197320016,1.4035391477
2025-11-09,-0.0578839388,1.3222967735
2025-11-10,0.0021701665,1.3251663777
2025-11-11,0.0525105901,1.3947516462
2025-11-12,0.0074941713,1.4052041539
2025-11-13,0.0636249159,1.4946101501
2025-11-14,0.0155682406,1.5178786005
2025-11-15,-0.0027360101,1.5137256693
2025-11-16,0.0235859588,1.5494283406
2025-11-17,0.0187623789,1.5784993022
2025-11-18,-0.0291987247,1.5324091356
2025-11-19,0.0481719418,1.6062282593
2025-11-20,0.0344035649,1.6614882375
2025-11-21,0.0292737659,1.7101262552
2025-11-22,-0.0099387749,1.6931296953
2025-11-23,-0.0106655595,1.6750715198
2025-11-24,-0.0411742392,1.6061017243
2025-11-25,-0.0018723282,1.6030945748
2025-11-26,-0.0140879598,1.5805102429
2025-11-27,0.0011710555,1.5823611081
2025-11-28,-0.0039556121,1.5761019013
2025-11-29,0.0124245455,1.5956842511
2025-11-30,-0.0021797035,1.5922061326
2025-12-01,0.0547899271,1.6794429905
2025-12-02,-0.0515403192,1.5928839627
2025-12-03,-0.0569275649,1.5022049575
2025-12-04,0.0192302296,1.5310927038
2025-12-05,0.0333996004,1.5822305882
2025-12-06,-0.0032471198,1.577092896
2025-12-07,0.0005299722,1.5779287114
2025-12-08,-0.0240008724,1.5400570457
2025-12-09,-0.0636358117,1.4420542655
2025-12-10,-0.0042996975,1.4358538684
2025-12-11,0.0336429422,1.4841602171
2025-12-12,0.0456237339,1.5518731479
2025-12-13,-0.0015348426,1.5494912669
2025-12-14,0.0090260038,1.563476981
2025-12-15,0.0384559156,1.6236019198
2025-12-16,-0.0026432614,1.6193103155
2025-12-17,0.0360846819,1.6777426131
2025-12-18,-0.0001321431,1.677520911
2025-12-19,-0.0426156917,1.6060321971
2025-12-20,0.0023490389,1.6098048292
2025-12-21,-0.0060447189,1.6000740115
2025-12-22,-0.0013300868,1.5979457742
2025-12-23,0.0114290558,1.6162087856
2025-12-24,0.0027626603,1.6206738214
2025-12-25,0.0010668509,1.6224028388
2025-12-26,0.0065842584,1.6330851583
2025-12-27,-0.0014465107,1.6307228831
2025-12-28,-0.0031399181,1.6256025468
2025-12-29,0.001939805,1.6287558988
2025-12-30,-0.0053872235,1.6199814267
2025-12-31,-0.0054277478,1.6111885761
2026-01-01,-0.0031675366,1.6060850773
2026-01-02,-0.0367288734,1.5470953818
2026-01-03,0.0026840852,1.5512479177
2026-01-04,-0.0074192477,1.5397388251
