date,daily_return,equity_twr
2025-07-11,0.0346633569,1.0346633569
2025-07-12,-0.0335312511,0.9999698001
2025-07-13,0.0,0.9999698001
2025-07-14,0.0,0.9999698001
2025-07-15,0.0,0.9999698001
2025-07-16,0.0,0.9999698001
2025-07-17,0.0,0.9999698001
2025-07-18,0.0,0.9999698001
2025-07-19,0.0,0.9999698001
2025-07-20,0.0,0.9999698001
2025-07-21,0.0,0.9999698001
2025-07-22,0.0,0.9999698001
2025-07-23,0.0,0.9999698001
2025-07-24,0.0,0.9999698001
2025-07-25,0.0,0.9999698001
2025-07-26,0.0,0.9999698001
2025-07-30,0.1378650375,1.1378306741
2025-07-31,0.0050734364,1.1436033856
2025-08-01,-0.0800586509,1.0520480414
2025-08-02,-0.016783922,1.0343905491
2025-08-03,0.0,1.0343905491
2025-08-04,0.0,1.0343905491
2025-08-05,0.0038279223,1.0383501158
2025-08-06,0.0068798102,1.0454937675
2025-08-07,0.0150898981,1.0612701619
2025-08-08,0.0645581771,1.129783829
2025-08-09,0.1651846413,1.3164067655
2025-08-10,-0.0326054461,1.2734847357
2025-08-11,-0.0384481261,1.224521634
2025-08-12,0.0900901285,1.3348389453
2025-08-13,0.0495059997,1.4009214818
2025-08-14,-0.0367296412,1.3494661384
2025-08-15,0.0,1.3494661384
2025-08-16,0.0,1.3494661384
2025-08-17,0.0,1.3494661384
2025-08-18,0.0045107758,1.3555532776
2025-08-19,-0.004362641,1.3496394853
2025-08-20,0.0,1.3496394853
2025-08-21,0.0,1.3496394853
2025-08-22,0.0,1.3496394853
2025-08-23,0.0,1.3496394853
2025-08-24,0.0,1.3496394853
2025-08-25,0.0,1.3496394853
2025-08-26,0.0,1.3496394853
2025-08-27,0.0,1.3496394853
2025-08-28,0.0,1.3496394853
2025-08-29,0.0,1.3496394853
2025-08-30,0.0,1.3496394853
2025-08-31,0.0,1.3496394853
2025-09-01,0.0039226302,1.3549336219
2025-09-02,-0.0073876749,1.3449238128
2025-09-03,-0.0013395893,1.3431221672
2025-09-04,0.0099985279,1.3565514117
2025-09-05,-0.0084805763,1.3450470739
2025-09-06,0.0065801826,1.3538977293
2025-09-07,-0.0088044109,1.3419774574
2025-09-08,8.92172e-05,1.3420971848
2025-09-09,-0.0184009763,1.3174012863
2025-09-10,0.0256461457,1.3511875517
2025-09-11,-0.003981836,1.3458073444
2025-09-12,0.0,1.3458073444
2025-09-13,-0.0020823361,1.3430049212
2025-09-14,-0.0185102832,1.3181455198
2025-09-15,-0.0174691708,1.2951186106
2025-09-16,0.0032888422,1.2993780513
2025-09-17,0.0092776768,1.3114332609
2025-09-18,0.0143502007,1.3302525914
2025-09-19,-0.0204941478,1.3029901982
2025-09-20,-0.0018164797,1.3006233429
2025-09-21,-0.0128006523,1.2839745158
2025-09-22,-0.0057646782,1.2765728159
2025-09-23,-0.009960395,1.2638576464
2025-09-24,0.00287008,1.2674850189
2025-09-25,-0.0300566995,1.2293886026
2025-09-26,0.0037788546,1.2340342834
2025-09-27,-0.0014913402,1.2321939184
2025-09-28,0.0042078465,1.2373788013
2025-09-29,0.0016863387,1.2394654411
2025-09-30,-0.0015288418,1.2375704945
2025-10-01,0.0249160198,1.2684058254
2025-10-02,-0.2268643069,0.980649817
2025-10-03,0.0,0.980649817
2025-10-04,0.0,0.980649817
2025-10-05,0.2315261186,1.2076958628
2025-10-06,0.0,1.2076958628
2025-10-07,-0.0030221352,1.2040460426
2025-10-08,0.0025703179,1.2071408237
2025-10-09,-0.0053989827,1.2006234913
2025-10-10,0.0,1.2006234913
2025-10-11,0.0,1.2006234913
2025-10-12,0.007902905,1.2101119047
2025-10-13,0.0200025513,1.2343172301
2025-10-14,-0.0401207039,1.184795554
2025-10-15,-0.013937375,1.1682826141
2025-10-16,-0.015581238,1.1500793246
2025-10-17,0.0,1.1500793246
2025-10-18,0.0,1.1500793246
2025-10-19,0.0,1.1500793246
2025-10-20,0.0,1.1500793246
2025-10-21,-0.0115102689,1.1368416024
2025-10-22,-0.0103109682,1.1251196647
2025-10-23,0.0,1.1251196647
2025-10-24,0.0,1.1251196647
2025-10-25,0.0027186832,1.1281785087
2025-10-26,0.0513091089,1.1860643426
2025-10-27,-0.0148014365,1.1685088866
2025-10-28,-0.0183310653,1.1470888739
2025-10-29,0.0060866457,1.1540707974
2025-10-30,-0.032407845,1.1166698499
2025-10-31,0.0,1.1166698499
2025-11-01,0.0,1.1166698499
2025-11-02,0.0209534105,1.1400678917
2025-11-03,0.0254344882,1.169064935
2025-11-04,0.0360330195,1.2111898746
2025-11-05,-0.0215662818,1.1850690125
2025-11-06,0.0006823469,1.1858776406
2025-11-07,0.0211679214,1.2109802053
2025-11-08,-0.01925507,1.1876626967
2025-11-09,0.0196218354,1.2109668186
2025-11-10,0.0084504537,1.2212000377
2025-11-11,-0.0043547635,1.2158820003
2025-11-12,-0.0014872028,1.2140737372
2025-11-13,0.0,1.2140737372
2025-11-14,-0.0067038767,1.2059347366
2025-11-15,0.0015630504,1.2078196733
2025-11-16,-0.0033676842,1.2037521181
2025-11-17,-0.0003310331,1.2033536363
2025-11-18,0.0,1.2033536363
2025-11-19,0.0028982255,1.2068412265
2025-11-20,-0.0078102294,1.1974155197
2025-11-21,0.0,1.1974155197
2025-11-22,-0.0010274412,1.1961852456
2025-11-23,0.0003934933,1.1966559365
2025-11-24,0.0304522951,1.2330968562
2025-11-25,-0.0110543568,1.2194657636
2025-11-26,0.0212470089,1.2453757635
2025-11-27,0.0015296246,1.247280721
2025-11-28,0.0,1.247280721
2025-11-29,0.0,1.247280721
2025-11-30,0.0,1.247280721
2025-12-01,0.0,1.247280721
2025-12-02,0.0232313361,1.2762567186
2025-12-03,0.0,1.2762567186
2025-12-04,0.0,1.2762567186
2025-12-05,5.84711e-05,1.2763313427
2025-12-06,-0.0037305209,1.271569962
2025-12-07,0.0,1.271569962
2025-12-08,0.000282277,1.2719288969
2025-12-09,0.0091211561,1.2835303589
2025-12-10,-0.0047188557,1.2774735644
2025-12-11,0.0,1.2774735644
2025-12-12,0.0,1.2774735644
2025-12-13,0.0,1.2774735644
2025-12-14,0.0,1.2774735644
2025-12-15,0.0,1.2774735644
2025-12-16,0.0,1.2774735644
2025-12-17,0.0,1.2774735644
2025-12-18,0.0,1.2774735644
2025-12-19,0.0,1.2774735644
2025-12-20,0.0,1.2774735644
2025-12-21,0.0,1.2774735644
2025-12-22,0.0,1.2774735644
2025-12-23,0.0,1.2774735644
2025-12-24,-0.0001306493,1.2773066634
2025-12-25,0.0007707964,1.2782912067
2025-12-26,-0.0061413297,1.270440799
2025-12-27,0.0,1.270440799
2025-12-28,0.0,1.270440799
2025-12-29,0.0,1.270440799
2025-12-30,0.0,1.270440799
2025-12-31,0.0,1.270440799
2026-01-01,0.0,1.270440799
2026-01-02,0.0,1.270440799
2026-01-03,0.0,1.270440799
2026-01-04,0.0031871899,1.2744899351
