date,daily_return,equity_twr
2025-07-25,0.0109884105,1.0109884105
2025-07-26,-0.0602635968,0.9500626126
2025-07-27,-0.057726194,0.8952191139
2025-07-28,0.2571981309,1.1254677967
2025-07-29,0.1436129791,1.2870995799
2025-07-30,0.0602856941,1.3646932714
2025-07-31,0.0687517734,1.458518354
2025-08-01,0.0625540263,1.5497545495
2025-08-02,0.0735647893,1.6637619164
2025-08-03,-0.0491276962,1.5820251264
2025-08-04,-0.1071885708,1.4124501141
2025-08-05,0.0864457136,1.5345503722
2025-08-06,-0.0681824291,1.4299210002
2025-08-07,-0.0810420385,1.3140372875
2025-08-08,0.0068710764,1.323066138
2025-08-09,-0.0059892399,1.3151419775
2025-08-10,-0.057714337,1.2392394302
2025-08-11,0.0186201553,1.2623142609
2025-08-12,0.0130559275,1.2787949444
2025-08-13,-0.0738904588,1.1843041992
2025-08-14,0.1885422759,1.4075956083
2025-08-15,0.0255203414,1.4435179288
2025-08-16,-0.0267645802,1.4048827774
2025-08-17,-0.0053580041,1.3973554097
2025-08-18,0.0390074453,1.4518626744
2025-08-19,0.1395009403,1.6543988827
2025-08-20,-0.2247111701,1.2826369739
2025-08-21,0.1496993283,1.4746468674
2025-08-22,-0.2222878554,1.1468507778
2025-08-23,0.05718169,1.2124296434
2025-08-24,0.0732941817,1.301293682
2025-08-25,0.2731121294,1.6566927705
2025-08-26,-0.143618993,1.4187602231
2025-08-27,0.0232761622,1.4517835161
2025-08-28,-0.1606807574,1.2185098412
2025-08-29,0.2402674794,1.5112781294
2025-08-30,-0.0151045444,1.4884509618
2025-08-31,-0.0372601945,1.4329909894
2025-09-01,0.1117060196,1.593064709
2025-09-02,-0.166358405,1.3280450049
2025-09-03,-0.0545800961,1.2555601809
2025-09-04,0.1068406331,1.3897050256
2025-09-05,-0.0056750814,1.3818183364
2025-09-06,0.0257042908,1.4173369968
2025-09-07,-0.0548995418,1.3395258451
2025-09-08,-0.0615490618,1.257079286
2025-09-09,0.0531359283,1.3238753609
2025-09-10,-0.1344661904,1.1458588845
2025-09-11,-0.0371320081,1.1033108431
2025-09-12,-0.077469253,1.0178381763
2025-09-13,0.0190944576,1.0372732442
2025-09-14,0.0023089105,1.0396682153
2025-09-15,-0.0152843141,1.0237775997
2025-09-16,-0.0879369096,0.9337497615
2025-09-17,0.0435875442,0.9744496205
2025-09-18,-0.2313722327,0.7489890361
2025-09-19,0.1278546558,0.8447507715
2025-09-20,0.0052841094,0.849214527
2025-09-21,0.0651095941,0.9045065402
2025-09-22,0.0236704739,0.9259166386
2025-09-23,-0.043097068,0.8860123463
2025-09-24,0.0431315879,0.9242274657
2025-09-25,0.2196825645,1.1272641256
2025-09-26,-0.033142268,1.0899040358
2025-09-27,-0.0132570823,1.0754550883
2025-09-28,-0.0898374451,0.9788389508
2025-09-29,-0.15852026,0.8236731459
2025-09-30,0.0843534947,0.8931528542
2025-10-01,-0.1413470084,0.7669083702
2025-10-02,-0.0957478578,0.6934785366
2025-10-03,-0.0470138904,0.6608754127
2025-10-04,0.0386922319,0.6864461574
2025-10-05,-0.0706999315,0.6379144611
2025-10-06,-0.1722372252,0.5280418444
2025-10-07,0.162031323,0.6136011631
2025-10-08,-0.1596083473,0.5156652955
2025-10-09,0.1442978398,0.5900746838
2025-10-10,0.8147082741,1.0708134109
2025-10-11,0.0209830324,1.0932823234
2025-10-12,-0.0490465115,1.0396606394
2025-10-13,-0.0031343741,1.036401954
2025-10-14,0.0282005177,1.0656290257
2025-10-15,0.0390736968,1.1072670911
2025-10-16,0.1613100073,1.2858803537
2025-10-17,0.0536887904,1.3549177145
2025-10-18,0.0063720029,1.3635512541
2025-10-19,-0.106837213,1.2178732383
2025-10-20,-0.0873450362,1.1114980562
2025-10-21,0.0455005775,1.1620718597
2025-10-22,0.0187621728,1.1838748527
2025-10-23,-0.0123130994,1.169297684
2025-10-24,-0.0111692649,1.1562374884
2025-10-25,-0.0077261076,1.1473042731
2025-10-26,-0.0395267762,1.1019550339
2025-10-27,-0.0109654263,1.0898716272
2025-10-28,0.014114014,1.1052540906
2025-10-29,0.0273298509,1.1354605201
2025-10-30,0.1072246652,1.2572098942
2025-10-31,-0.0577038994,1.1846639809
2025-11-01,-0.0216343498,1.159034546
2025-11-02,0.0099560643,1.1705739684
2025-11-03,0.1465917092,1.3421704072
2025-11-04,0.2193650392,1.6365956712
2025-11-05,-0.1115952858,1.4539593096
2025-11-06,0.0934174788,1.5897845225
2025-11-07,-0.104571458,1.4235384371
2025-11-08,0.0843451536,1.5436070052
2025-11-09,-0.0973491768,1.393338134
2025-11-10,-0.0837406864,1.2766590422
2025-11-11,0.1487761292,1.4665954329
2025-11-12,0.0576313033,1.5511172391
2025-11-13,0.0772266497,1.6709048267
2025-11-14,0.1466652193,1.9159684496
2025-11-15,-0.010001395,1.8968060923
2025-11-16,0.0708056118,2.0311106081
2025-11-17,0.0464154099,2.1253854396
2025-11-18,-0.0292879754,2.0631372031
2025-11-19,0.0905524055,2.2499592397
2025-11-20,0.0969879506,2.4681781753
2025-11-21,0.1808312864,2.9145020098
2025-11-22,0.0337134177,3.0127598335
2025-11-23,-0.0912751713,2.7377696636
2025-11-24,-0.0605135157,2.5720975961
2025-11-25,0.0339803167,2.6594982869
2025-11-26,-0.0746062116,2.461083195
2025-11-27,-0.0958892746,2.2250917127
2025-11-28,0.0253191096,2.2814290536
2025-11-29,0.0145979822,2.3147333144
2025-11-30,-0.0279675063,2.2499959958
2025-12-01,0.2839427473,2.8888660403
2025-12-02,-0.2748349759,2.0949046117
2025-12-03,-0.0946812665,1.8965563899
2025-12-04,0.0538534979,1.9986925854
2025-12-05,0.1520426282,2.3025790591
2025-12-06,0.0094772641,2.324401209
2025-12-07,-0.0550018459,2.1965548518
2025-12-08,-0.0339837876,2.1219075983
2025-12-09,-0.1024322512,1.9045558262
2025-12-10,0.0240763019,1.9504104872
2025-12-11,-0.0181850098,1.9149422534
2025-12-12,0.1449698298,2.192551106
2025-12-13,0.0248734724,2.2470874654
2025-12-14,0.1370477837,2.5550458223
2025-12-15,0.1248408084,2.8740198082
2025-12-16,-0.1176103747,2.5360052617
2025-12-17,0.1149913282,2.8276238751
2025-12-18,0.036698357,2.9313930255
2025-12-19,-0.1833081829,2.3940446966
2025-12-20,-0.0098478285,2.370468555
2025-12-21,-0.008377709,2.3506094593
2025-12-22,0.0282231763,2.4169511245
