date,daily_return,equity_twr
2025-07-11,-0.0301957601,0.9698042399
2025-07-12,-0.0460812699,0.925114429
2025-07-13,0.0007996319,0.92585418
2025-07-14,0.0355483897,0.9587668052
2025-07-15,0.0141052982,0.9722904969
2025-07-16,-0.0941185533,0.8807799219
2025-07-17,0.1322191556,0.9972358995
2025-07-18,0.1485656945,1.1453909434
2025-07-19,-0.0151542477,1.1280334054
2025-07-20,-0.0630055638,1.0569610247
2025-07-21,-0.0253547774,1.0301620132
2025-07-22,0.0180218779,1.0487274672
2025-07-23,0.2107462572,1.2697428557
2025-07-24,0.0769352483,1.3674308376
2025-07-25,-0.0615080412,1.2833228453
2025-07-26,-0.0454408094,1.2250076165
2025-07-27,-0.0662892443,1.1438027873
2025-07-28,0.2044070971,1.3776041948
2025-07-29,0.0466557246,1.4418773167
2025-07-30,0.0511500169,1.5156293658
2025-07-31,0.0429198484,1.5806799484
2025-08-01,0.1578944355,1.8302605166
2025-08-02,0.0291655675,1.8836411032
2025-08-03,-0.0729764272,1.7461797054
2025-08-04,-0.0278037687,1.6976293287
2025-08-05,0.0807127901,1.8346497284
2025-08-06,-0.0393096172,1.7625303499
2025-08-07,-0.0619547763,1.6533331763
2025-08-08,-0.0278490567,1.607289407
2025-08-09,-0.1003571696,1.4459863914
2025-08-10,0.0210891003,1.4764809434
2025-08-11,0.14924777,1.6968424316
2025-08-12,-0.1911757176,1.3724473621
2025-08-13,-0.0990172066,1.2365514581
2025-08-14,0.33110246,1.6459766878
2025-08-15,-0.0059739209,1.6361437533
2025-08-16,-0.0612455917,1.535937161
2025-08-17,-0.0710935254,1.4267419734
2025-08-18,0.1025062697,1.572991971
2025-08-19,0.1029668722,1.7349580342
2025-08-20,-0.0634445339,1.6248844304
2025-08-21,0.0703985724,1.7392739746
2025-08-22,-0.1439095655,1.4889758126
2025-08-23,0.017664165,1.5152773271
2025-08-24,-0.0012847632,1.5133305545
2025-08-25,0.1702247018,1.7709367969
2025-08-26,-0.1332649641,1.5349329682
2025-08-27,0.0301535035,1.5812165749
2025-08-28,-0.0521930366,1.4986880803
2025-08-29,0.1196101164,1.677946336
2025-08-30,-0.0098336121,1.6614460626
2025-08-31,-0.0393557519,1.5960586036
2025-09-01,0.1601961887,1.8517411088
2025-09-02,-0.0705881491,1.7210301313
2025-09-03,-0.0286082506,1.6717944701
2025-09-04,0.041724496,1.7415492517
2025-09-05,-0.0198980971,1.7068957356
2025-09-06,0.002014729,1.710334668
2025-09-07,-0.0380915337,1.6451853973
2025-09-08,-0.1416550401,1.4121365939
2025-09-09,0.0238933576,1.4458772785
2025-09-10,-0.1221649619,1.2692417359
2025-09-11,-0.0911586135,1.153539419
2025-09-12,-0.0352689204,1.1128553291
2025-09-13,0.064273068,1.1843819553
2025-09-14,0.0566382186,1.2514632394
2025-09-15,0.0412542698,1.3030914415
2025-09-16,-0.0547419171,1.2317577179
2025-09-17,-0.0491878673,1.1711701827
2025-09-18,-0.0637488536,1.0965094262
2025-09-19,0.1412404415,1.2513809016
2025-09-20,0.0183551233,1.2743501524
2025-09-21,0.0704672648,1.364150122
2025-09-22,0.137143366,1.5512342615
2025-09-23,0.0201670515,1.5825180827
2025-09-24,-0.0035827826,1.5768482645
2025-09-25,0.1329977454,1.7865655285
2025-09-26,-0.0831275465,1.6380527194
2025-09-27,-0.0411110773,1.5707106075
2025-09-28,-0.0239564256,1.5330819957
2025-09-29,-0.0278940255,1.4903181674
2025-09-30,0.0340354746,1.5410418535
2025-10-01,-0.102646188,1.3828597817
2025-10-02,-0.0512494638,1.3119889594
