date,daily_return,equity_twr
2025-07-11,-0.0210180064,0.9789819936
2025-07-12,0.0155393096,0.9941946979
2025-07-13,-0.0126396723,0.9816284027
2025-07-14,0.0145765544,0.9959371625
2025-07-15,-0.0173714342,0.9786363056
2025-07-16,0.0271479481,1.0052042733
2025-07-17,0.0364578501,1.04185186
2025-07-18,-0.0053303965,1.0362983765
2025-07-19,-0.0065340718,1.0295271285
2025-07-20,-0.0050542492,1.0243236418
2025-07-21,0.0047623134,1.029201792
2025-07-22,-0.0044298975,1.0246425336
2025-07-23,0.0686445715,1.0949786812
2025-07-24,0.0097867441,1.1056949574
2025-07-25,-0.0145814537,1.0895723175
2025-07-26,-0.0094412077,1.079285439
2025-07-27,0.0084534174,1.0884090893
2025-07-28,0.0002357293,1.0886656592
2025-07-29,0.0239754116,1.1147668665
2025-07-30,0.0239005466,1.1414104039
2025-07-31,0.0081067104,1.1506634875
2025-08-01,-0.0059671566,1.1437972983
2025-08-02,-0.0035379437,1.1397506079
2025-08-03,-0.0067585038,1.132047599
2025-08-04,-0.0098285239,1.1209212422
2025-08-05,0.0323729035,1.1572087174
2025-08-06,6.57988e-05,1.1572848603
2025-08-07,-0.0040575327,1.1525891391
2025-08-08,-0.0111952635,1.1396856
2025-08-09,-0.0132674299,1.1245649012
2025-08-10,0.0127590981,1.1389133351
2025-08-11,0.0303247799,1.1734506313
2025-08-12,0.0174759023,1.1939577399
2025-08-13,-0.0774917698,1.1014358416
2025-08-14,0.0596712978,1.1671599477
2025-08-15,0.0207050325,1.1913260323
2025-08-16,-0.0170008096,1.1710725253
2025-08-17,-0.0322237664,1.1333361578
2025-08-18,0.0019490411,1.1355450766
2025-08-19,0.011782731,1.1489248987
2025-08-20,-0.0035587577,1.1448361534
2025-08-21,-0.0047338348,1.1394166882
2025-08-22,-0.001448622,1.1377661041
2025-08-23,-0.0391489993,1.0932236997
2025-08-24,0.0404546413,1.1374496723
2025-08-25,0.0153970017,1.1549629868
2025-08-26,0.032675234,1.1927016727
2025-08-27,0.0124852184,1.2075928136
2025-08-28,-0.0180350377,1.1858138317
2025-08-29,0.0034463692,1.1899005839
2025-08-30,-0.0118754961,1.1757699242
2025-08-31,0.0120602595,1.1899500146
2025-09-01,0.008765854,1.2003809427
2025-09-02,-0.05298258,1.1367816633
2025-09-03,0.0066344105,1.1443235395
2025-09-04,0.0236786433,1.1714195685
2025-09-05,-0.0141986625,1.1547869774
2025-09-06,0.0037379187,1.1591034772
2025-09-07,-0.0024986558,1.1562072766
2025-09-08,-0.0373540373,1.1130182668
2025-09-09,-0.0103965365,1.1014467318
2025-09-10,0.0015958809,1.1032045096
2025-09-11,-0.0034033444,1.0994499247
2025-09-12,0.0295016766,1.1318855408
2025-09-13,-0.024299735,1.1043810221
2025-09-14,0.0212892963,1.1278925169
2025-09-15,0.0364076873,1.168956475
2025-09-16,-0.0346908645,1.1284043643
2025-09-17,-0.1007524311,1.0147148814
2025-09-18,-0.060381255,0.9534451234
2025-09-19,0.0352007036,0.9870070625
2025-09-20,0.0385642127,1.0250702128
2025-09-21,-0.0005534948,1.0245028418
2025-09-22,0.1579248924,1.1862973429
2025-09-23,-0.4059907365,0.7046716109
2025-09-24,0.4910372811,1.0506916428
2025-09-25,1.0,2.1013832856
2025-09-26,-0.3189128025,1.4312252529
2025-09-27,0.8194673639,2.604067638
2025-09-28,-0.3299903338,1.7447504889
2025-09-29,-0.3068325535,1.2094042412
2025-09-30,-0.1810308905,0.9904647144
2025-10-01,-0.0692789903,0.9218463191
2025-10-02,0.0266523621,0.946415701
2025-10-03,0.0325287528,0.9772014234
2025-10-04,0.0255975024,1.0022153391
2025-10-05,0.0002777083,1.0024936627
2025-10-06,-0.0173163033,0.9851341783
