date,daily_return,equity_twr
2025-07-11,0.0,1.0
2025-07-12,0.0,1.0
2025-07-13,0.0,1.0
2025-07-14,0.0,1.0
2025-07-15,0.0,1.0
2025-07-16,0.0,1.0
2025-07-17,0.0,1.0
2025-07-18,0.0,1.0
2025-07-19,0.0,1.0
2025-07-20,0.0,1.0
2025-07-21,0.0,1.0
2025-07-22,0.0,1.0
2025-07-23,0.0,1.0
2025-07-24,-0.0408018039,0.9591981961
2025-07-25,0.0912399264,1.0467153689
2025-07-26,0.0490767738,1.0980847823
2025-07-27,0.0,1.0980847823
2025-07-28,0.0,1.0980847823
2025-07-29,0.0044664232,1.1029892937
2025-07-30,0.0,1.1029892937
2025-07-31,0.0922207872,1.2047078346
2025-08-01,0.0428833886,1.2563697888
2025-08-02,0.0,1.2563697888
2025-08-03,0.0,1.2563697888
2025-08-04,0.0,1.2563697888
2025-08-05,0.0,1.2563697888
2025-08-06,0.0,1.2563697888
2025-08-07,0.0,1.2563697888
2025-08-08,0.0,1.2563697888
2025-08-09,0.0,1.2563697888
2025-08-10,0.0,1.2563697888
2025-08-11,0.0,1.2563697888
2025-08-12,0.0,1.2563697888
2025-08-13,0.0,1.2563697888
2025-08-14,0.0,1.2563697888
2025-08-15,0.0,1.2563697888
2025-09-10,0.0046601311,1.2622246367
2025-09-11,-0.0167804674,1.2410439174
2025-09-12,0.0247621741,1.2717748629
2025-09-13,0.0200305753,1.2972492451
2025-09-14,0.0,1.2972492451
2025-09-15,0.0,1.2972492451
2025-09-16,0.0,1.2972492451
2025-09-17,0.0,1.2972492451
2025-09-18,0.0,1.2972492451
2025-09-19,0.0,1.2972492451
2025-09-20,0.0,1.2972492451
2025-09-21,0.0,1.2972492451
2025-09-22,0.0,1.2972492451
2025-09-23,0.0,1.2972492451
2025-09-24,0.0,1.2972492451
2025-09-25,0.0,1.2972492451
2025-09-26,0.0,1.2972492451
2025-09-27,0.0,1.2972492451
2025-09-30,0.0147071053,1.3163280263
2025-10-01,0.0,1.3163280263
2025-10-02,0.0,1.3163280263
2025-10-03,0.0,1.3163280263
2025-10-04,0.0,1.3163280263
2025-10-05,0.0,1.3163280263
2025-10-06,0.0,1.3163280263
2025-10-07,-0.0037286447,1.3114199068
2025-10-08,0.0,1.3114199068
2025-10-09,0.0,1.3114199068
2025-10-10,0.0,1.3114199068
2025-10-11,-0.0028168375,1.30772585
2025-10-12,0.0,1.30772585
2025-10-13,0.0,1.30772585
2025-10-14,0.0,1.30772585
2025-10-15,0.0,1.30772585
2025-10-16,0.0094601244,1.3200970993
2025-10-17,0.0,1.3200970993
2025-10-18,0.0,1.3200970993
2025-10-19,0.0,1.3200970993
2025-10-20,0.0,1.3200970993
2025-10-21,0.0,1.3200970993
2025-10-22,0.0,1.3200970993
2025-10-23,0.0,1.3200970993
2025-10-24,0.0,1.3200970993
2025-10-25,0.0,1.3200970993
2025-10-26,0.0,1.3200970993
2025-10-27,0.0,1.3200970993
2025-10-28,0.0,1.3200970993
2025-10-29,0.0,1.3200970993
2025-10-30,0.0,1.3200970993
2025-11-20,0.0,1.3200970993
2025-11-21,0.0,1.3200970993
2025-11-22,0.0,1.3200970993
2025-11-23,0.0,1.3200970993
2025-11-24,0.0,1.3200970993
2025-11-25,0.0,1.3200970993
2025-11-26,-0.0043638987,1.3143363292
2025-11-27,0.0,1.3143363292
2025-11-28,0.0,1.3143363292
2025-11-29,0.0,1.3143363292
2025-11-30,0.0,1.3143363292
2025-12-01,0.0,1.3143363292
2025-12-02,0.0,1.3143363292
2025-12-03,0.0,1.3143363292
2025-12-04,0.0,1.3143363292
2025-12-05,0.0,1.3143363292
2025-12-06,0.0,1.3143363292
2025-12-07,0.0,1.3143363292
2025-12-08,0.0,1.3143363292
2025-12-09,0.0,1.3143363292
2025-12-10,0.0,1.3143363292
2025-12-11,0.0,1.3143363292
2025-12-12,0.0,1.3143363292
2025-12-13,0.0,1.3143363292
2025-12-14,0.0,1.3143363292
2025-12-15,0.0,1.3143363292
2025-12-16,0.0,1.3143363292
2025-12-17,0.0,1.3143363292
2025-12-18,0.0,1.3143363292
2025-12-19,0.0,1.3143363292
2025-12-20,0.0,1.3143363292
2025-12-21,0.0,1.3143363292
2025-12-22,0.0,1.3143363292
2025-12-23,0.0,1.3143363292
2025-12-24,0.0,1.3143363292
2025-12-25,0.0,1.3143363292
2025-12-26,0.0,1.3143363292
2025-12-27,0.0,1.3143363292
2025-12-28,0.0,1.3143363292
2025-12-29,0.0,1.3143363292
2025-12-30,0.0,1.3143363292
2025-12-31,0.0,1.3143363292
2026-01-01,0.0,1.3143363292
2026-01-02,0.0,1.3143363292
2026-01-03,0.0,1.3143363292
2026-01-04,0.0,1.3143363292
