date,daily_return,equity_twr
2025-07-11,0.010073563,1.010073563
2025-07-12,0.0018926806,1.0119853096
2025-07-13,-0.0106659204,1.0011915549
2025-07-14,-0.0171743977,0.9839966929
2025-07-15,0.0292475753,1.0127762103
2025-07-16,0.0,1.0127762103
2025-07-17,-3.02782e-05,1.0127455453
2025-07-18,-0.0011350258,1.0115960529
2025-07-19,-0.0003938788,1.0111976067
2025-07-20,-0.0017979449,1.0093795291
2025-07-21,-0.0006392463,1.008734287
2025-07-22,0.0014384878,1.010185339
2025-07-23,0.0029768255,1.0131924844
2025-07-24,-0.002814195,1.0103411632
2025-07-25,-0.0002646328,1.0100737938
2025-07-26,-0.0011135713,1.0089490046
2025-07-27,-0.0023939235,1.0065336579
2025-07-28,0.0017612509,1.0083064162
2025-07-29,0.0006116755,1.0089231725
2025-07-30,0.0005459728,1.0094740171
2025-07-31,0.0013698507,1.0108568458
2025-08-01,0.0057661952,1.0166856437
2025-08-02,0.0030321872,1.0197684249
2025-08-03,-0.0023939336,1.017327167
2025-08-10,-0.0204207386,0.9965525949
2025-08-11,0.0014309062,0.9979785682
2025-08-12,-0.0155721851,0.9824378612
2025-08-13,-0.0060009221,0.9765423281
2025-08-14,0.0088717843,0.985206001
2025-08-15,0.0038770594,0.9890257032
2025-08-16,0.0002736162,0.9892963166
2025-08-17,-0.0037873956,0.9855494601
2025-08-18,0.0056152491,0.9910835658
2025-08-19,0.0097617169,1.000758243
2025-08-20,-0.0084342265,0.9923176213
2025-08-21,0.0037178003,0.9960068601
2025-08-22,-0.0155788126,0.9804902559
2025-08-23,0.0026448011,0.9830834576
2025-08-24,0.0007632623,0.9838338081
2025-08-25,0.014809744,0.9984041349
2025-08-26,0.0021485241,1.0005492303
2025-08-27,0.0090059386,1.0095601152
2025-08-28,-0.003443824,1.0060833679
2025-08-29,-0.0033536644,1.0027093019
2025-08-30,0.0034542508,1.0061729113
2025-08-31,0.0046154657,1.0108168679
2025-09-01,-0.0085641014,1.0021601297
2025-09-02,0.0207317256,1.0229366385
2025-09-03,0.006552601,1.0296395342
2025-09-04,-0.0081627501,1.021234844
2025-09-05,0.0132299613,1.0347457414
2025-09-06,0.0,1.0347457414
2025-09-07,0.0,1.0347457414
2025-09-08,0.0,1.0347457414
2025-09-09,0.0,1.0347457414
2025-09-10,0.0,1.0347457414
2025-09-11,0.0,1.0347457414
2025-09-12,0.0,1.0347457414
2025-09-13,-0.0065107723,1.0280087475
2025-09-14,3.85063e-05,1.0280483323
2025-09-15,0.0252684289,1.0540254985
2025-09-16,0.0,1.0540254985
2025-09-17,0.0,1.0540254985
2025-09-18,0.0,1.0540254985
2025-09-19,0.0,1.0540254985
2025-09-20,0.0,1.0540254985
2025-09-21,0.0,1.0540254985
2025-09-22,0.0013734072,1.0554731047
2025-09-23,-0.0042262184,1.0510124449
2025-09-24,0.0093065806,1.0607937769
2025-09-25,-0.0265511667,1.0326284645
2025-09-26,0.0021709152,1.0348702133
2025-09-27,0.0017536743,1.0366850386
2025-09-28,0.0298039674,1.0675823657
2025-09-29,0.0168939019,1.0856179975
