date,daily_return,equity_twr
2025-10-11,0.1338213984,1.1338213984
2025-10-12,0.0977543679,1.2446573925
2025-10-13,0.0171786442,1.266038919
2025-10-14,0.0211471437,1.292812026
2025-10-15,-0.0261172897,1.2590472797
2025-10-16,0.0017248382,1.2612189326
2025-10-17,-0.0358882326,1.2159560142
2025-10-18,0.009824299,1.2279019296
2025-10-19,0.0274041159,1.2615514964
2025-10-20,-0.024852954,1.2301982151
2025-10-21,-0.0271880619,1.1967515099
2025-10-22,-0.1429094544,1.0257244046
2025-10-23,0.1645847442,1.1945429933
2025-10-24,0.0452946098,1.2486493521
2025-10-25,0.0100260122,1.2611683257
2025-10-26,0.0156798467,1.2809432517
2025-10-27,-0.0367272702,1.2338977028
2025-10-28,0.0100267378,1.2462696716
2025-10-29,-0.0219410574,1.2189251972
2025-10-30,-0.171407176,1.0099926714
2025-10-31,0.1642275715,1.175861315
2025-11-01,-0.043228133,1.1250310257
2025-11-02,0.2422684392,1.3975905363
2025-11-03,-0.1833575136,1.1413318106
2025-11-04,0.0721235534,1.2236487163
2025-11-05,0.1336901444,1.3872384899
2025-11-06,-0.0279813133,1.3484217351
2025-11-07,0.1147893969,1.5032062529
2025-11-08,-0.0738316772,1.392222014
2025-11-09,0.0468745405,1.4574817812
2025-11-10,0.0036234869,1.4627629474
2025-11-11,0.0017690861,1.465350701
2025-11-12,0.0354497743,1.5172970526
2025-11-13,-0.0296737223,1.4722732012
2025-11-14,0.0373019798,1.5271919064
2025-11-15,0.0049711677,1.5347838335
2025-11-16,0.0491197668,1.6101720575
2025-11-17,-0.0040842397,1.6035957288
2025-11-18,0.0704944874,1.7166403877
2025-11-19,-0.0044289711,1.7090374371
2025-11-20,-0.0213444545,1.6725589652
2025-11-21,0.0155108136,1.6985017156
2025-11-22,-0.0264076159,1.6536483347
2025-11-23,-0.0139356296,1.630603704
2025-11-24,0.0130366103,1.651861249
2025-11-25,0.0091134269,1.6669153658
2025-11-26,-0.0266045123,1.6225678954
2025-11-27,-0.0028736446,1.617905212
2025-11-28,0.0004763728,1.618675938
2025-11-29,-0.0097189854,1.6029440502
2025-11-30,0.0103775496,1.6195786816
2025-12-01,-0.0395887695,1.5554615545
2025-12-02,0.0376740456,1.614062084
2025-12-03,0.0200043583,1.6463503602
2025-12-04,-0.0057383991,1.6369029448
2025-12-05,-0.0103066519,1.620031956
2025-12-06,-0.0127862005,1.5993179026
2025-12-07,-0.0330835589,1.5464067745
2025-12-08,0.0269893971,1.5881433611
2025-12-09,0.0168680144,1.6149321861
2025-12-10,-0.00439233,1.607838871
2025-12-11,-0.0021775076,1.6043377897
2025-12-12,-0.0015652417,1.6018266133
2025-12-13,0.0129006695,1.622491249
2025-12-14,-0.0138946014,1.5999473798
2025-12-15,-0.1025550134,1.4358647549
2025-12-16,-0.0184252046,1.409408653
2025-12-17,-0.1048596516,1.2616185527
2025-12-18,-0.0690954965,1.1744463924
2025-12-19,0.0875119727,1.277224513
2025-12-20,0.003853864,1.2821467626
2025-12-21,-0.0448253048,1.2246741431
2025-12-22,-0.005072576,1.2184618905
2025-12-23,-0.050818465,1.1565415275
2025-12-24,0.0413566759,1.2043722406
2025-12-25,-0.0054073277,1.1978598053
2025-12-26,0.0244232478,1.2271154321
2025-12-27,0.0354697896,1.2706409583
2025-12-28,-0.0248482064,1.2390678095
2025-12-29,-0.039428053,1.1902137783
2025-12-30,-0.0114115435,1.176631602
2025-12-31,0.0144833431,1.1936731611
2026-01-01,0.0294983267,1.228884522
2026-01-02,0.104007819,1.356698121
2026-01-03,-0.0144439118,1.337102093
2026-01-04,0.0635230859,1.4220389441
