date,daily_return,equity_twr
2025-07-16,-0.0266642148,0.9733357852
2025-07-17,-0.0164819135,0.957293349
2025-07-18,0.0514186072,1.0065160397
2025-07-19,-0.002846982,1.0036505066
2025-07-20,0.0009368085,1.0045907349
2025-07-21,0.2450932829,1.2508091761
2025-07-22,-0.0509249137,1.1871118268
2025-07-23,0.0341940333,1.2277039681
2025-07-24,-0.0043042066,1.2224196766
2025-07-25,0.0311361374,1.2604811036
2025-07-26,-0.0167967277,1.2393091458
2025-07-27,-0.044830691,1.1837500604
2025-07-28,0.0585800211,1.2530941639
2025-07-29,0.0278810608,1.2880317585
2025-07-30,0.0071009819,1.2971780487
2025-07-31,0.0683900476,1.3858921172
2025-08-01,0.1130209444,1.5425269531
2025-08-02,0.0233063377,1.5784776072
2025-08-03,-0.0696602143,1.4685205188
2025-08-04,-0.0598340256,1.3806530245
2025-08-05,0.1078626346,1.5295738972
2025-08-06,-0.1038002987,1.3708036697
2025-08-07,-0.1267359043,1.197073627
2025-08-08,0.013841251,1.2136426236
2025-08-09,0.0213537434,1.2395584367
2025-08-10,-0.1448449044,1.0600147135
2025-08-11,0.0344125927,1.0964925681
2025-08-12,-0.0840378093,1.0043457347
2025-08-13,-0.5357071247,0.466310569
2025-08-14,0.3093623336,0.6105694948
2025-08-15,0.0280922184,0.6277217464
2025-08-16,0.0042520602,0.630390857
2025-08-17,-0.0236813014,0.6154623811
2025-08-18,0.0478124176,0.6448891255
2025-08-19,0.2317180975,0.7943216068
2025-08-20,-0.0568731671,0.7491460213
2025-08-21,0.1081720754,0.8301827012
2025-08-22,-0.2702296844,0.6058426919
2025-08-23,0.1228452854,0.6802676103
2025-08-24,0.1644824235,0.7921596754
2025-08-25,0.2182894967,0.9650798123
2025-08-26,-0.1164546903,0.8526917416
2025-08-27,0.0426950145,0.8890974279
2025-08-28,-0.0714761522,0.8255481648
2025-08-29,0.2902678888,1.0651782877
2025-08-30,-0.0125727434,1.0517860744
2025-08-31,-0.0328347311,1.0172509615
2025-09-01,0.076208329,1.0947739575
2025-09-02,-0.211311447,0.8634356884
2025-09-03,-0.0794791747,0.7948105325
2025-09-04,0.1084515699,0.8810089825
2025-09-05,-0.0065773333,0.8752142928
2025-09-06,0.0412610192,0.9113265265
2025-09-07,-0.063513948,0.8534445809
2025-09-08,-0.0943190688,0.7729484827
2025-09-09,0.0692879085,0.8265044665
2025-09-10,-0.1506089488,0.7020254976
2025-09-19,-0.1055839334,0.6279028842
2025-09-20,-0.0059498594,0.6241669503
2025-09-21,0.0225334612,0.6382315921
2025-09-22,0.1113782516,0.709316711
2025-09-23,0.0247349668,0.7268616362
2025-09-24,-0.0585845501,0.6842787743
2025-09-25,0.1877086168,0.8127237965
2025-09-26,0.0018252742,0.8142072403
2025-09-27,-0.0024028117,0.8122508536
2025-09-28,-0.0779556872,0.7489312802
2025-09-29,-0.123023764,0.6567949351
2025-09-30,0.0003506275,0.6570252255
2025-10-01,-0.1930560397,0.5301825374
2025-10-02,-0.1559045905,0.4475246461
2025-10-03,-0.1677388226,0.3724573888
2025-10-04,0.0228460624,0.3809665736
2025-10-05,-0.059274454,0.3583849879
2025-10-11,1.0,0.7167699759
2025-10-12,-0.1636819075,0.599447699
2025-10-13,-0.0157677948,0.5899957307
2025-10-14,0.0914879711,0.6439732431
2025-10-15,0.1099633952,0.7147867273
2025-10-16,0.0955724188,0.7831006237
2025-10-17,0.0359384637,0.8112440571
2025-10-18,0.005425577,0.8156455242
2025-10-19,-0.0716489305,0.7572053947
2025-10-20,-0.0725210456,0.7022920677
2025-10-21,0.0191473268,0.7157390835
2025-10-22,0.1033941888,0.7897423454
2025-10-23,-0.1069093322,0.7053115186
2025-10-24,-0.0457661315,0.6730321389
2025-10-25,-0.0182308861,0.6607621667
2025-10-26,-0.1350009272,0.5715586615
2025-10-27,0.006723937,0.5754017859
2025-10-28,0.0601310577,0.6100013039
2025-10-29,0.065397531,0.6498938831
2025-10-30,0.1423100103,0.7423802883
2025-10-31,-0.0714499921,0.6893372226
2025-11-01,-0.0135316152,0.6800093765
2025-11-02,0.0015138821,0.6810388306
2025-11-03,0.1536788547,0.785700098
2025-11-04,0.2532533384,0.9846812708
2025-11-05,-0.1276771322,0.8589599901
2025-11-06,0.1151981207,0.9579105667
2025-11-07,-0.1328808976,0.8306225507
2025-11-08,0.0820335758,0.8987614887
2025-11-09,-0.0952496678,0.8131547555
2025-11-10,-0.0855906011,0.7435563512
2025-11-11,0.1603178026,0.8627616715
2025-11-12,0.0624356274,0.9166287378
2025-11-13,0.096594426,1.0051699646
2025-11-14,0.1958219463,1.2020043034
2025-11-15,-0.0161977351,1.1825345561
2025-11-16,0.100165218,1.3009833877
2025-11-17,0.0665042221,1.3875042758
2025-11-18,-0.0430338611,1.3277946096
2025-11-19,0.1549873896,1.53358603
2025-11-20,0.1548666835,1.7710874124
2025-11-21,0.1191655055,1.9821399391
2025-11-22,-0.019616324,1.9432576399
2025-11-23,-0.1080038855,1.7333782642
2025-11-24,-0.0362055937,1.6706202751
2025-11-25,0.0582508099,1.7679352591
2025-11-26,-0.1216497495,1.5528663777
2025-11-27,-0.0509998694,1.4736703953
2025-11-28,0.0127483695,1.49245729
2025-11-29,0.0163210844,1.5168158114
2025-11-30,-0.0092857738,1.5027310029
2025-12-01,0.2336557997,1.8538528171
2025-12-02,-0.2194805493,1.4469681825
2025-12-03,-0.0976819625,1.3056254907
2025-12-04,0.0663589875,1.3922654763
2025-12-05,0.1690989169,1.6276960604
2025-12-06,-0.0151815585,1.6029850975
2025-12-07,-0.0367080208,1.5441426872
2025-12-08,-0.0391738687,1.4836526443
2025-12-09,-0.0789305985,1.3665470531
2025-12-10,-0.00405747,1.3610023294
2025-12-11,0.0116909509,1.3769137408
2025-12-12,0.0853318342,1.4944083159
2025-12-13,0.0226315633,1.5282291123
2025-12-14,0.1155392389,1.7047995408
2025-12-15,0.1158139663,1.9022391373
2025-12-16,-0.1012188002,1.7096967742
2025-12-17,0.1480832314,1.9628741972
2025-12-18,0.1162290945,2.1910172877
2025-12-19,-0.1825436906,1.7910609059
2025-12-20,-0.0092697774,1.77445817
2025-12-21,-0.0072488638,1.7615953644
2025-12-22,-0.0052337378,1.7523756361
2025-12-23,0.0403833014,1.8231423496
2025-12-24,-0.0121921398,1.8009143432
2025-12-25,0.0039709813,1.8080657404
2025-12-26,0.0223012248,1.8483878209
2025-12-27,-0.0268778811,1.7987070728
2025-12-28,-0.0108182867,1.779248144
2025-12-29,0.0663440036,1.8972905893
2025-12-30,-0.0470184077,1.8080830069
2025-12-31,0.0623890781,1.9208876388
2026-01-01,-0.0645754437,1.7968454672
2026-01-02,-0.2399465837,1.3656985359
2026-01-03,-0.0339537955,1.3193278871
2026-01-04,-0.2058601161,1.0477308951
