date,daily_return,equity_twr
2025-07-11,0.087615711,1.087615711
2025-07-12,-0.0259389837,1.0594040648
2025-07-13,0.0520275621,1.1145222756
2025-07-14,0.1066123919,1.2333441612
2025-07-15,0.0158027854,1.2528344343
2025-07-16,0.147360326,1.437452525
2025-07-17,0.0148820125,1.4588447114
2025-07-18,-0.0007643179,1.4577296903
2025-07-19,0.017425993,1.4831320777
2025-07-20,-0.0263762664,1.4440125909
2025-07-21,0.0183481432,1.4705075407
2025-07-22,0.0261130752,1.5089070147
2025-07-23,0.042836055,1.5735426385
2025-07-24,0.0176012546,1.6012389631
2025-07-25,0.0043067966,1.6081351737
2025-07-26,-0.0083415187,1.594720884
2025-07-27,0.0026306304,1.5989160053
2025-07-28,0.0166739413,1.6255762369
2025-07-29,0.0189273381,1.6563440679
2025-07-30,-0.0106997922,1.6386215306
2025-07-31,0.0098070778,1.6546916194
2025-08-01,-0.0031956873,1.6494037424
2025-08-02,0.0063780337,1.6599236951
2025-08-03,-0.0038340344,1.6535594905
2025-08-04,-0.0063610179,1.643041169
2025-08-05,-0.0134837162,1.6208868682
2025-08-06,0.0158152448,1.6465215908
2025-08-07,0.0269974824,1.6909735285
2025-08-08,-0.018735776,1.6592918272
2025-08-09,-0.0762651277,1.5327457241
2025-08-10,0.0257692833,1.5722434829
2025-08-11,-0.040989174,1.5077985212
2025-08-12,-0.036140739,1.4533055684
2025-08-13,0.0412184068,1.5132085085
2025-08-14,0.0086206922,1.5262534133
2025-08-15,0.023756964,1.5625125607
2025-08-16,-0.0054839181,1.5539438698
2025-08-17,0.0301570473,1.6008062286
2025-08-18,0.026144239,1.6426580892
2025-08-19,-0.00733874,1.6306030486
2025-08-20,0.0003540138,1.6311803046
2025-08-21,0.0154825435,1.6564351246
2025-08-22,-0.0675725332,1.5445056071
2025-08-23,-0.016559483,1.5189293928
2025-08-24,0.0770586187,1.6359759937
2025-08-25,0.0002181426,1.6363328698
2025-08-26,0.0589558482,1.732804262
