date,daily_return,equity_twr
2025-07-11,0.0211915982,1.0211915982
2025-07-12,-0.0204880005,1.0002694242
2025-07-13,0.0319059221,1.0321839426
2025-07-14,0.0319350522,1.0651467906
2025-07-15,0.0185476986,1.0849028123
2025-07-16,0.1072928784,1.2013051578
2025-07-17,-0.0306603684,1.1644726991
2025-07-18,-0.037760588,1.1205015253
2025-07-19,0.0237268791,1.1470875295
2025-07-20,0.0778165034,1.2363498701
2025-07-21,0.0248594604,1.2670848608
2025-07-22,-0.0157758513,1.2470955184
2025-07-23,-0.0785879122,1.1490888853
2025-07-24,-0.0060709261,1.1421128516
2025-07-25,0.0455663931,1.1941548148
2025-07-26,0.0326490795,1.2331428702
2025-07-27,0.0563746466,1.3026608638
2025-07-28,-0.0655831705,1.2172282342
2025-07-29,-0.0301976434,1.1804708101
2025-07-30,-0.0246961408,1.1513177367
2025-07-31,-0.0155654581,1.1333969487
2025-08-01,-0.0752693408,1.0480869076
2025-08-02,-0.0546801888,0.9907773176
2025-08-03,0.1252255562,1.1148479582
2025-08-04,0.1026386045,1.2292743969
2025-08-05,-0.1022975373,1.1035226534
2025-08-06,0.0902678264,1.2031352447
2025-08-07,0.1735027488,1.4118825169
2025-08-08,0.0691756257,1.5095503734
2025-08-09,0.2143678612,1.8331494583
2025-08-10,-0.0673950745,1.709604214
2025-08-11,-0.1853151935,1.3927885783
2025-08-12,0.3136165649,1.8295901478
2025-08-13,0.1383130237,2.0826462933
2025-08-14,-0.3081370737,1.4409057589
2025-08-15,-0.158523651,1.2124881173
2025-08-16,0.0407500588,1.2618970794
2025-08-17,0.173139709,1.4803815725
2025-08-18,-0.0035438732,1.4751352879
2025-08-19,-0.163486944,1.2339699277
2025-08-20,0.1564284443,1.4269979238
2025-08-21,-0.1350093572,1.2343398514
2025-08-22,0.5299633293,1.8884947085
2025-08-23,-0.0114727706,1.8668284419
2025-08-24,-0.0770000887,1.7230824863
2025-08-25,0.0277384333,1.7708780949
2025-08-26,0.0273661849,1.8193402723
2025-08-27,0.0259282581,1.8665125964
2025-08-28,0.0265560046,1.9160797135
2025-08-29,-0.0344436419,1.85008295
2025-08-30,-0.0006770433,1.8488303638
2025-08-31,-0.0027401195,1.8437643476
2025-09-01,-0.0166627823,1.8130421037
2025-09-02,0.0160022432,1.8420548444
2025-09-03,-0.003851279,1.8349605772
2025-09-04,-0.0055570979,1.8247635217
2025-09-05,0.0394237157,1.89670248
2025-09-06,0.0116561223,1.918810676
2025-09-07,0.0099926178,1.9379846177
2025-09-08,0.1518146657,2.2321991046
2025-09-09,-0.011347958,2.2068682029
2025-09-10,0.0597124673,2.3386457483
2025-09-11,0.055175893,2.4676826159
2025-09-12,0.0626836419,2.6223659493
2025-09-13,0.0122952454,2.6546085822
2025-09-14,-0.067157429,2.4763318948
2025-09-15,-0.0645476945,2.3164903802
2025-09-16,0.0151031513,2.3514766849
2025-09-17,0.0236793877,2.407158213
2025-09-18,0.0201374395,2.4556322159
2025-09-19,-0.0462523438,2.3420534704
2025-09-20,-0.0025422007,2.3360995004
2025-09-21,-0.0209555377,2.2871452793
2025-09-22,0.0627812062,2.4307350186
2025-09-23,-0.011443162,2.402919724
2025-09-24,0.0014434321,2.4063881755
2025-09-25,-0.0185622489,2.3617201992
2025-09-26,0.045452176,2.4690655214
2025-09-27,-0.010200962,2.4438786778
2025-09-28,0.058733921,2.587417255
2025-09-29,0.0117890188,2.6179203657
2025-09-30,-0.0240907573,2.5548526815
2025-10-01,0.0597174092,2.7074218646
2025-10-02,0.0559285324,2.858843996
2025-10-03,0.0100225414,2.8874968783
2025-10-04,-0.0178830011,2.8358597685
2025-10-05,0.0126889494,2.8718438496
2025-10-06,0.0523004869,3.0220426812
2025-10-07,-0.0383962971,2.9060074326
2025-10-08,0.0294385328,2.9915560277
2025-10-09,-0.0602503339,2.8113137782
2025-10-10,-0.378221093,1.7480156082
2025-10-11,0.0427395223,1.8227249603
2025-10-12,-0.0412213383,1.7475897981
2025-10-13,-0.0200563806,1.712539472
2025-10-14,-0.0171358153,1.6831937119
2025-10-15,-0.0100057823,1.666352042
2025-10-16,-0.0105702682,1.648738254
2025-10-17,-0.0283143786,1.6020552549
2025-10-18,0.0081722928,1.6151477195
2025-10-19,0.0963087446,1.7707005687
2025-10-20,-0.018117274,1.7386203013
2025-10-21,-0.0353431787,1.6771719333
2025-10-22,-0.0665356217,1.5655802561
2025-10-23,0.0449382738,1.6359347303
2025-10-24,0.0205604101,1.6695702192
2025-10-25,0.0138173193,1.692639204
2025-10-26,0.0429411771,1.7653231238
2025-10-27,-0.0211423618,1.7280000237
2025-10-28,-0.0225276063,1.6890723195
2025-10-29,0.0287910375,1.7377024639
2025-10-30,-0.0874352369,1.5857660373
2025-10-31,0.024441012,1.6245237641
2025-11-01,-0.0080815362,1.6113951165
2025-11-02,-0.0154692243,1.586468084
2025-11-03,-0.1351099062,1.37212053
2025-11-04,-0.0036348639,1.3671330586
2025-11-05,0.0136392319,1.3857797034
2025-11-06,-0.0231965965,1.3536343308
2025-11-07,0.1073067664,1.4988884537
2025-11-08,0.0736003516,1.6092071709
2025-11-09,-0.0438042919,1.5387169903
2025-11-10,0.0197795295,1.5691520884
