date,daily_return,equity_twr
2025-11-13,0.0280288058,1.0280288058
2025-11-14,0.0192398095,1.0478078842
2025-11-15,-0.2532786479,0.78242052
2025-11-16,0.0101894743,0.7903929738
2025-11-17,0.0508749478,0.8306041751
2025-11-18,-0.0165048355,0.8168951898
2025-11-19,0.1023896014,0.9005367627
2025-11-20,-0.0268903748,0.8763209916
2025-11-21,0.019578144,0.8934777302
2025-11-22,0.0277790679,0.9182977087
2025-11-23,-0.0236521363,0.8965780061
2025-11-24,0.1997541121,1.0756731497
2025-11-25,0.0525241092,1.1321719237
2025-11-26,-0.0027509424,1.1290573839
2025-11-27,0.016416397,1.1475924382
2025-11-28,-0.0136561537,1.1319207394
2025-11-29,-0.0053079014,1.1259126158
2025-11-30,0.0004527602,1.1264223842
2025-12-01,-0.0045938024,1.1212478223
2025-12-02,0.0580605337,1.1863480693
2025-12-03,0.0420729686,1.2362612544
2025-12-04,-0.0125266245,1.2207750739
2025-12-05,-0.1080888308,1.0888229235
2025-12-06,0.0597618446,1.1538929898
2025-12-07,-0.0371998518,1.1109683416
2025-12-08,0.0057527862,1.1173595049
2025-12-09,0.0497596243,1.1729588941
2025-12-10,-0.0454593796,1.1196369105
2025-12-11,-0.0060908039,1.1128174216
2025-12-12,0.0090002356,1.1228330406
2025-12-13,0.0252802524,1.1512185433
2025-12-14,-0.0002221938,1.1509627496
2025-12-15,-0.0055144793,1.1446157894
2025-12-16,-0.0044753731,1.1394932067
2025-12-17,-0.0020303201,1.1371796707
2025-12-18,0.0044902136,1.1422858503
2025-12-19,-0.0055128971,1.135988546
2025-12-20,-5.82851e-05,1.1359223348
2025-12-21,-0.000884641,1.1349174513
2025-12-22,-0.0050969179,1.1291328702
2025-12-23,0.0021119715,1.1315175667
2025-12-24,0.0029970439,1.1349087745
2025-12-25,-0.0059716888,1.1281314525
2025-12-26,0.0011440125,1.129422049
2025-12-27,-0.000964462,1.1283327643
2025-12-28,0.0005830362,1.1289906232
2025-12-29,0.0226665969,1.1545809985
2025-12-30,0.0082108381,1.1640610762
2025-12-31,-0.0030898242,1.1604643321
2026-01-01,0.0048924251,1.1661418169
2026-01-02,-0.0007924696,1.165217685
2026-01-03,0.0051614137,1.1712318555
2026-01-04,0.0033827188,1.1751938035
