date,daily_return,equity_twr
2025-08-26,0.0225158479,1.0225158479
2025-08-27,0.0,1.0225158479
2025-08-28,0.0,1.0225158479
2025-08-29,0.0,1.0225158479
2025-08-30,0.0,1.0225158479
2025-08-31,0.0,1.0225158479
2025-09-01,0.0032987697,1.0258888922
2025-09-02,0.003538254,1.0295187477
2025-09-03,-0.0038621775,1.0255425635
2025-09-04,0.0172653814,1.043248947
2025-09-05,-0.0989061446,0.9400652158
2025-09-06,0.0,0.9400652158
2025-09-07,0.0,0.9400652158
2025-09-08,0.0,0.9400652158
2025-09-09,0.0,0.9400652158
2025-09-10,0.0,0.9400652158
2025-09-11,0.0,0.9400652158
2025-09-12,0.0,0.9400652158
2025-09-13,0.0,0.9400652158
2025-09-14,0.0062554138,0.9459457127
2025-09-15,0.0035838697,0.9493358589
2025-09-16,0.0543500587,1.0009323186
2025-09-17,-0.014375833,0.9865430827
2025-09-18,0.036363566,1.0224173072
2025-09-19,-0.0622617184,0.9587598488
2025-09-20,-0.0051697126,0.9538033359
2025-09-21,0.0,0.9538033359
2025-09-22,-0.0377478573,0.9177993037
2025-09-23,0.0,0.9177993037
2025-09-24,0.0,0.9177993037
2025-09-25,0.0010919926,0.9188015337
2025-09-26,0.0032893555,0.9218237986
2025-09-27,-0.00401473,0.9181229249
2025-09-28,0.0,0.9181229249
2025-09-29,0.0,0.9181229249
2025-09-30,0.0,0.9181229249
2025-10-01,0.0,0.9181229249
2025-10-02,0.0351136492,0.9503615712
2025-10-03,0.0066048888,0.9566386037
2025-10-04,-0.0279758239,0.9298758506
2025-10-05,0.0617333608,0.987280212
2025-10-06,0.1480893916,1.133485938
2025-10-07,-0.0752725642,1.0481655449
2025-10-08,0.011926591,1.0606665867
2025-10-09,-0.0104031939,1.0496322665
2025-10-10,-0.0435767845,1.0038926674
2025-10-11,0.0046453058,1.0085560559
2025-10-12,-0.0190813218,0.9893114732
2025-10-13,0.0091524619,0.9983661088
2025-10-14,0.0890543985,1.0872750021
2025-10-15,-0.0544776478,1.0280428174
2025-10-16,0.0,1.0280428174
2025-10-17,0.0056169263,1.0338172582
2025-10-18,0.0009758392,1.0348260976
2025-10-19,0.004331066,1.0393079977
2025-10-20,-0.0009001437,1.0383724712
2025-10-21,-0.0249612986,1.0124533459
2025-10-22,-0.0356693599,0.9763397831
2025-10-23,0.0,0.9763397831
2025-10-24,0.0,0.9763397831
2025-10-25,0.0,0.9763397831
2025-10-26,0.0,0.9763397831
2025-10-27,0.0,0.9763397831
2025-10-28,0.0,0.9763397831
2025-10-29,0.0,0.9763397831
2025-10-30,0.0,0.9763397831
2025-10-31,0.0,0.9763397831
2025-11-01,0.0,0.9763397831
2025-11-02,0.0,0.9763397831
2025-11-03,0.0,0.9763397831
2025-11-04,0.0263665779,1.002082522
2025-11-05,-0.0848270788,0.917078789
2025-11-06,0.0,0.917078789
2025-11-07,0.0,0.917078789
2025-11-08,0.0,0.917078789
2025-11-09,0.0,0.917078789
2025-11-10,0.0,0.917078789
2025-11-11,0.0,0.917078789
2025-11-12,0.0,0.917078789
2025-11-13,0.0,0.917078789
2025-11-14,0.0222299733,0.937465426
2025-11-15,0.0154356453,0.9519358098
2025-11-16,-0.0543193527,0.9002272728
2025-11-17,-0.0786298391,0.8294425472
2025-11-18,-0.1552694643,0.7006554472
2025-11-19,0.0,0.7006554472
2025-11-20,0.0,0.7006554472
2025-11-22,0.0,0.7006554472
2025-11-28,0.0,0.7006554472
2025-11-29,0.0,0.7006554472
2025-11-30,0.0,0.7006554472
2025-12-01,0.0,0.7006554472
2025-12-02,0.0,0.7006554472
2025-12-03,0.0,0.7006554472
2025-12-04,0.0,0.7006554472
2025-12-05,0.0,0.7006554472
2025-12-06,0.0,0.7006554472
2025-12-07,0.0,0.7006554472
2025-12-08,0.0,0.7006554472
2025-12-09,0.0,0.7006554472
2025-12-10,0.0,0.7006554472
2025-12-11,0.0,0.7006554472
2025-12-12,0.0,0.7006554472
2025-12-13,0.0,0.7006554472
2025-12-14,0.0,0.7006554472
2025-12-15,0.0,0.7006554472
2025-12-16,0.0,0.7006554472
2025-12-17,0.0,0.7006554472
2025-12-18,0.0,0.7006554472
2025-12-19,0.0,0.7006554472
2025-12-20,0.0,0.7006554472
2025-12-21,0.0,0.7006554472
2025-12-22,0.0,0.7006554472
2025-12-23,0.0,0.7006554472
2025-12-24,0.0,0.7006554472
2025-12-25,0.0,0.7006554472
2025-12-26,0.0,0.7006554472
2025-12-27,0.0,0.7006554472
2025-12-28,0.0,0.7006554472
2025-12-29,0.0,0.7006554472
2025-12-30,0.0,0.7006554472
2025-12-31,0.0,0.7006554472
2026-01-01,0.0,0.7006554472
2026-01-02,0.0,0.7006554472
2026-01-03,0.0,0.7006554472
2026-01-04,0.0,0.7006554472
