date,daily_return,equity_twr
2025-11-10,0.0,1.0
2025-11-11,0.0,1.0
2025-11-12,0.0,1.0
2025-11-13,0.0,1.0
2025-11-14,0.0,1.0
2025-11-15,0.0,1.0
2025-11-16,0.0,1.0
2025-11-17,0.0,1.0
2025-11-18,0.0,1.0
2025-11-19,0.0,1.0
2025-11-20,0.0,1.0
2025-11-21,0.0,1.0
2025-12-16,0.0,1.0
2025-12-17,0.0,1.0
2025-12-18,0.0,1.0
2025-12-19,0.0,1.0
2025-12-20,0.0,1.0
2025-12-21,0.0,1.0
2025-12-22,0.0,1.0
2025-12-23,0.1079244808,1.1079244808
2025-12-24,0.0,1.1079244808
2025-12-25,0.0,1.1079244808
2025-12-26,0.0,1.1079244808
2025-12-27,0.0561130646,1.1700935188
2025-12-28,0.0,1.1700935188
2025-12-29,0.0,1.1700935188
2025-12-30,0.0,1.1700935188
2025-12-31,0.0,1.1700935188
2026-01-01,0.0,1.1700935188
2026-01-02,0.0,1.1700935188
2026-01-03,0.0,1.1700935188
2026-01-04,0.0,1.1700935188
