date,daily_return,equity_twr
2025-09-03,0.0043632967,1.0043632967
2025-09-04,0.0025883103,1.0069629006
2025-09-05,0.0072804768,1.0142940706
2025-09-06,-0.0037445797,1.0104959656
2025-09-07,0.0046388483,1.0151835031
2025-09-08,0.0399819091,1.0557724776
2025-09-09,-0.0026668783,1.0529568609
2025-09-10,0.0085890647,1.0620007755
2025-09-11,0.0080724779,1.0705737533
2025-09-12,0.0100555911,1.0813390052
2025-09-13,-0.0033636262,1.077701785
2025-09-14,0.0068316458,1.0850642619
2025-09-15,0.0069322779,1.0925862289
2025-09-16,0.0012057816,1.0939036493
2025-09-17,-0.0017599029,1.0919784851
2025-09-18,0.0019932575,1.0941550794
2025-09-19,0.0036642779,1.0981643677
2025-09-20,-0.0013063016,1.0967298338
2025-09-21,0.0077586391,1.1052389648
2025-09-22,0.0214592265,1.128956538
2025-09-23,0.0039777179,1.1334472087
2025-09-24,0.0049090255,1.1390113299
2025-09-25,-0.0056777753,1.1325442795
2025-09-26,0.0076055145,1.1411578615
2025-09-27,-0.0028801126,1.1378711983
2025-09-28,-0.0015821394,1.1360709275
2025-09-29,0.0030092406,1.1394896382
2025-09-30,-0.0006504313,1.1387484785
2025-10-01,-0.0041044642,1.1340745261
2025-10-02,0.0058683711,1.1407296963
2025-10-03,0.014483714,1.157251699
2025-10-04,-0.0025733517,1.1542736834
2025-10-05,-0.00038874,1.153824971
2025-10-06,-0.0017960933,1.1517525937
2025-10-07,0.0098638749,1.1631133372
2025-10-08,0.0132647363,1.1785417289
2025-10-09,0.0104306085,1.1908346363
2025-10-10,-0.0517101816,1.129256361
2025-10-11,0.007031491,1.1371967169
2025-10-12,0.0329002166,1.1746107352
2025-10-13,0.0162508597,1.1936991695
2025-10-14,-0.0102676429,1.1814426927
2025-10-15,-0.0014780547,1.1796964558
2025-10-16,1.7188e-05,1.1797167324
2025-10-17,-0.0046435027,1.1742387146
2025-10-18,0.0037858219,1.1786841732
2025-10-19,-0.0003044672,1.1783253025
2025-10-20,-0.0024288697,1.1754633039
2025-10-21,0.0174389197,1.1959621141
2025-10-22,0.0050389723,1.201988534
2025-10-23,-0.0095024308,1.1905667212
2025-10-24,-0.0131805859,1.1748743542
2025-10-25,0.0132235774,1.1904103962
2025-10-26,-0.0013145657,1.1888455235
2025-10-27,-0.0122005198,1.1743409902
2025-10-28,-4.14202e-05,1.1742923487
2025-10-29,-0.0004879658,1.1737193342
2025-10-30,0.0069609486,1.1818895342
2025-10-31,0.0012016069,1.1833097008
2025-11-01,-0.0298954855,1.1479340828
2025-11-02,0.0150600099,1.1652219814
2025-11-03,-0.0066355317,1.1574901141
2025-11-04,0.0043452921,1.1625197467
2025-11-05,0.0081160117,1.1719547706
2025-11-06,-0.0123215483,1.1575144733
2025-11-07,0.021637602,1.1825603107
2025-11-08,0.0231324586,1.2099158382
2025-11-09,-0.0013796438,1.2082465853
2025-11-10,-0.0078427173,1.1987706489
2025-11-11,0.0171439146,1.2193222705
2025-11-12,-0.006276968,1.2116686236
2025-11-13,0.008508809,1.2219784805
2025-11-14,0.0200499623,1.246479103
2025-11-15,-0.0030448776,1.2426837267
2025-11-16,-0.0070368136,1.2339391929
2025-11-17,-0.0022607243,1.2311495966
2025-11-18,0.0019947073,1.2336053797
2025-11-19,0.0271127161,1.2670517722
2025-11-20,-0.0136907275,1.2497049116
2025-11-21,0.0230615996,1.2785251059
2025-11-22,-0.0053556956,1.2716777146
2025-11-23,-0.002351825,1.2686869512
2025-11-24,-0.0212920232,1.2416740392
2025-11-25,0.0167166905,1.2624307198
2025-11-26,0.0054785991,1.2693470716
2025-11-27,0.0026502636,1.2727111759
2025-11-28,0.001788138,1.2749869592
2025-11-29,-0.0069304162,1.2661507689
2025-11-30,0.0010432905,1.267471732
2025-12-01,-0.0355849133,1.2223688603
2025-12-02,0.040822327,1.2722688016
2025-12-03,0.0137307829,1.2897380483
2025-12-04,-0.0034078873,1.2853427664
2025-12-05,0.0038283623,1.2902635242
2025-12-06,0.0005736939,1.2910037405
2025-12-07,0.0147944513,1.3101034324
2025-12-08,-0.0070104087,1.3009190719
2025-12-09,-0.011918858,1.2854136023
2025-12-10,0.0057908985,1.292857302
2025-12-11,-0.0053951915,1.2858820892
2025-12-12,0.013824081,1.3036582274
2025-12-13,-0.0028000152,1.3000079645
2025-12-14,-0.0171753266,1.2776799032
2025-12-15,-0.0123976493,1.2618396758
2025-12-16,-0.0013171567,1.2601776352
2025-12-17,-0.009800929,1.2478267237
2025-12-18,-0.0172391978,1.226315192
2025-12-19,0.0007506598,1.2272357375
2025-12-20,0.0021120128,1.2298276751
2025-12-21,0.0031328839,1.2336805824
2025-12-22,0.0061010396,1.2412073165
2025-12-23,-0.0010596868,1.2398920255
2025-12-24,0.0016578516,1.2419475825
2025-12-25,0.0011470848,1.2433722017
2025-12-26,0.0055943571,1.2503280698
2025-12-27,-0.0055477316,1.2433915852
2025-12-28,-0.0005314501,1.2427307846
2025-12-29,0.000313973,1.2431209686
2025-12-30,-0.0021377735,1.2404634575
2025-12-31,-0.0002410397,1.2401644565
2026-01-01,-0.0025213633,1.2370375514
2026-01-02,-8.56261e-05,1.2369316287
2026-01-03,-0.0032557327,1.2329045099
2026-01-04,-0.0015838348,1.2309517929
