date,daily_return,equity_twr
2025-07-11,0.0408241722,1.0408241722
2025-07-12,0.0486017451,1.0914100433
2025-07-13,0.0899367768,1.1895679448
2025-07-14,0.0194557041,1.2127118267
2025-07-15,-0.0133149048,1.1965646842
2025-07-16,0.1015002116,1.3180162528
2025-07-17,-0.003182128,1.3138221564
2025-07-18,-0.0402893278,1.2608891449
2025-07-19,0.0029459984,1.2646037223
2025-07-20,0.0036149491,1.2691752004
2025-07-21,0.0051924431,1.2757653204
2025-07-22,-0.0022011126,1.2729572173
2025-07-23,-0.0496317155,1.2097781668
2025-07-24,0.009246795,1.2209647375
2025-07-25,0.0010703648,1.2222716152
2025-07-26,0.0039078677,1.227048091
2025-07-27,0.0229266259,1.2551801635
2025-07-28,-0.032174818,1.2147949702
2025-07-29,-0.0003375297,1.2143849408
2025-07-30,-0.0034545299,1.2101898117
2025-07-31,-0.0039780664,1.2053755963
2025-08-01,-0.0076167513,1.1961945501
2025-08-02,-0.0033460544,1.1921920181
2025-08-03,0.0039121124,1.1968560073
2025-08-04,0.0065888717,1.204741938
2025-08-05,-0.0067015432,1.1966683078
2025-08-06,0.0044210149,1.2019587962
2025-08-07,0.0089048006,1.2126619996
2025-08-08,0.0154755206,1.2314285754
2025-08-09,0.0300061027,1.2683789477
2025-08-10,-0.0003007762,1.2679974495
2025-08-11,-0.0414058976,1.215494877
2025-08-12,0.0383923672,1.2621606026
2025-08-13,0.0092586973,1.2738465656
2025-08-14,-0.0481542413,1.2125054507
2025-08-15,-0.0060985794,1.2051108899
2025-08-16,-0.005780169,1.1981451453
2025-08-17,0.0351226926,1.2402272289
2025-08-18,-0.0732187615,1.1494193272
2025-08-19,-0.0815772254,1.0556528877
2025-08-20,0.0662144337,1.1255523458
2025-08-21,-0.0628956504,1.054759999
2025-08-22,0.2131170021,1.2795472879
2025-08-23,-0.0162964398,1.2586952226
2025-08-24,-0.0165073757,1.2379174676
2025-08-25,-0.0814536445,1.1370845783
2025-08-26,0.0389840328,1.1814127208
2025-08-27,0.0040283158,1.1861718243
2025-08-28,0.0,1.1861718243
2025-08-29,0.0,1.1861718243
2025-08-30,0.0,1.1861718243
2025-08-31,0.0,1.1861718243
2025-09-01,0.0,1.1861718243
2025-09-02,0.0,1.1861718243
2025-09-03,0.0,1.1861718243
2025-09-04,0.0,1.1861718243
2025-09-05,0.0,1.1861718243
2025-09-06,0.0,1.1861718243
2025-09-07,0.0,1.1861718243
2025-09-08,0.0,1.1861718243
2025-09-09,-0.0009437396,1.185052387
2025-09-10,0.0005920752,1.1857540271
2025-09-11,0.0008561223,1.1867691776
2025-09-12,0.0140291661,1.2034185595
2025-09-13,-0.0032700599,1.1994833087
2025-09-14,-9.89841e-05,1.199364579
2025-09-15,-0.0046172048,1.1938268671
2025-09-16,0.0,1.1938268671
2025-09-17,0.0,1.1938268671
2025-09-18,0.0,1.1938268671
2025-09-19,0.0,1.1938268671
2025-09-20,0.0,1.1938268671
2025-09-21,0.0,1.1938268671
2025-09-22,0.0,1.1938268671
2025-09-23,0.0,1.1938268671
2025-09-24,0.0,1.1938268671
2025-09-25,0.0,1.1938268671
2025-09-26,0.0,1.1938268671
2025-09-27,0.0,1.1938268671
2025-09-28,0.0,1.1938268671
2025-09-29,0.0033108869,1.1977794928
2025-09-30,-0.0172074536,1.1771687578
2025-10-01,0.0214656755,1.2024374803
2025-10-02,0.0494282201,1.2618718248
2025-10-03,0.0037177215,1.2665631128
2025-10-04,0.0,1.2665631128
2025-10-05,0.0,1.2665631128
2025-10-06,0.0,1.2665631128
2025-10-07,0.0037420825,1.2713026964
2025-10-08,0.0117926638,1.2862947417
2025-10-09,-0.0263796253,1.2523627684
2025-10-10,0.1069569195,1.3863116322
