date,daily_return,equity_twr
2025-07-11,-0.0726930913,0.9273069087
2025-07-12,0.0405699852,0.9649277363
2025-07-13,-0.0548238996,0.9120266349
2025-07-14,-0.0936819103,0.8265862375
2025-07-15,0.0495996785,0.8675846492
2025-07-16,-0.2630060333,0.639404652
2025-07-17,-0.0738678552,0.5921732018
2025-07-18,0.0855076553,0.6428085438
2025-07-19,-0.0164008234,0.6322659544
2025-07-20,-0.2075278925,0.5010531334
2025-07-21,-0.0879241638,0.4569984556
2025-07-22,-0.0291476969,0.4436780031
2025-07-23,0.1355786238,0.5038312562
2025-07-24,0.0367949766,0.5223697155
2025-07-25,-0.0591113837,0.4914917188
2025-07-26,-0.0218348029,0.480760094
2025-07-27,-0.1176995829,0.4241748315
2025-07-28,0.132887276,0.4805422694
2025-07-29,0.0402053266,0.4998626282
2025-07-30,0.0493071983,0.524509454
2025-07-31,0.0811654672,0.5670815089
2025-08-01,0.0274806858,0.5826652976
2025-08-02,-0.0079347129,0.5780420158
2025-08-03,0.024484203,0.5921949138
2025-08-04,0.0880339859,0.6443281925
2025-08-05,0.1337337642,0.7304966271
2025-08-06,0.0214264545,0.7461485798
2025-08-07,-0.1395965156,0.641988838
2025-08-08,-0.0277779733,0.6241556892
2025-08-09,-0.0928458972,0.5662053942
2025-08-10,-0.0566982851,0.5341025194
2025-08-11,0.0540371722,0.5629639092
2025-08-12,-0.149256249,0.4789380278
2025-08-13,-0.1344290653,0.4145548364
2025-08-14,0.3303238463,0.5514921844
2025-08-15,0.0372595767,0.5720405497
2025-08-16,-0.0019495028,0.5709253551
2025-08-17,-0.0527831777,0.5407901006
2025-08-18,0.1381969771,0.6155256578
2025-08-19,0.059113594,0.6519115916
2025-08-20,0.0292660269,0.6709904538
2025-08-21,0.1546515155,0.7747601443
2025-08-22,-0.3636630223,0.4930085287
2025-08-23,0.0309767464,0.5082803289
2025-08-24,0.081929798,0.5499236335
2025-08-25,0.2516782356,0.6883274433
2025-08-26,-0.0570348038,0.6490688226
2025-08-27,0.0974648574,0.7123302229
2025-08-28,-0.0650142536,0.6660186051
2025-08-29,0.2469074001,0.8304635273
2025-08-30,-0.0976224814,0.7493916171
2025-08-31,-0.0528344964,0.7097978884
2025-09-01,0.2290789624,0.8723976522
2025-09-02,-0.1573427017,0.7351322486
2025-09-03,-0.0127283367,0.7257752379
2025-09-04,0.1477196784,0.8329865226
2025-09-05,-0.0167264658,0.819053602
2025-09-06,0.0381804553,0.8503254414
2025-09-07,-0.0368440541,0.8189960049
2025-09-08,-0.1701112631,0.67967556
2025-09-09,0.0541817273,0.7165015559
2025-09-10,-0.0499764472,0.6806933537
2025-09-11,-0.0728640739,0.6310952629
2025-09-12,-0.1889464469,0.5118520553
2025-09-13,-0.0118359778,0.5057937857
2025-09-14,0.0263031836,0.5190977725
2025-09-15,0.1027894788,0.572455562
2025-09-16,-0.0796604465,0.5268534963
2025-09-17,-0.1010742392,0.47360218
2025-09-18,-0.0410962593,0.454138902
2025-09-19,0.1927957573,0.5416949556
2025-09-20,0.0319344043,0.5589936613
2025-09-21,0.0566826677,0.5906789132
2025-09-22,0.2882877542,0.7609644106
2025-09-23,0.0446348851,0.7949299696
2025-09-24,-0.0436414682,0.7602380586
2025-09-25,0.1365813391,0.8640723907
2025-09-26,0.0059004499,0.8691708066
2025-09-27,0.0155952138,0.8827257111
2025-09-28,-0.0812308472,0.8110211538
2025-09-29,0.0446206428,0.847209439
2025-09-30,0.107978054,0.9386894655
2025-10-01,-0.2685914013,0.6865655466
2025-10-02,-0.1530880705,0.5814605518
2025-10-03,-0.1442334004,0.4975945192
2025-10-04,-0.0232813374,0.4860098533
2025-10-05,-0.0143968725,0.4790128314
2025-10-06,-0.1270626336,0.4181481995
2025-10-07,0.2861762221,0.5378122716
2025-10-08,-0.1035373532,0.4821286124
2025-10-09,0.0957082981,0.5282723214
2025-10-10,0.9844839157,1.0483479249
2025-10-11,-0.2204138884,0.8172774824
2025-10-12,0.0077700644,0.8236277811
2025-10-13,-0.0514781575,0.7812289404
2025-10-14,0.0597607618,0.8279157771
2025-10-15,0.1312287648,0.9365621418
2025-10-16,0.1502847963,1.0773131925
2025-10-17,0.0384804016,1.1187686368
2025-10-18,0.0123783744,1.1326171739
2025-10-19,-0.06165121,1.0627899547
2025-10-20,-0.0349765464,1.0256172325
2025-10-21,-0.0019328561,1.023634862
2025-10-22,0.1520866869,1.1793160967
2025-10-23,-0.1076089492,1.0524111308
2025-10-24,-0.117049606,0.9292268226
2025-10-25,-0.0348517294,0.8968416608
2025-10-26,-0.2183372192,0.7010277465
2025-10-27,0.0329583111,0.7241324371
2025-10-28,0.098108863,0.7951762471
2025-10-29,0.0143034526,0.8065500129
2025-10-30,0.3102023458,1.0567437189
2025-10-31,-0.1115705004,0.9388422934
2025-11-01,-0.0149224891,0.9248324295
2025-11-02,0.0772239525,0.9962516451
2025-11-03,0.1375825725,1.1333185093
2025-11-04,-0.1595043327,0.9525492967
2025-11-05,-0.1774144749,0.7835532634
2025-11-06,0.1711940919,0.9176929528
2025-11-07,-0.2161210552,0.7193601835
2025-11-08,0.1250069858,0.8092852318
2025-11-09,-0.1380821305,0.6975374028
2025-11-10,-0.0283770137,0.6777433743
2025-11-11,0.2370340903,0.8383916585
2025-11-12,0.1210836284,0.9399071626
2025-11-13,-0.085470369,0.8595729506
2025-11-14,0.1266293156,0.968420085
2025-11-15,-0.1067936251,0.8649989935
2025-11-16,0.0367187235,0.8967606524
2025-11-17,0.1829695926,1.0608405836
2025-11-18,-0.1383138969,0.9141115885
2025-11-19,0.1530271862,1.0539955128
2025-11-20,0.2382861588,1.3051480549
2025-11-22,0.1807768082,1.5410885545
2025-11-28,-0.3131099254,1.0585584321
2025-11-29,0.0631457613,1.1254019102
2025-11-30,-0.0236208896,1.0988189159
2025-12-01,0.211192838,1.3308816013
2025-12-02,-0.0587067996,1.2527498018
2025-12-03,0.0035790385,1.2572334416
2025-12-04,-0.0155609769,1.237669661
2025-12-05,-0.0163152724,1.2174767434
2025-12-06,0.0071526833,1.2261849689
2025-12-07,0.0622071658,1.3024624606
2025-12-08,-0.0836677955,1.1934882978
2025-12-09,-0.2237322273,0.9264665027
2025-12-10,0.0100469704,0.9357746842
2025-12-11,0.1009832588,1.0302722613
2025-12-12,0.2139738645,1.2507235986
2025-12-13,-0.0447878251,1.1947064088
2025-12-14,0.0709414901,1.2794606617
2025-12-15,0.1982428784,1.533104626
2025-12-16,-0.0285061253,1.4894017535
2025-12-17,0.1782003571,1.7548136778
2025-12-18,-0.0364621928,1.6908293231
2025-12-19,-0.1123085629,1.5009347117
2025-12-20,0.0086858469,1.5139716009
2025-12-21,0.020981364,1.5457367901
2025-12-22,-0.0225110803,1.5109405851
2025-12-23,-0.0132214921,1.4909636961
2025-12-24,-0.0157967047,1.4674113829
2025-12-25,-0.022786657,1.433973983
2025-12-26,0.0024901334,1.4375447695
2025-12-27,-0.0207728414,1.40768288
2025-12-28,0.0011279645,1.4092706963
2025-12-29,-0.0031083954,1.4048901258
2025-12-30,-0.0136569995,1.385703542
2025-12-31,0.0348267753,1.4339631279
2026-01-01,-0.0543435898,1.3560364239
2026-01-02,-0.1500213316,1.1526020339
2026-01-03,0.0623341557,1.2244485085
2026-01-04,-0.0489056609,1.164566045
