date,daily_return,equity_twr
2025-07-11,-0.0506102857,0.9493897143
2025-07-12,-0.0308350144,0.9201152688
2025-07-13,0.0206847644,0.9391476363
2025-07-14,0.067618128,1.0026510414
2025-07-15,0.0088101647,1.0114845622
2025-07-16,0.0226964153,1.0344416359
2025-07-17,0.0181049453,1.0531701452
2025-07-18,0.0062346561,1.0597362988
2025-07-19,0.0120961934,1.0725550741
2025-07-20,0.0069983997,1.0800612432
2025-07-21,0.0192151193,1.1008147488
2025-07-22,0.0032344952,1.1043753288
2025-07-23,-0.0132275837,1.0897671117
2025-07-24,-0.0187716196,1.0693104181
2025-07-25,0.0353950124,1.1071586736
2025-07-26,-0.0009011126,1.1061609989
2025-07-27,0.0141317894,1.1217930332
2025-07-28,-0.0194035147,1.1000263056
2025-07-29,-0.0067815184,1.092566457
2025-07-30,-0.0673283782,1.0190057293
2025-07-31,-0.0840946597,0.9333127893
2025-08-01,-0.0965521168,0.8431994639
2025-08-02,-0.0372334801,0.8118042134
2025-08-03,0.0726246575,0.8707612164
2025-08-04,0.169598052,1.0184406224
2025-08-05,-0.1448815666,0.8708873495
2025-08-06,0.0752858944,0.9364528826
2025-08-07,0.1084125561,1.0379761332
2025-08-08,0.023051341,1.061902875
2025-08-09,0.0921986297,1.159808865
2025-08-10,0.0030739813,1.1633740958
2025-08-11,-0.0849450025,1.0645512803
2025-08-12,0.1267407131,1.1994732687
2025-08-13,0.1386615477,1.3657940885
2025-08-14,0.0383649673,1.4181927341
2025-08-15,-0.0004464626,1.4175595641
2025-08-16,-0.001312785,1.4156986131
2025-08-17,0.0108243364,1.4310226112
2025-08-18,-0.009351178,1.417640864
2025-08-19,-0.0389040876,1.3624888397
2025-08-20,0.0487461859,1.4289049739
2025-08-21,-0.0256508536,1.3922523416
2025-08-22,0.065569976,1.4835422943
2025-08-23,-0.0094289748,1.4695540113
2025-08-24,-0.0346044786,1.418700861
2025-08-25,0.0020808784,1.421653005
2025-08-26,0.0688510649,1.5195353283
2025-08-27,0.0406829759,1.5813545474
2025-08-28,0.0006068097,1.5823141287
2025-08-29,-0.006275907,1.5723836724
2025-08-30,0.0079788249,1.5849294464
2025-08-31,0.0184322119,1.6141432018
2025-09-01,-0.0654090145,1.5085636857
2025-09-02,0.0552022639,1.5918398164
2025-09-03,0.0062113376,1.6017272709
2025-09-04,-0.00978602,1.5860527358
2025-09-05,-0.0121114478,1.5668433409
2025-09-06,-0.0049612759,1.5590697988
2025-09-07,0.0337500204,1.6116884363
2025-09-08,0.0862155701,1.7506410736
2025-09-09,0.0137677039,1.7747433816
2025-09-10,-0.0105021281,1.7561047992
2025-09-11,-0.0133688902,1.732627627
2025-09-12,-0.0385222725,1.6658828734
2025-09-13,0.0039548422,1.6724711773
2025-09-14,0.0097167888,1.6887222265
2025-09-15,0.0226529007,1.7269766834
2025-09-16,0.0220767288,1.7651026793
2025-09-17,0.0046373167,1.7732880194
2025-09-18,-0.0001652162,1.7729950435
2025-09-19,0.0026234035,1.7776463249
2025-09-20,-0.0048187775,1.7690802428
2025-09-21,-0.0070072438,1.7566838662
2025-09-22,-0.0507647279,1.6675062878
2025-09-23,0.008727088,1.6820587619
2025-09-24,0.0086043761,1.6965318281
2025-09-25,-0.0533909351,1.6059524074
2025-09-26,0.0545754226,1.6935979387
2025-09-27,0.0157095667,1.7202036284
2025-09-28,0.0296264166,1.7711670978
2025-09-29,0.0304412411,1.8250836224
2025-09-30,0.019948105,1.8614905822
