date,daily_return,equity_twr
2025-07-11,-0.0281598371,0.9718401629
2025-07-12,-0.023374678,0.949123712
2025-07-13,-0.0185932091,0.9314764564
2025-07-14,-0.2754950671,0.6748592875
2025-07-15,-0.7668687244,0.1573308066
2025-07-16,0.0798480316,0.1698933618
2025-07-17,0.1671891685,0.1982976917
2025-07-18,0.1483644581,0.2277180212
2025-07-19,0.0120906805,0.2304712871
2025-07-20,-0.0456101576,0.2199594553
2025-07-21,0.0216059129,0.2247118802
2025-07-22,0.0612926933,0.2384850765
2025-07-23,0.0800947695,0.2575864837
2025-07-24,0.0171000718,0.2619912311
2025-07-25,-0.0146963937,0.2581409048
2025-07-26,-0.0094920451,0.2556906197
2025-07-27,0.0075559698,0.2576226103
2025-07-28,0.057692584,0.2724855244
2025-07-29,-0.0011999941,0.2721585434
2025-07-30,0.0389786067,0.2827669042
2025-07-31,0.0108124529,0.285824308
2025-08-01,0.0624337967,0.3036694048
2025-08-02,0.0006045271,0.3038529812
2025-08-03,-0.0332270087,0.2937568555
2025-08-04,-0.0253304429,0.2863158643
2025-08-05,0.0193417524,0.2918537148
2025-08-06,-0.0169418541,0.2869091718
2025-08-07,-0.0384144569,0.2758877118
2025-08-08,-0.0149800606,0.2717548971
2025-08-09,-0.0034923812,0.2708058254
2025-08-10,0.0096111038,0.2734085683
2025-08-11,0.0145017139,0.2773734612
2025-08-12,-0.0664882898,0.2589313741
2025-08-13,-0.0290967502,0.2513973126
2025-08-14,0.0849462458,0.2727525705
2025-08-15,0.0030975886,0.2735974457
2025-08-16,0.0663968756,0.2917634613
2025-08-17,-0.0555055175,0.2755689794
2025-08-18,0.0480376777,0.2888066732
2025-08-19,0.0735685264,0.3100537546
2025-08-20,-0.0556190993,0.292808844
2025-08-21,0.0058802701,0.2945306391
2025-08-22,-0.0387265698,0.2831244778
2025-08-23,0.0157277149,0.2875773788
2025-08-24,-0.0016905084,0.2870912268
2025-08-25,0.0597562553,0.3042467235
2025-08-26,-0.2319502891,0.233676608
2025-08-27,-0.004420303,0.2326436866
2025-08-28,0.0292961192,0.2394592438
2025-08-29,-0.1720318735,0.1982646214
2025-08-30,-0.00729895,0.1968174979
2025-08-31,-0.016843226,0.1935024563
2025-09-01,0.0273926807,0.1988030073
2025-09-02,-0.0418996689,0.1904732271
2025-09-03,-0.018774259,0.1868972334
2025-09-04,0.0160202318,0.1898913704
2025-09-05,-0.00510921,0.1889211755
2025-09-06,0.0144840825,0.1916575254
2025-09-07,0.0257097543,0.1965849933
2025-09-08,0.0572948766,0.2078483062
2025-09-09,-0.0330213929,0.2009848657
2025-09-10,-0.0305394645,0.1948468955
2025-09-11,-0.0156335878,0.1918007394
2025-09-12,0.0023355251,0.1922486949
2025-09-13,0.0161777595,0.195358848
2025-09-14,0.0128190122,0.1978631555
2025-09-15,0.0144590432,0.2007240674
2025-09-16,-0.0142289672,0.1978679712
2025-09-17,-0.0402603957,0.1899017284
2025-09-18,-0.047505661,0.1808803213
2025-09-19,-0.0024613948,0.1804351034
2025-09-20,0.0294962987,0.1857572711
2025-09-21,0.0379126666,0.1927998246
2025-09-22,0.1501989171,0.2217581495
2025-09-23,0.0311693617,0.2286702094
2025-09-24,-0.0131620366,0.2256604438
2025-09-25,-0.2252262349,0.1748357916
2025-09-26,0.2100022387,0.2115516993
2025-09-27,0.2202992852,0.2581563874
2025-09-28,-0.0022042123,0.2575873559
2025-09-29,0.0198610773,0.2627033183
2025-09-30,0.0036222749,0.263654902
2025-10-01,-0.0016343691,0.2632239925
2025-10-02,-0.0145632812,0.2593905875
2025-10-03,0.0010866106,0.2596724441
2025-10-04,0.0046130061,0.2608703147
2025-10-05,-0.0376735846,0.2510423948
2025-10-06,0.0098412556,0.2535129672
2025-10-07,0.0116304079,0.2564614264
2025-10-08,-0.0037383564,0.2555026822
2025-10-09,0.0043994863,0.2566267627
2025-10-10,0.0262384802,0.2633602589
2025-10-11,0.0040203312,0.2644190544
2025-10-12,0.8683195498,0.4940192887
2025-10-13,0.0,0.4940192887
2025-10-14,0.0041872583,0.4960878751
2025-10-15,0.0075252202,0.4998210456
2025-10-16,-0.0011599957,0.4992412553
2025-10-17,0.0,0.4992412553
2025-10-18,0.0,0.4992412553
2025-10-19,0.0,0.4992412553
2025-10-20,0.0,0.4992412553
2025-10-21,0.0,0.4992412553
2025-10-22,0.0,0.4992412553
2025-10-23,0.0,0.4992412553
2025-10-24,0.0,0.4992412553
2025-10-25,0.0,0.4992412553
2025-10-26,0.0,0.4992412553
2025-10-27,0.0,0.4992412553
2025-10-28,0.0,0.4992412553
2025-10-29,0.0,0.4992412553
2025-10-30,0.0115788876,0.5050219137
2025-10-31,0.0024439403,0.5062561571
2025-11-01,0.00614663,0.5093679264
2025-11-02,0.0067976872,0.5128304502
2025-11-03,0.0031378656,0.5144396432
2025-11-04,0.0,0.5144396432
2025-11-05,0.0,0.5144396432
2025-11-06,0.0,0.5144396432
2025-11-07,-0.0876588824,0.469344439
2025-11-08,-0.0499061411,0.4459212692
2025-11-09,0.0702441743,0.4772446406
2025-11-10,0.0739954338,0.5125585648
2025-11-11,-0.1403050454,0.4406440121
2025-11-12,-0.0369088917,0.42438033
2025-11-13,-0.1632814625,0.355086889
2025-11-14,0.0655592684,0.3783661257
2025-11-15,-0.0547874122,0.3576364248
2025-11-16,0.1657593011,0.4169179886
2025-11-17,-0.102375647,0.3742357398
2025-11-18,0.0399110524,0.389171882
2025-11-19,0.0,0.389171882
2025-11-20,-6.12114e-05,0.3891480603
2025-11-21,0.0,0.3891480603
2025-11-28,-0.0215972754,0.3807435224
2025-11-29,0.0,0.3807435224
2025-11-30,0.0,0.3807435224
2025-12-01,-0.0002029676,0.3806662439
2025-12-02,0.0,0.3806662439
2025-12-03,0.0,0.3806662439
2025-12-04,0.0,0.3806662439
2025-12-05,0.0,0.3806662439
2025-12-06,0.0,0.3806662439
2025-12-07,0.0,0.3806662439
2025-12-08,0.0,0.3806662439
2025-12-09,0.0,0.3806662439
2025-12-10,0.0,0.3806662439
2025-12-11,0.0,0.3806662439
2025-12-12,0.0,0.3806662439
2025-12-13,0.0,0.3806662439
2025-12-14,0.0,0.3806662439
2025-12-15,0.0,0.3806662439
2025-12-16,0.0,0.3806662439
2025-12-17,0.0,0.3806662439
2025-12-18,0.0,0.3806662439
2025-12-19,0.0,0.3806662439
2025-12-20,0.0,0.3806662439
2025-12-21,0.0,0.3806662439
2025-12-22,0.0,0.3806662439
2025-12-23,0.0,0.3806662439
2025-12-24,0.0,0.3806662439
2025-12-25,0.0,0.3806662439
2025-12-26,0.0,0.3806662439
2025-12-27,0.0,0.3806662439
2025-12-28,0.0,0.3806662439
2025-12-29,-0.0001504197,0.3806089841
2025-12-30,0.0,0.3806089841
2025-12-31,0.0,0.3806089841
2026-01-01,0.0,0.3806089841
2026-01-02,0.0,0.3806089841
2026-01-03,0.0,0.3806089841
2026-01-04,0.0,0.3806089841
