date,daily_return,equity_twr
2025-07-11,-0.0256685283,0.9743314717
2025-07-12,0.0428335553,1.0160655527
2025-07-13,-0.0879104097,0.9267428137
2025-07-14,-0.0538230894,0.8768626523
2025-07-15,-0.0355539766,0.8456866981
2025-07-16,-0.5086051228,0.4155661112
2025-07-17,-0.0263813751,0.4046029057
2025-07-18,0.0909985136,0.4414211687
2025-07-19,-0.0105906797,0.4367462185
2025-07-20,-0.2185650781,0.3412887472
2025-07-21,-0.0666154426,0.3185536462
2025-07-22,-0.0230393475,0.3112143781
2025-07-23,0.2529823708,0.3899461293
2025-07-24,0.1956595285,0.466242805
2025-07-25,-0.0539094629,0.4411079058
2025-07-26,-0.0393029786,0.4237710513
2025-07-27,-0.1163004248,0.374486298
2025-07-28,0.2053702378,0.451394638
2025-07-29,0.1096821629,0.5009045783
2025-07-30,0.0457468359,0.5238193778
2025-07-31,0.041460733,0.5455373132
2025-08-01,-0.0353032361,0.5262780806
2025-08-02,0.0519442929,0.5536152234
2025-08-03,-0.0364490181,0.5334364921
2025-08-04,0.0414110621,0.5555266638
2025-08-05,0.1031967862,0.6128552301
2025-08-06,0.0126037265,0.6205794898
2025-08-07,-0.1226768265,0.5444487674
2025-08-08,-0.0761674726,0.5029794809
2025-08-09,-0.1673587248,0.4188014763
2025-08-10,0.0033657072,0.4202110395
2025-08-11,0.1398007305,0.4789568498
2025-08-12,-0.1434228122,0.4102635114
2025-08-13,-0.1436241157,0.3513397774
2025-08-14,0.4044573325,0.4934417266
2025-08-15,0.0605348303,0.5233121378
2025-08-16,-0.0324267137,0.5063428449
2025-08-17,-0.0543262338,0.4788351451
2025-08-18,0.1812849455,0.5656407483
2025-08-19,-0.0558219525,0.5340655773
2025-08-20,-0.0031886982,0.5323626034
2025-08-21,0.0592643262,0.5639127144
2025-08-22,-0.2382839581,0.4295413608
2025-08-23,0.0187553272,0.4375975495
2025-08-24,0.1196446086,0.4899537371
2025-08-25,0.2816348229,0.627941771
2025-08-26,-0.0958175665,0.5677739186
2025-08-27,0.0717708182,0.6085235173
2025-08-28,-0.0835754341,0.5576659002
2025-08-29,0.145956155,0.6390606708
2025-08-30,-0.0967683782,0.5772198061
2025-08-31,-0.026960486,0.5616576796
2025-09-01,0.2071624575,0.6780120648
2025-09-02,-0.002628775,0.6762297236
2025-09-03,-0.0032869068,0.6740070195
2025-09-04,0.1698138824,0.7884627683
2025-09-05,-0.0711270143,0.7323817657
2025-09-06,-0.0304830911,0.7100565056
2025-09-07,-0.0673173616,0.6622573751
2025-09-08,-0.2006018284,0.5294073348
2025-09-09,-0.045443901,0.5053490002
2025-09-10,-0.0796928892,0.4650762784
2025-09-11,-0.0329204081,0.4497657775
2025-09-12,-0.1388746073,0.3873047318
2025-09-13,-0.0490055505,0.3683246502
2025-09-14,0.0951319162,0.4033640799
2025-09-15,0.1954716356,0.4822103164
2025-09-16,-0.0792120116,0.4440134672
2025-09-17,-0.0874135272,0.4052006839
2025-09-18,-0.0941448449,0.3670531284
2025-09-19,0.1442199721,0.4199895203
2025-09-20,0.0032609811,0.4213590982
2025-09-21,0.0260402244,0.4323313836
2025-09-22,0.2358278703,0.5342871731
2025-09-23,0.0046027869,0.5367463831
2025-09-24,-0.0225899073,0.5246213321
2025-09-25,0.1785661283,0.6183009322
2025-09-26,-0.0121173839,0.6108087424
2025-09-27,0.0081947174,0.6158141474
2025-09-28,-0.0714428191,0.5718186487
2025-09-29,0.0200187837,0.5832657625
2025-09-30,0.0738985745,0.626368271
2025-10-01,-0.2156755677,0.4912759385
2025-10-02,-0.0739575256,0.4549423857
2025-10-03,-0.0620290372,0.4267227476
2025-10-04,0.0524592169,0.4491082887
2025-10-05,0.0068692964,0.4521933467
2025-10-06,-0.1702653587,0.3752004843
2025-10-07,0.220738838,0.4580218032
2025-10-08,-0.029767865,0.444387472
2025-10-09,0.1872859232,0.52761499
2025-10-10,-0.2650632,0.3877636724
2025-10-11,-0.0045168446,0.3860122041
2025-10-12,-0.1052165575,0.3453973288
2025-10-13,-0.0064839605,0.3431577862
2025-10-14,0.0287746056,0.3530320162
2025-10-15,0.0607995647,0.3744962091
2025-10-16,0.1363442032,0.4255565963
2025-10-17,0.0048558725,0.4276230449
2025-10-18,-0.0031890701,0.426259325
2025-10-19,-0.0497204403,0.4050655237
2025-10-20,-0.0066938031,0.4023540948
2025-10-21,0.0346324328,0.416288596
2025-10-22,0.0963406543,0.4563941117
2025-10-23,-0.0693971963,0.4247216399
2025-10-24,-0.0643028053,0.397410847
2025-10-25,-0.0017262373,0.3967248216
2025-10-26,-0.1107150054,0.3528014308
2025-10-27,0.0395325559,0.3667485731
2025-10-28,0.0367133498,0.3802131418
2025-10-29,0.0340021034,0.3931411883
2025-10-30,0.2342802473,0.4852464031
2025-10-31,-0.0606940319,0.4557948425
2025-11-01,-0.0235973917,0.445039273
2025-11-02,0.0643976846,0.4736987718
2025-11-03,0.1437232096,0.5417802796
2025-11-04,-0.1274821727,0.4727129525
2025-11-05,-0.1357280122,0.4085525631
2025-11-06,0.1605156894,0.4741316594
2025-11-07,-0.2118798745,0.3736727029
2025-11-08,0.1544265586,0.4313776925
2025-11-09,-0.1068023079,0.3853055593
2025-11-10,0.0127767922,0.3902285284
2025-11-11,0.1543942103,0.4504775539
