date,daily_return,equity_twr
2025-07-11,0.2182876483,1.2182876483
2025-07-12,-0.1712444372,1.0096626656
2025-07-13,0.0603493118,1.0705951126
2025-07-14,0.0394067509,1.1127837876
2025-07-15,0.1188333717,1.245019637
2025-07-16,0.000957599,1.2462118666
2025-07-17,0.0211890179,1.2726178721
2025-07-18,0.1152885172,1.4193360996
2025-07-19,0.0006043366,1.4201938563
2025-07-20,0.0441843555,1.4829442065
2025-07-21,0.035915471,1.5362048462
2025-07-22,-0.0123010193,1.5173079607
2025-07-23,0.054473951,1.5999617202
2025-07-24,-0.0263488219,1.5578046138
2025-07-25,0.0061145017,1.5673298128
2025-07-26,-0.0154317739,1.5431431335
2025-07-27,-0.0119676348,1.52467536
2025-07-28,0.0309030185,1.5717924309
2025-07-29,-0.0117635491,1.5533025734
2025-07-30,0.0423341014,1.6190602421
2025-07-31,-0.0252130507,1.5782387941
2025-08-01,0.0355648287,1.6343685865
2025-08-02,-0.0494545818,1.5535415715
2025-08-03,-0.0501093105,1.4756946745
2025-08-04,-0.0075690913,1.4645250068
2025-08-05,-0.0303382569,1.4200938709
2025-08-06,-0.0185473771,1.3937548544
2025-08-07,0.0158747536,1.4158803693
2025-08-08,0.058943943,1.499337941
2025-08-09,0.0409436478,1.5607263056
2025-08-10,-0.028686244,1.51595493
2025-08-11,-0.061151724,1.4232516725
2025-08-12,-0.051072448,1.3505627255
2025-08-13,-0.0321068196,1.3072004517
2025-08-14,0.0592203983,1.3846133831
2025-08-15,0.0541720041,1.459620665
2025-08-16,0.0226023575,1.4926115331
2025-08-17,0.0056253469,1.5010079907
2025-08-18,0.0238422309,1.5367953698
2025-08-19,0.0114731687,1.5544272824
2025-08-20,0.0057602434,1.5633811619
2025-08-21,-0.0103563694,1.547190209
2025-08-22,-0.0781087304,1.4263411461
2025-08-23,-0.0069030449,1.4164950491
2025-08-24,0.0126441306,1.4344053975
2025-08-25,-0.0312970566,1.3895127306
2025-08-26,0.0173464807,1.4136158864
2025-08-27,-0.0024235856,1.4101898673
2025-08-28,0.0386066877,1.4646326271
2025-08-29,-0.0463394354,1.3967623781
2025-08-30,0.0050495936,1.4038154604
2025-08-31,-0.0024230613,1.4004139295
2025-09-01,-0.0570290963,1.3205495887
2025-09-02,0.0247826545,1.3532763129
2025-09-03,-0.0108684762,1.3385682615
2025-09-04,-0.1169609485,1.182008048
2025-09-05,-0.0165516402,1.1624438761
