date,daily_return,equity_twr
2025-07-11,-0.0033379835,0.9966620165
2025-07-12,0.0406199337,1.0371463615
2025-07-13,0.0326447909,1.0710037876
2025-07-14,-0.0223402906,1.0470772518
2025-07-15,0.0110407496,1.0586377695
2025-07-16,0.0559156808,1.1178322211
2025-07-17,-0.0408902934,1.0721237336
2025-07-18,0.043399239,1.1186530878
2025-07-19,0.022868321,1.1442348057
2025-07-20,0.0800041025,1.2357782844
2025-07-21,0.043229629,1.2892005211
2025-07-22,-0.0170857728,1.2671735339
2025-07-23,0.1220735982,1.4218619668
2025-07-24,0.050557629,1.4937479366
2025-07-25,0.0495049114,1.5676957958
2025-07-26,-0.0326716146,1.516476643
2025-07-27,0.0069702573,1.5270468754
2025-07-28,0.0615365877,1.6210161293
2025-07-29,-0.001593603,1.6184328732
2025-07-30,0.0554865338,1.7082341035
2025-07-31,8.10645e-05,1.7083725806
2025-08-01,-0.1230478289,1.4981610436
2025-08-02,-0.0395031122,1.4389790198
2025-08-03,0.0904852332,1.569185372
2025-08-04,0.0595939486,1.6626993244
2025-08-05,0.0048500054,1.6707634251
2025-08-06,-0.001557803,1.6681607048
2025-08-07,-0.0084363229,1.6540875625
2025-08-08,-0.0342046006,1.5975101581
2025-08-09,-0.0994164141,1.4386914267
2025-08-10,0.1571495142,1.6647810854
2025-08-11,0.0037045598,1.6709483665
2025-08-12,0.0104675263,1.6884390625
2025-08-13,0.0224816035,1.72639788
2025-08-14,-0.054156935,1.6329014623
2025-08-15,0.0062850939,1.6431644013
2025-08-16,0.0027891683,1.6477474633
2025-08-17,0.0322364313,1.7008649612
2025-08-18,0.0055521193,1.7103083664
2025-08-19,-0.0183177572,1.678979353
2025-08-20,0.1216551,1.8832357541
2025-08-21,0.0041020109,1.8909608077
2025-08-22,0.013729848,1.9169234122
2025-08-23,-3.1185e-06,1.9169174342
2025-08-24,0.0359611858,1.9858520583
2025-08-25,-0.0395837255,1.9072446355
2025-08-26,0.0965814346,2.0914490585
2025-08-27,-0.2612967054,1.54496031
2025-08-28,0.0152594197,1.5685355078
2025-08-29,-0.0733095467,1.4535468808
2025-08-30,0.005577178,1.4616535704
2025-08-31,0.0199710218,1.4908442858
2025-09-01,-0.0309274776,1.4447362325
2025-09-02,0.1121970816,1.6068314215
2025-09-03,0.0452391394,1.6795230921
2025-09-04,-0.0490446752,1.5971514276
2025-09-05,0.0790985619,1.7234838087
2025-09-06,-0.0031813304,1.7180008372
2025-09-07,0.0114857744,1.7377334073
2025-09-08,0.0052272999,1.7468170609
2025-09-09,-0.0241387841,1.704651021
2025-09-10,-0.0026455617,1.7001412616
2025-09-11,-0.0002853361,1.6996561499
2025-09-12,0.0053887759,1.708815216
2025-09-13,0.0032669794,1.7143978801
2025-09-14,0.0001502332,1.7146554396
2025-09-15,0.0022450394,1.7185049086
2025-09-16,0.2059565805,2.0724423032
2025-09-17,0.0193941146,2.1126354867
2025-09-18,0.0041635756,2.1214316043
2025-09-19,-0.0067919339,2.107022981
2025-09-20,0.0016433894,2.1104856403
2025-09-21,-0.0018913946,2.1064938791
2025-09-22,-0.0580213949,1.9842721659
2025-09-23,-0.0786687896,1.8281718764
2025-09-24,0.0729729919,1.9615790479
2025-09-25,-0.276338334,1.4195195618
2025-09-26,0.1924727204,1.6927383535
2025-09-27,0.0101399215,1.7099025875
2025-09-28,0.0247336458,1.7521947125
2025-09-29,-0.0159354231,1.7242727484
2025-09-30,-0.0026223463,1.7197511081
2025-10-01,0.1710615638,2.013934422
2025-10-02,0.0028323015,2.0196384915
2025-10-03,-0.0124614976,1.9944707713
2025-10-04,-0.0117337619,1.9710681262
2025-10-05,0.003431473,1.9778317932
2025-10-06,-0.020298448,1.9376848774
2025-10-07,0.062483939,2.0587590611
2025-10-08,0.0084903942,2.0762387371
2025-10-09,0.0042819254,2.0851290365
2025-10-10,0.3497625286,2.8144290407
2025-10-11,0.151512743,3.2408509046
2025-10-12,0.0529868341,3.4125733339
2025-10-13,0.0381214345,3.5426655247
2025-10-14,-0.0188773294,3.4757894606
2025-10-15,-0.0353633298,3.3528739716
2025-10-16,-0.0573182527,3.160693094
2025-10-17,-0.0544047511,2.988736373
2025-10-18,-0.0028840569,2.9801166872
2025-10-19,0.0444875636,3.1126948179
2025-10-20,0.0118290626,3.1495150797
2025-10-21,-0.0019206989,3.1434658096
2025-10-22,-0.088825334,2.8642464091
2025-10-23,0.1035062388,3.1607137819
2025-10-24,0.1884480605,3.7563441639
2025-10-25,-0.0209767739,3.6775481817
2025-10-26,0.0180358092,3.743875739
2025-10-27,0.0561124358,3.9539537261
2025-10-28,0.012839767,4.0047215706
2025-10-29,0.0187290524,4.0797262108
2025-10-30,0.0034756827,4.0939060446
2025-10-31,0.014436763,4.1530087959
2025-11-01,0.0,4.1530087959
2025-11-02,0.0001402752,4.15359136
2025-11-03,0.0064776031,4.1804966763
2025-11-04,-0.4608258776,2.2540156267
2025-11-05,0.0793441829,2.4328586548
2025-11-06,0.0001387414,2.433196193
2025-11-07,-0.00172012,2.4290108036
2025-11-08,0.0,2.4290108036
2025-11-09,0.0,2.4290108036
2025-11-10,0.0,2.4290108036
2025-11-11,0.0,2.4290108036
2025-11-12,0.0,2.4290108036
2025-11-13,0.2617914924,3.0649051669
2025-11-14,0.0027815184,3.073430257
2025-11-15,0.0051693298,3.0893178316
2025-11-16,-0.0160435504,3.0397542053
2025-11-17,0.0039970901,3.0519043767
2025-11-18,0.0091878806,3.0799449097
2025-11-19,0.0088864225,3.1073146015
2025-11-20,-0.0007796021,3.1048921325
2025-11-21,0.0228723152,3.175908204
2025-11-22,-0.0064860296,3.1553091694
2025-11-23,0.0268810641,3.2401272374
2025-11-24,0.0065591125,3.2613795965
2025-11-25,-0.0040441482,3.2481900941
2025-11-26,0.0140045425,3.2936795103
2025-11-27,0.0020189657,3.3003293363
2025-11-28,0.0026100358,3.308943314
2025-11-29,-0.0006840642,3.3066797843
2025-11-30,0.001069411,3.3102159841
2025-12-01,-0.0194394204,3.2458673039
2025-12-02,0.0380350768,3.3693241161
2025-12-03,-0.0014109662,3.3645701137
2025-12-04,-0.0019605081,3.3579738467
2025-12-05,-0.0121280027,3.3172483308
2025-12-06,0.0018222454,3.3232931713
2025-12-07,-0.0012952413,3.3189887048
2025-12-08,0.0034766109,3.3305275371
2025-12-09,0.0033072088,3.3415422871
2025-12-10,0.0085415182,3.3700841313
2025-12-11,0.0,3.3700841313
2025-12-12,0.0,3.3700841313
2025-12-13,0.0048817341,3.3865359859
2025-12-14,-0.0155469253,3.3338857639
2025-12-15,-0.0055079451,3.3155229042
2025-12-16,0.0009982104,3.3188324936
2025-12-17,-0.010378956,3.2843864772
2025-12-18,-0.0105389317,3.2497725524
2025-12-19,0.0115519529,3.2873137719
2025-12-20,-0.0027131034,3.2783949497
2025-12-21,-0.0032075489,3.2678793376
2025-12-22,-0.0006764606,3.265668746
2025-12-23,-0.0019361283,3.2593459923
2025-12-24,0.0054248837,3.2770275653
2025-12-25,-0.0012736826,3.2728536723
2025-12-26,-0.0019844915,3.266358722
2025-12-27,0.0045033257,3.2810681992
2025-12-28,-5.72182e-05,3.2808804624
2025-12-29,-0.0084357715,3.2532037045
2025-12-30,0.0073078674,3.2769776858
2025-12-31,-0.0092316548,3.246725759
2026-01-01,0.0135196526,3.2906203633
2026-01-02,0.03813095,3.4160948439
2026-01-03,0.0041396796,3.430236382
2026-01-04,0.0312984025,3.537597301
