date,daily_return,equity_twr
2025-08-16,0.0076254051,1.0076254051
2025-08-17,-0.0522457637,0.9549812463
2025-08-18,-0.3141845967,0.6549408486
2025-08-19,0.2039190223,0.7884957461
2025-08-20,-0.0977424956,0.7114262041
2025-08-21,0.0002810286,0.7116261352
2025-08-22,0.4198952888,1.0104345967
2025-08-23,-0.0012584563,1.009163009
2025-08-24,-0.020715619,0.9882575726
2025-08-25,0.0106215471,0.9987543969
2025-08-26,-0.0170158799,0.981759712
2025-08-27,0.0205932772,1.0019773619
2025-08-28,0.0547833719,1.0568690604
2025-08-29,0.0015791671,1.0585380332
2025-08-30,-0.0082549352,1.0497998704
2025-08-31,-0.0809280679,0.9648415952
2025-09-01,0.0565012521,1.0193563534
2025-09-02,0.0426417334,1.0628234752
2025-09-03,-0.0274163158,1.0336847712
2025-09-04,0.1142384395,1.1517713064
2025-09-05,0.0266617672,1.1824795648
2025-09-06,0.035890743,1.224919635
2025-09-07,0.0067361311,1.2331708543
2025-09-08,-0.0048922059,1.2271379285
2025-09-09,-0.0099509312,1.2149267634
2025-09-10,0.0240048207,1.2440908625
2025-09-11,0.0198894094,1.268835095
2025-09-12,0.027397929,1.3035985489
2025-09-13,0.0172766936,1.3261204216
2025-09-14,-0.0013383989,1.3243455435
2025-09-15,-0.0799993059,1.2183988192
2025-09-16,0.0186703404,1.2411467399
2025-09-17,0.0248756992,1.2720211329
2025-09-18,0.0426250392,1.3262410836
2025-09-19,-0.0172928661,1.3033065741
2025-09-20,0.0266524753,1.3380429203
2025-09-21,0.0212226081,1.3664396809
2025-09-22,0.0232724179,1.3982400362
2025-09-23,0.0281569874,1.4376102632
2025-09-24,0.0135030325,1.4570223613
2025-09-25,0.1184974396,1.6296757806
2025-09-26,0.0261687457,1.6723223517
2025-09-27,0.0060831317,1.6824953088
2025-09-28,-0.00919612,1.66702288
2025-09-29,0.001742247,1.6699272456
2025-09-30,0.0138460976,1.6930492213
2025-10-01,-0.0710804816,1.5727064673
2025-10-02,-0.0787863154,1.4487987195
2025-10-03,-0.0099053527,1.4344478572
2025-10-04,0.024660176,1.4698215938
2025-10-05,0.0286252344,1.5118955815
2025-10-06,0.0680165427,1.6147294918
2025-10-07,-0.083458151,1.4799671541
2025-10-08,0.0213424688,1.5115533069
2025-10-09,-0.0687807922,1.407587473
2025-10-10,0.7569250288,2.4730256615
2025-10-11,0.0271700932,2.5402179992
2025-10-12,0.0303747012,2.6173763619
2025-10-13,-0.0614317427,2.4565863707
2025-10-14,0.0041482364,2.4667768717
2025-10-15,0.0696510097,2.6385903715
2025-10-16,0.0478669857,2.7648917391
2025-10-17,-0.066749324,2.5803370846
2025-10-18,-3.08868e-05,2.5802573862
2025-10-19,-0.0170438572,2.5362798478
2025-10-20,0.1106498497,2.8169188318
2025-10-21,-0.0080126688,2.7943477941
2025-10-22,0.1096909485,3.1008624541
2025-10-23,-0.0444901534,2.9629046079
2025-10-24,-0.0421689724,2.8379619652
2025-10-25,0.0134722195,2.8761956118
2025-10-26,-0.0839152678,2.6348388867
2025-10-27,-0.0411019858,2.5265417762
2025-10-28,0.1041799154,2.7897566847
2025-10-29,0.0136332331,2.8277900879
2025-10-30,0.1279682062,3.189657313
2025-10-31,-0.0695192343,2.9679147789
2025-11-01,0.0007643618,2.9701833396
2025-11-02,0.0158547364,3.0172748135
2025-11-03,0.1183245845,3.3742926021
2025-11-04,0.2214642194,4.1215776793
2025-11-05,-0.1149162626,3.6479413764
2025-11-06,0.0716502605,3.9093173263
2025-11-07,-0.0662237955,3.6504274951
2025-11-08,0.0079639772,3.6794994164
2025-11-09,-0.0455858724,3.5117662256
2025-11-10,-0.0145771811,3.4605745733
2025-11-11,0.0867961799,3.7609392265
2025-11-12,-0.0250426852,3.6667552094
2025-11-13,0.0241398543,3.7552701459
2025-11-14,0.0146180564,3.8101648967
2025-11-15,0.0102651245,3.8492767137
2025-11-16,0.0033115916,3.8620239462
2025-11-17,-0.0502855874,3.6678198035
2025-11-18,0.0891740857,3.994894281
2025-11-19,-0.0823909263,3.6657512407
2025-11-20,0.1214407469,4.1109228093
2025-11-21,0.0029164895,4.1229122725
2025-11-22,-0.0270006751,4.0115908578
2025-11-23,-0.0292797262,3.8941325758
2025-11-24,-0.1407449997,3.3460528876
2025-11-25,0.0024277848,3.354176384
2025-11-26,-0.0522492036,3.1789233392
2025-11-27,-0.0035213885,3.1677291151
2025-11-28,0.0253730428,3.2481040415
2025-11-29,0.0110888593,3.2841218102
2025-11-30,-0.0012616766,3.2799783106
2025-12-01,0.1719927616,3.8441108382
2025-12-02,-0.196800717,3.087587069
2025-12-03,-0.1641045814,2.5808998855
2025-12-04,0.0261864716,2.6484845471
2025-12-05,0.0984235521,2.9091578039
2025-12-06,0.0194045596,2.9656087299
2025-12-07,-0.1356811488,2.5632315305
2025-12-08,0.0165820564,2.6057351803
2025-12-09,-0.0318326199,2.5227878028
2025-12-10,0.0113638565,2.5514564013
2025-12-11,0.0286265985,2.6244959193
2025-12-12,-0.1021350747,2.3564428325
2025-12-13,0.0112176656,2.3828766202
2025-12-14,-0.0166209172,2.3432710252
2025-12-15,0.0433989109,2.4449664357
2025-12-16,0.0037366249,2.4541023581
2025-12-17,0.1688777446,2.8685456294
2025-12-18,0.0049495328,2.8827435901
2025-12-19,-0.1666929842,2.4022104584
2025-12-20,0.0145439305,2.4371480403
2025-12-21,-0.0173560908,2.3948486776
2025-12-22,0.0087897632,2.4158988304
2025-12-23,0.0311606034,2.4911796957
2025-12-24,-0.0004924069,2.4899530217
2025-12-25,0.0127819224,2.521779408
2025-12-26,0.0039149015,2.5316519259
2025-12-27,-0.0005769572,2.5301912711
2025-12-28,0.0002962271,2.5309407824
2025-12-29,0.0341078903,2.6172658329
2025-12-30,-0.0176636877,2.5710352666
2025-12-31,-0.0129097027,2.5378439657
2026-01-01,-0.0037019821,2.5284489128
2026-01-02,-0.0637086779,2.3673647754
2026-01-03,0.0255241024,2.4277896363
2026-01-04,-0.0151499351,2.3910087809
