date,daily_return,equity_twr
2025-07-11,0.0781991425,1.0781991425
2025-07-12,0.0338795955,1.1147280933
2025-07-13,0.0098561714,1.1257150445
2025-07-14,-0.0335788066,1.0879148767
2025-07-15,-0.02379846,1.062024178
2025-07-16,0.3789451514,1.464473091
2025-07-17,-0.0677863832,1.3652017568
2025-07-18,0.0434479929,1.4245170331
2025-07-19,-0.0023186581,1.4212140651
2025-07-20,0.0011185595,1.4228037776
2025-07-21,-0.0401558411,1.3656698952
2025-07-22,0.0320585824,1.4094513361
2025-07-23,0.0325982928,1.4553970434
2025-07-24,-0.1036473194,1.3045490412
2025-07-25,0.0713403348,1.3976160066
2025-07-26,-0.0086199283,1.3855686568
2025-07-27,-0.0433171336,1.3255497942
2025-07-28,0.0341205711,1.3707783102
2025-07-29,0.1460322817,1.5709561945
2025-07-30,-0.0133015202,1.5500600889
2025-07-31,0.3678564947,2.1202597598
2025-08-01,-0.5331506681,0.9898418523
2025-08-02,-0.0007950418,0.9890548867
2025-08-03,-0.0291973118,0.9601771428
2025-08-04,0.03068683,0.9896419355
2025-08-05,-0.042291717,0.9477882789
2025-08-06,-0.0047316608,0.9433036662
2025-08-07,-0.0015806438,0.9418126391
2025-08-08,0.24201543,1.16974583
2025-08-09,0.3943287335,1.6310102216
2025-08-10,-0.0303728406,1.5814718081
2025-08-11,-0.0216469071,1.5472378348
2025-08-12,0.1471460995,1.7749078472
2025-08-13,-0.0049957187,1.7660409069
2025-08-14,0.021650216,1.804276074
2025-08-15,-0.0034559955,1.798040504
2025-08-16,-0.0119764822,1.7765063039
2025-08-17,0.0920457878,1.9400262262
2025-08-18,-0.1596103368,1.6303779868
2025-08-19,-0.0676965995,1.5200069412
2025-08-20,-0.1042030704,1.3616175509
2025-08-21,0.0075701994,1.3719252673
2025-08-22,-0.0076148998,1.3614781938
2025-08-23,-0.0565926637,1.2844285163
2025-08-24,-0.0209026166,1.2575805994
2025-08-25,0.0219287864,1.2851578158
2025-08-26,-0.2161074273,1.0074256665
2025-08-27,0.1414908786,1.1499672092
2025-08-28,-0.01751607,1.1298243031
2025-08-29,0.0183272265,1.150530849
2025-08-30,-0.0051314704,1.144626934
2025-08-31,-0.0096062066,1.1336314112
2025-09-01,0.1472295601,1.3005354652
2025-09-02,-0.0770601627,1.2003159906
2025-09-03,0.0,1.2003159906
2025-09-04,0.0018149625,1.2024945191
2025-09-05,-0.0004137012,1.2019970457
2025-09-06,0.0,1.2019970457
2025-09-07,0.586598098,1.9070862265
2025-09-08,0.0007631667,1.9085416512
2025-09-09,-0.0791041008,1.7575681801
2025-09-10,0.02958178,1.8095601753
2025-09-11,-0.0201746227,1.7730529815
2025-09-12,0.1028189639,1.955356452
2025-09-13,-0.0233352573,1.9097277061
2025-09-14,-0.0036341574,1.902787455
2025-09-15,0.0083208569,1.9186202772
2025-09-16,0.0033210219,1.9249920571
2025-09-17,-0.0017057295,1.9217085414
2025-09-18,-0.2216125152,1.495833878
2025-09-19,-0.006770034,1.4857070318
2025-09-20,0.0005684774,1.4865516227
2025-09-21,0.8758684283,2.7885752561
2025-09-22,0.5975189898,4.454801926
2025-09-23,-0.028614144,4.3273315822
2025-09-24,0.0087466939,4.365181427
2025-09-25,0.0777963231,4.7047764917
2025-09-26,-0.0412401566,4.5107507724
2025-09-27,-0.0016738082,4.5032006408
2025-09-28,-0.4462543709,2.4936276718
2025-09-29,-0.4354097861,1.4078777806
2025-09-30,0.6096037894,2.2661254107
2025-10-01,-0.2723981044,1.6488371445
2025-10-02,-0.0193945683,1.6168586599
2025-10-03,-0.0217056481,1.5817636948
2025-10-04,0.0221093452,1.6167354543
2025-10-05,-0.1718320155,1.3389285427
2025-10-06,-0.0362728302,1.290361815
2025-10-07,0.5074681176,1.9451792963
2025-10-08,-0.0167845393,1.9125303579
2025-10-09,-0.0028161858,1.9071443171
2025-10-10,0.2301254609,2.346026782
2025-10-11,-0.3558744462,1.5111358002
2025-10-12,0.0357234098,1.5651187237
2025-10-13,-0.1529687255,1.3257045073
2025-10-14,0.0122321597,1.3419207365
2025-10-15,0.2285103375,1.6485634969
2025-10-16,0.2591035162,2.0757120956
2025-10-17,0.0368302048,2.1521609972
2025-10-18,0.0016648632,2.1557440509
2025-10-19,-0.0080260081,2.1384420316
2025-10-20,0.009574315,2.1589161493
2025-10-21,0.0003940947,2.1597669667
2025-10-22,-0.0061886754,2.14640087
2025-10-23,-0.3557356002,1.3828496682
2025-10-24,-0.0095249851,1.3696780457
2025-10-25,-0.0186967444,1.3440695254
2025-10-26,0.239135208,1.6654838709
2025-10-27,-0.1624488556,1.3949279221
2025-10-28,0.4327419794,1.9985717922
2025-10-29,-0.0183180052,1.9619619437
2025-10-30,-0.322124801,1.329965343
2025-10-31,0.0052246059,1.3369138878
2025-11-01,0.0055419002,1.3443229312
2025-11-02,-0.11123237,1.1947907055
2025-11-03,0.1968306419,1.429962127
2025-11-04,-0.0463532508,1.3636787339
2025-11-05,0.1450115299,1.5614278734
2025-11-06,-0.0077260126,1.5493642619
2025-11-07,0.0767165673,1.6682261696
2025-11-08,-0.049427172,1.5857704678
2025-11-09,0.0261876851,1.6272981254
2025-11-10,0.0358984299,1.6857155731
2025-11-11,-0.0375016378,1.6224984783
2025-11-12,-0.0306850793,1.5727119838
2025-11-13,-0.0202758577,1.5408238994
2025-11-14,0.0017861395,1.5435760258
2025-11-15,0.0013099911,1.5455980967
2025-11-16,-0.014882753,1.522595342
2025-11-17,-0.0424377396,1.4579798373
2025-11-18,-0.0152841785,1.4356958133
2025-11-19,-0.0094886989,1.422072928
2025-11-20,0.038668339,1.477062126
2025-11-21,0.0248494341,1.513766284
2025-11-22,0.0014983024,1.5160343637
2025-11-23,-0.2674751486,1.110532847
2025-11-24,0.2102824208,1.3440583824
2025-11-25,-0.0805795317,1.2357547874
2025-11-26,0.005853687,1.2429885091
2025-11-27,-0.0351216553,1.1993326951
2025-11-28,0.0073716662,1.2081737754
2025-11-29,-0.0179723799,1.1864600173
