date,daily_return,equity_twr
2025-10-17,0.0038970881,1.0038970881
2025-10-18,0.0,1.0038970881
2025-10-19,0.0,1.0038970881
2025-10-20,0.0038386895,1.0077507373
2025-10-21,0.0466432528,1.0547555097
2025-10-22,0.0021176049,1.0569890651
2025-10-23,0.0255373578,1.0839817731
2025-10-24,0.0003330431,1.0843427857
2025-10-25,0.0,1.0843427857
2025-10-26,0.0,1.0843427857
2025-10-27,0.0015070285,1.0859769212
2025-10-28,0.0,1.0859769212
2025-10-29,0.0054093607,1.0918513621
2025-10-30,0.0,1.0918513621
2025-10-31,0.0001546643,1.0920202325
2025-11-01,0.0,1.0920202325
2025-11-02,0.0,1.0920202325
2025-11-03,0.0059345844,1.0985009188
2025-11-04,0.0001480665,1.09866357
2025-11-05,-0.0001296662,1.0985211104
2025-11-06,-0.0009998966,1.0974227029
2025-11-07,0.0111509683,1.1096600287
2025-11-08,0.0008392586,1.1105913204
2025-11-09,6.123e-07,1.1105920004
2025-11-10,0.0003536138,1.1109847211
2025-11-11,0.0044224748,1.115898023
2025-11-12,0.0,1.115898023
2025-11-13,0.0258192853,1.1447097124
2025-11-14,-0.0136532258,1.1290807322
2025-11-15,0.0062571981,1.1361456141
2025-11-16,0.0011741552,1.1374796253
2025-11-17,-0.0005855037,1.1368136268
2025-11-18,0.0,1.1368136268
2025-11-19,0.0,1.1368136268
2025-11-20,0.0,1.1368136268
2025-11-21,0.3977000891,1.5889245075
2025-11-22,0.0,1.5889245075
2025-11-23,0.0,1.5889245075
2025-11-24,0.0,1.5889245075
2025-11-25,0.0,1.5889245075
2025-11-26,-0.1864610109,1.2926520376
2025-11-27,0.0634134362,1.3746235451
2025-11-28,0.0,1.3746235451
2025-11-29,0.0,1.3746235451
2025-11-30,0.1600544136,1.5946381105
2025-12-01,0.0,1.5946381105
2025-12-02,0.0,1.5946381105
2025-12-03,0.0,1.5946381105
2025-12-04,0.0,1.5946381105
2025-12-05,0.0,1.5946381105
2025-12-06,0.0,1.5946381105
2025-12-07,0.0,1.5946381105
2025-12-08,0.0,1.5946381105
2025-12-09,9.24041e-05,1.5947854616
2025-12-10,0.0,1.5947854616
2025-12-11,-0.0005487207,1.5939103698
2025-12-12,-0.0092238564,1.5792083694
2025-12-13,-0.0048030484,1.5716233552
2025-12-14,0.0316042246,1.6212932927
2025-12-15,0.110248022,1.8000376713
2025-12-16,0.0214571456,1.8386613417
2025-12-17,0.0709927879,1.9691930364
2025-12-18,0.0348956421,2.0379092918
2025-12-19,-0.0332201172,1.9702097063
2025-12-20,-0.00659553,1.9572151291
2025-12-21,0.023315624,2.0028488211
2025-12-22,0.0136763722,2.030240527
2025-12-23,-0.0011369217,2.0279323025
2025-12-24,-0.0022741056,2.0233205703
2025-12-25,0.0017845471,2.0269312812
2025-12-26,-0.0133829168,1.9998050285
2025-12-27,-0.0084943737,1.9828179372
2025-12-28,0.0054375696,1.9935996478
2025-12-29,0.0134567521,2.020427024
2025-12-30,0.00777707,2.0361400264
2025-12-31,-0.0013809787,2.0333281604
2026-01-01,-0.0116139753,2.0097131374
2026-01-02,-0.036075861,1.9372110056
2026-01-03,0.0055900943,1.9480401978
2026-01-04,-0.0251115557,1.8991218779
