date,daily_return,equity_twr
2025-07-24,0.195106579,1.195106579
2025-07-25,-0.0186250854,1.1728476169
2025-07-26,0.0058196539,1.1796731841
2025-07-27,-0.000225935,1.1794066547
2025-07-28,0.1638303244,1.3726292295
2025-07-29,0.0530514028,1.4454491356
2025-07-30,0.050999244,1.5191659488
2025-07-31,0.0431228166,1.5846766634
2025-08-01,0.0904205263,1.7279639613
2025-08-02,0.0159337502,1.7554969074
2025-08-03,-0.0178135311,1.7242253087
2025-08-04,-0.0608934035,1.6192313612
2025-08-05,0.0733826557,1.7380548587
2025-08-06,-0.0156848279,1.7107937674
2025-08-07,-0.0663183244,1.5973367913
2025-08-08,-0.0292772483,1.5505711655
2025-08-09,-0.0735361537,1.4365481259
2025-08-10,0.0130884976,1.4553503826
2025-08-11,0.131773589,1.6471271258
2025-08-12,-0.0690984736,1.5333131556
2025-08-13,-0.0768841809,1.4154256295
2025-08-14,0.0849255763,1.5356314668
2025-08-15,-0.0197293314,1.5053344847
2025-08-16,0.0161538326,1.529651406
2025-08-17,-0.0106505808,1.5133597301
2025-08-18,0.0460838807,1.5831012193
2025-08-19,0.0598027934,1.6777750945
2025-08-20,-0.0313230814,1.6252220086
2025-08-21,0.0407375307,1.6914295401
2025-08-22,-0.0910841376,1.5373671391
2025-08-23,0.0219733787,1.5711482895
2025-08-24,-0.009114192,1.5568285423
2025-08-25,0.1141643756,1.7345629008
2025-08-26,-0.0664087267,1.6193727871
2025-08-27,0.0147881557,1.6433203241
2025-08-28,-0.0056144157,1.6340940406
2025-08-29,0.040967056,1.7010380627
2025-08-30,-0.0034586504,1.6951547667
2025-08-31,-0.0098298151,1.6784917088
2025-09-01,0.0469591596,1.7573122688
2025-09-02,-0.0456709214,1.6770541983
2025-09-03,-0.0045199148,1.6694740562
2025-09-04,0.0195667247,1.7021401955
2025-09-05,-0.0061067523,1.6917456469
2025-09-06,0.0090005684,1.7069723194
2025-09-07,-0.0090038612,1.6916029775
2025-09-08,-0.0476933777,1.6109247178
2025-09-09,-0.0311512118,1.5607424607
2025-11-20,0.3174093804,2.0561367581
2025-11-21,0.0170499223,2.0911937301
2025-11-22,0.0163090185,2.1252990473
2025-11-23,-0.0080110493,2.1082731719
2025-11-24,-0.0092163847,2.0888425153
2025-11-25,0.0011364598,2.0912164008
2025-11-26,-0.0084079034,2.0736336553
2025-11-27,0.0041072113,2.0821505069
2025-11-28,0.0008303523,2.0838794254
2025-11-29,0.000585369,2.0850992638
2025-11-30,0.0029720626,2.0912963093
2025-12-01,0.0106406972,2.1135491601
2025-12-02,-0.0114612937,2.0893251525
2025-12-03,-0.0035990452,2.0818055768
2025-12-04,0.0060608174,2.0944230203
2025-12-05,0.0107874987,2.1170166059
2025-12-06,-0.0004747005,2.116011657
2025-12-07,0.0079071178,2.1327432105
2025-12-08,-0.000913713,2.1307944953
2025-12-09,0.0057598454,2.1430675421
2025-12-10,-0.0047603161,2.1328658632
2025-12-11,0.0009220273,2.1348324238
2025-12-12,0.0004980782,2.1358957373
2025-12-13,0.0006036638,2.1371851002
2025-12-14,0.0002994042,2.1378249824
2025-12-15,0.0046415474,2.1477477984
2025-12-16,0.0035383319,2.1553472429
2025-12-17,0.0087587361,2.1742253606
2025-12-18,0.0078854309,2.1913700645
2025-12-19,-0.0085100284,2.172721443
2025-12-20,-0.0012130239,2.1700858799
2025-12-21,0.0024667408,2.1754389193
2025-12-22,-0.000427454,2.1745090193
2025-12-23,0.0004794008,2.1755514806
2025-12-24,-0.0025534339,2.1699963537
2025-12-25,0.0009536363,2.172065741
2025-12-26,-0.0033146681,2.164866064
2025-12-27,-0.000474593,2.1638386337
2025-12-28,0.0020370984,2.1682465859
2025-12-29,-0.0018456808,2.1642446948
2025-12-30,-0.0005626395,2.1630270053
2025-12-31,0.0015753563,2.1664345435
2026-01-01,0.0055741861,2.1785106528
2026-01-02,-0.0002235,2.1780237557
2026-01-03,-0.0027585957,2.1720154687
2026-01-04,-0.0037685094,2.163830208
