date,daily_return,equity_twr
2025-07-11,0.0033448247,1.0033448247
2025-07-12,-0.0233203828,0.9799464393
2025-07-13,0.0093097405,0.9890694864
2025-07-14,0.0223602554,1.0111853327
2025-07-15,0.050230032,1.0619772043
2025-07-16,0.2861586892,1.365871209
2025-07-17,0.0664197102,1.4565919789
2025-07-18,-0.0009775494,1.4551680883
2025-07-19,0.0461272488,1.5222909888
2025-07-20,0.0801437621,1.6442931156
2025-07-21,0.0684835793,1.7569001936
2025-07-22,-0.0284692971,1.70688248
2025-07-23,-0.1202168889,1.5016863785
2025-07-24,0.0602154346,1.5921110765
2025-07-25,0.0169289212,1.6190637994
2025-07-26,0.0343643016,1.6747017961
2025-07-27,0.081229485,1.8107369606
2025-07-28,-0.0768804475,1.6715266927
2025-07-29,-0.0545406698,1.5803605073
2025-07-30,-0.0229857189,1.5440347849
2025-07-31,-0.0364825655,1.4877044348
2025-08-01,-0.164036211,1.2436670362
2025-08-02,-0.1218373028,1.0921419989
2025-08-03,0.1267323449,1.2305517154
2025-08-04,0.2205164527,1.5019086145
2025-08-05,-0.1423808517,1.2880655868
2025-08-06,0.1009676591,1.4181185539
2025-08-07,0.1789294079,1.6718616671
2025-08-08,0.0995526168,1.838299871
2025-08-09,0.1668450382,2.1450110832
2025-08-10,-0.0426765666,2.0534693748
2025-08-11,-0.0420262396,1.9671697789
2025-08-12,0.2217503544,2.4033903745
2025-08-13,0.0712302504,2.5745844727
2025-08-14,-0.1394924239,2.215449444
2025-08-15,-0.0280430448,2.153321496
2025-08-16,0.0060791525,2.1664118658
2025-08-17,0.0358263866,2.2440265748
2025-08-18,-0.0664314815,2.0949525649
2025-08-19,-0.1353743745,1.8113496718
2025-08-20,0.1322842996,2.0509627945
2025-08-21,-0.0553979686,1.937343622
2025-08-22,0.3375376404,2.5912700169
2025-08-23,-0.032220645,2.5077776255
2025-08-24,-0.0099170602,2.4829078439
2025-08-25,-0.2002045015,1.9858185167
2025-08-26,0.1380527123,2.2599661491
2025-08-27,-0.0453436714,2.1574909866
2025-08-28,0.0076069128,2.1739028324
2025-08-29,-0.0875100055,1.9836645836
2025-08-30,0.0043326072,1.9922590231
2025-08-31,0.0609664949,2.1137200726
2025-09-01,-0.1085364607,1.884304377
2025-09-02,0.038829727,1.9574714016
2025-09-03,0.0882182547,2.1301561123
2025-09-04,-0.0896033597,1.9392869679
2025-09-05,0.0008141003,1.940865742
2025-09-06,-0.0114650769,1.918613567
2025-09-07,0.0191335637,1.9553234819
2025-09-08,0.0426675233,2.0387522922
2025-09-09,2e-10,2.0387522926
2025-09-10,7.1e-09,2.0387523071
2025-09-11,0.0015559551,2.0419245141
2025-09-12,4.24e-08,2.0419246007
2025-09-13,8e-09,2.041924617
2025-09-14,-3.18e-08,2.0419245521
2025-09-15,-3.54e-08,2.0419244798
2025-09-16,2.58e-08,2.0419245325
2025-09-17,2.97e-08,2.0419245931
2025-09-18,2.16e-08,2.0419246372
2025-09-19,-4.78e-08,2.0419245396
2025-09-20,1.34e-08,2.041924567
