date,daily_return,equity_twr
2025-12-10,0.0192629469,1.0192629469
2025-12-11,0.0231717365,1.0428810393
2025-12-12,-4.62e-08,1.0428809911
2025-12-13,3.29e-08,1.0428810255
2025-12-14,-8.07e-08,1.0428809413
2025-12-15,-8.36e-08,1.0428808541
2025-12-16,-1.8e-08,1.0428808353
2025-12-17,-8.84e-08,1.0428807432
2025-12-18,-4.97e-08,1.0428806913
2025-12-19,1.25e-07,1.0428808217
2025-12-20,1.8e-09,1.0428808236
2025-12-21,-3.73e-08,1.0428807847
2025-12-22,-3.01e-08,1.0428807533
2025-12-23,-1.5e-08,1.0428807376
2025-12-24,-1.68e-08,1.0428807201
2025-12-25,3.28e-08,1.0428807543
2025-12-26,-2.58e-08,1.0428807274
2025-12-27,6.12e-08,1.0428807912
2025-12-28,-2.42e-08,1.042880766
2025-12-29,-3.16e-08,1.042880733
2025-12-30,-1.16e-08,1.0428807209
2025-12-31,-2.16e-08,1.0428806984
2026-01-01,9.25e-08,1.0428807949
2026-01-02,1.043e-07,1.0428809037
2026-01-03,7.35e-08,1.0428809803
2026-01-04,4.81e-08,1.0428810305
