date,daily_return,equity_twr
2025-11-13,0.1095268506,1.1095268506
2025-11-14,0.0581918692,1.174092292
2025-11-15,-0.0897888734,1.0686718678
2025-11-16,-0.0245696,1.0424150275
2025-11-17,0.0394623895,1.0835512153
2025-11-18,-0.0689511224,1.0088391428
2025-11-19,-0.1610147162,0.8464011946
2025-11-20,0.0853985859,0.9186826597
2025-11-21,0.0150054411,0.9324678982
2025-11-22,-0.0242654543,0.9098411411
2025-11-23,-0.0376639803,0.8755729022
2025-11-24,0.2390422148,1.084871788
2025-11-25,0.0521149219,1.1414097965
2025-11-26,0.0038947081,1.1458552545
2025-11-27,0.0243832692,1.1737949516
2025-11-28,0.0105226749,1.1861464143
2025-11-29,-0.048863222,1.1281874787
2025-11-30,0.000787757,1.1290762163
2025-12-01,0.0165340211,1.1477443863
2025-12-02,-0.02029925,1.1244460361
2025-12-03,0.0360255124,1.1649547807
2025-12-04,0.0624364822,1.2376904591
2025-12-05,-0.0175236891,1.2160015563
2025-12-06,-0.0259206417,1.1844820157
2025-12-07,0.0082007223,1.1941956237
2025-12-08,-0.0021956823,1.1915735495
2025-12-09,0.061047087,1.2643156437
2025-12-10,-0.0053534724,1.2575471648
2025-12-11,0.0068260924,1.2661312979
2025-12-12,0.0010638475,1.2674782685
2025-12-13,0.0094000144,1.2793925825
2025-12-14,-0.0324471405,1.2378799516
2025-12-15,-0.0192575493,1.2140414174
2025-12-16,0.0020370226,1.2165144473
2025-12-17,-0.0064936161,1.2086148695
2025-12-18,-0.0052202366,1.2023056139
2025-12-19,0.0124680586,1.2172960307
2025-12-20,-0.0054666392,1.2106415125
2025-12-21,-0.0055352414,1.2039403195
2025-12-22,0.0005064986,1.2045501136
2025-12-23,-0.0040807171,1.1996346853
2025-12-24,0.0176860051,1.2208514305
2025-12-25,-0.0013180185,1.2192423257
2025-12-26,0.0032266443,1.223176387
2025-12-27,0.0028842427,1.2267043246
2025-12-28,-0.0032818943,1.2226784107
2025-12-29,0.0138562302,1.2396201242
2025-12-30,0.0056526272,1.2466272346
2025-12-31,-0.0004894634,1.2460170562
2026-01-01,-0.0003644062,1.2455629999
2026-01-02,0.0016874894,1.2476648742
2026-01-03,0.0008293488,1.2486996236
2026-01-04,0.0021939072,1.2514391547
