date,daily_return,equity_twr
2025-07-11,0.032155802,1.032155802
2025-07-12,0.0252369484,1.0582042647
2025-07-13,0.1019527837,1.1660911352
2025-07-14,0.1213678855,1.3076171506
2025-07-15,0.0240630078,1.3390823523
2025-07-16,0.2808609731,1.7151783248
2025-07-17,0.1069128924,1.8985530005
2025-07-18,0.0159130729,1.9287648128
2025-07-19,0.0232172196,1.973545369
2025-07-20,0.125405035,2.2210378951
2025-07-21,0.0256921757,2.278101191
2025-07-22,-0.0076359438,2.2607057383
2025-07-23,-0.2443598876,1.7082799382
2025-07-24,0.0073842695,1.7208943376
2025-07-25,0.016214185,1.7487972368
2025-07-26,0.0707343022,1.872497189
2025-07-27,0.0816180269,2.025326715
2025-07-28,-0.1847145745,1.6512193526
2025-07-29,-0.0642940933,1.5450557015
2025-07-30,-0.0535226171,1.4623602768
2025-07-31,-0.0663885811,1.3652762529
2025-08-01,-0.1204237537,1.2008645617
2025-08-02,-0.0565518236,1.1329534809
2025-08-03,0.1002025913,1.2464783555
2025-08-04,0.1033313682,1.3752786694
2025-08-05,-0.0756431419,1.2712482698
2025-08-06,0.0624137962,1.3505917003
2025-08-07,0.1374031139,1.5361672055
2025-08-08,0.1186235019,1.7183927389
2025-08-09,0.0845867323,1.8637459655
2025-08-10,-0.0124335622,1.8405729641
2025-08-11,-0.0048699215,1.8316095182
2025-08-12,0.0719511372,1.963395906
2025-08-13,0.0293383751,2.0209987516
2025-08-14,-0.1344474957,1.7492805306
2025-08-15,-0.0039314906,1.7424032506
2025-08-16,-0.0025188113,1.7380144656
2025-08-17,0.0061936843,1.7487791785
2025-08-18,-0.0105565869,1.7303180392
2025-08-19,-0.0060220483,1.7198979804
2025-08-20,-0.0005144734,1.7190131386
2025-08-21,-0.0066032071,1.7076621388
2025-08-22,0.2021307617,2.0528331877
2025-08-23,-0.0050636988,2.0424382587
2025-08-24,0.0034379163,2.0494599905
2025-08-25,-0.0075486997,2.0339892325
2025-08-26,0.0131310218,2.0606975895
2025-08-27,-0.023484956,2.0123021972
2025-08-28,0.0146792473,2.0418412788
2025-08-29,0.0106238795,2.0635335546
2025-08-30,0.0010742605,2.0657503271
2025-08-31,-0.0008602246,2.0639733179
2025-09-01,-0.0343563638,1.9930626997
2025-09-02,-0.0054775561,1.982145587
2025-09-03,0.0073402658,1.9966950624
2025-09-04,-0.0307227365,1.9353511261
2025-09-05,0.0008856208,1.9370651134
2025-09-06,-0.0156703623,1.9067106012
2025-09-07,0.016408504,1.9379968698
2025-09-08,0.0261814297,1.9887363986
2025-09-09,0.0054815502,1.999637757
2025-09-10,0.0081381633,2.0159111356
2025-09-11,0.0038407349,2.0236537158
2025-09-12,0.0747754691,2.1749733717
2025-09-13,0.002099351,2.1795394043
2025-09-14,-0.0303958815,2.1132903828
2025-09-15,-0.0331706064,2.0431912593
2025-09-16,-0.0052443488,2.0324760517
2025-09-17,0.0005010237,2.0334943703
2025-09-18,0.0002687626,2.0340408976
2025-09-19,-0.0309664527,1.9710538663
2025-09-20,0.0104340402,1.9916199216
2025-09-21,-0.0150702141,1.961605783
2025-09-22,0.0597716444,2.0788541863
2025-09-23,0.0028937074,2.084869782
2025-09-24,0.0331459637,2.1539748002
2025-09-25,0.0126130396,2.1811429696
2025-09-26,0.0075860703,2.1976892735
2025-09-27,-0.0042601394,2.1883268108
2025-09-28,0.0014628323,2.191527966
2025-09-29,-0.0026662538,2.1856847962
2025-09-30,-0.0007241585,2.184102014
2025-10-01,0.0679137905,2.3324326606
2025-10-02,0.008719666,2.3527706944
2025-10-03,0.0021097742,2.3577345093
2025-10-04,-0.0199230963,2.3107611376
2025-10-05,-0.0325699986,2.2354996506
2025-10-06,0.1254070598,2.515847089
2025-10-07,-0.0735100268,2.330907102
2025-10-08,0.0230164253,2.3845562512
2025-10-09,-0.0207938988,2.3349720298
2025-10-10,-0.0857759473,2.1346875921
2025-10-11,0.0053517388,2.1461118825
2025-10-12,-0.0482587583,2.0425431879
2025-10-13,-0.0125324347,2.0169451487
2025-10-14,0.0852971661,2.1889848541
2025-10-15,-0.0025829725,2.1833307664
2025-10-16,-0.0055161814,2.1712871179
2025-10-17,0.0642399352,2.3107704616
2025-10-18,-0.0016207693,2.3070252358
2025-10-19,-7.15271e-05,2.306860221
2025-10-20,-0.0594802138,2.1696476818
2025-10-21,-0.0906106224,1.973054555
2025-10-22,-0.01440709,1.9446285804
2025-10-23,-0.018386779,1.9088731245
2025-10-24,-0.0181747774,1.8741797804
2025-10-25,-0.0056041881,1.8636765243
2025-10-26,-0.0090588802,1.846793702
2025-10-27,-0.0088680054,1.8304163254
2025-10-28,-0.0061877738,1.8190901233
2025-10-29,2.00672e-05,1.8191266273
2025-10-30,0.0,1.8191266273
2025-10-31,0.0,1.8191266273
2025-11-01,-0.0025415885,1.814503156
2025-11-02,0.0005052957,1.8154200166
2025-11-03,0.066004018,1.9352450321
2025-11-04,0.1284123439,2.1837543827
2025-11-05,-0.0303791535,2.1174137731
2025-11-06,0.0547682477,2.2333808151
2025-11-07,-0.0238508976,2.180112678
2025-11-08,-0.0154868787,2.1463495374
2025-11-09,-0.0319593946,2.0777535056
2025-11-10,-0.0377718791,1.9992728513
2025-11-11,-0.0273863314,1.9445201025
2025-11-12,0.0223355464,1.9879520215
2025-11-13,0.0437714308,2.0749675258
2025-11-14,0.0873375516,2.2561901091
2025-11-15,0.0081631996,2.2746078393
2025-11-16,-0.0002991037,2.2739274957
2025-11-17,0.0840530543,2.465058047
2025-11-18,-0.213172635,1.9395751277
2025-11-19,0.3208461772,2.5618803928
2025-11-20,-0.0015736251,2.5578489535
2025-11-21,0.0351282724,2.6477017683
2025-11-22,-0.0079716066,2.6265953314
2025-11-23,0.0141337869,2.6637190701
2025-11-24,0.0455106874,2.784946756
2025-11-25,0.000613674,2.7866558054
2025-11-26,-0.0226492238,2.7235402144
2025-11-27,0.0212632387,2.7814515001
2025-11-28,0.0133252978,2.8185151697
2025-11-29,0.005944281,2.8352692159
2025-11-30,0.0035160039,2.8452380335
2025-12-01,0.092163999,3.1074665488
2025-12-02,-0.0998163148,2.7972906895
2025-12-03,-0.026375836,2.723509809
2025-12-04,-0.0120214692,2.6907692197
2025-12-05,0.0334316202,2.7807259943
2025-12-06,0.0047717262,2.7939948574
