date,daily_return,equity_twr
2025-07-11,-0.0933466383,0.9066533617
2025-07-12,0.0120696644,0.9175963635
2025-07-13,0.0075900253,0.9245609431
2025-07-14,0.012377672,0.9360048552
2025-07-15,-0.0085417053,0.9280097776
2025-07-16,-0.0328359331,0.8975377106
2025-07-17,-0.0020179577,0.8957265175
2025-07-18,0.0350266937,0.9271008558
2025-07-19,0.0192314836,0.9449303807
2025-07-20,-0.2496190798,0.7090577286
2025-07-21,-0.0116962958,0.7007643797
2025-07-22,0.0021609406,0.7022786899
2025-07-23,0.0162395164,0.7136833562
2025-07-24,1.0,1.4273667124
2025-07-25,0.0454328054,1.4922159865
2025-07-26,0.1270551566,1.6818097223
2025-07-27,-0.0066762165,1.6705815965
2025-07-28,0.023828382,1.7103888529
2025-07-29,-0.0532293266,1.6193460061
2025-07-30,0.0661600944,1.7264820907
2025-07-31,0.023307656,1.7667223414
2025-08-01,0.0569725472,1.8673770133
2025-08-02,-0.0061762668,1.8558435947
2025-08-03,-0.0031745017,1.849952216
2025-08-04,-0.0174119195,1.817740997
2025-08-05,0.0278382393,1.8683437058
2025-08-06,-0.0064163912,1.8563556817
2025-08-07,-0.0034752892,1.8499043089
2025-08-08,-0.0222165186,1.8088058754
2025-08-09,0.0130432923,1.8323986591
2025-08-10,0.0321300415,1.8912737041
2025-08-11,0.0111634558,1.9123868545
2025-08-12,-0.0118770861,1.8896732712
2025-08-13,-0.0509595493,1.793376373
2025-08-14,0.1196635655,2.007978184
2025-08-15,0.0097641544,2.027584393
2025-08-16,-0.0069928643,2.0134057705
2025-08-17,-0.0248504432,1.9633717448
2025-08-18,-0.1264447023,1.715113789
2025-08-19,0.0403029118,1.7842378688
2025-08-20,-0.018323106,1.7515450892
2025-08-21,0.0021357011,1.755285866
2025-08-22,-0.1307030263,1.5258646913
2025-08-23,0.0146360209,1.5481972788
2025-08-24,0.0072189136,1.5593735812
2025-08-25,0.0875923253,1.6959627391
2025-08-26,-0.0046849484,1.6880172412
2025-08-27,0.000457469,1.6887894568
2025-08-28,0.0002774751,1.6892580538
2025-08-29,0.0215100987,1.7255941613
2025-08-30,0.0065169363,1.7368397485
2025-08-31,-0.0069295696,1.7248041966
2025-09-01,0.039896243,1.7936174039
2025-09-02,-0.0055430101,1.7836753645
2025-09-03,-0.0120180336,1.7622390941
2025-09-04,0.001314351,1.7645552948
2025-09-05,-0.0031613003,1.7589770056
2025-09-06,0.0015290476,1.7616665652
2025-09-07,-0.0127326853,1.7392358192
2025-09-08,0.004713811,1.7474342481
2025-09-09,-0.0111606945,1.7279316683
2025-09-10,-0.0481055292,1.644808601
2025-09-11,-0.0973127281,1.4847477888
2025-09-12,-0.0352357799,1.4324315426
2025-09-13,-0.1548072161,1.2106808032
2025-09-14,0.092949038,1.3232124192
2025-09-15,0.0256375017,1.3571362798
2025-09-16,-0.0849780385,1.2418095008
2025-09-17,-0.1387684035,1.0694855789
2025-09-18,-0.0056868377,1.063403588
