date,daily_return,equity_twr
2025-07-11,0.0018300704,1.0018300704
2025-07-12,-0.0005911502,1.0012378384
2025-07-13,-0.0184928121,0.9827221351
2025-07-14,-0.0102420583,0.9726570377
2025-07-15,-0.0250474186,0.9482944898
2025-07-16,-0.0655899654,0.886095887
2025-07-17,0.0571412322,0.9367284978
2025-07-18,0.1181519978,1.0474048412
2025-07-19,-0.0011164843,1.0462354302
2025-07-20,-0.0211523755,1.0241050655
2025-07-21,-0.0848249398,0.937235415
2025-07-22,-0.103725639,0.8400200727
2025-07-23,0.1312018097,0.9502322264
2025-07-24,0.0665030771,1.0134255934
2025-07-25,-0.0414428882,0.9714263098
2025-07-26,-0.0728580924,0.900650042
2025-07-27,-0.0551227167,0.8510037649
2025-07-28,0.1247954563,0.957205168
2025-07-29,0.1342885284,1.0857468414
2025-07-30,0.0599396355,1.1508261113
2025-07-31,0.0611304902,1.2211766756
2025-08-01,0.0595989089,1.2939574731
2025-08-02,0.0278498179,1.3299939531
2025-08-03,-0.0611226553,1.2487011911
2025-08-04,-0.0440005786,1.1937576162
2025-08-05,0.1132633958,1.3289666576
2025-08-06,-0.0555577561,1.2551322522
2025-08-07,-0.0695261435,1.1678677471
2025-08-08,-0.0142592517,1.1512148269
2025-08-09,-0.0764400584,1.0632158983
2025-08-10,0.0203570202,1.0848598059
2025-08-11,0.106741858,1.2006597572
2025-08-12,-0.0714622341,1.1148579286
2025-08-13,-0.0274387752,1.0842675925
2025-08-14,0.2226029297,1.3256287351
2025-08-15,0.0083439144,1.3366896678
2025-08-16,-0.0169094565,1.314086972
2025-08-17,-0.0156486614,1.29352327
2025-08-18,0.0681616519,1.3816919528
2025-08-19,0.0704750208,1.4790667219
2025-08-20,-0.0278528903,1.4378704388
2025-08-21,0.0325010498,1.4846027375
2025-08-22,-0.0780928983,1.3686658069
2025-08-23,0.0171938013,1.3921983749
2025-08-24,0.0143822945,1.4122213819
2025-08-25,0.0760545137,1.5196271923
2025-08-26,-0.034374672,1.467390506
2025-08-27,0.0143801267,1.4884917674
2025-08-28,-0.0093200659,1.4746189261
2025-08-29,0.0381521065,1.5308787444
2025-08-30,-0.0136354964,1.5100044528
2025-08-31,-0.0125261988,1.4910898368
2025-09-01,0.0787412337,1.6085000901
2025-09-02,-0.034146114,1.5535760627
2025-09-03,-0.0179904497,1.5256265306
2025-09-04,0.0564770577,1.6117894282
2025-09-05,-0.0135823074,1.5898976088
2025-09-06,-0.0245276064,1.550901226
2025-09-07,-0.0287365891,1.5063336147
2025-09-08,-0.1167964186,1.3303992433
2025-09-09,-0.0458789943,1.269361864
2025-09-10,-0.1569646764,1.0701168898
2025-09-11,0.0009561405,1.0711400719
2025-09-12,-0.0076606735,1.0629344175
2025-09-13,0.0013748467,1.0643957894
2025-09-14,0.0223086844,1.0881410592
2025-09-15,0.0443131617,1.1363600299
2025-09-16,0.0178273978,1.1566183722
2025-09-17,-0.0097719005,1.1453160125
2025-09-18,0.0031497462,1.1489234673
2025-09-19,-0.001482005,1.1472207569
2025-09-20,-0.0258548702,1.1175595132
2025-09-21,-0.0216810274,1.0933296748
2025-09-22,0.0801054499,1.1809113402
2025-09-23,0.0476977575,1.237238163
2025-09-24,-0.0291763055,1.2011401244
2025-09-25,0.1130251667,1.3368991871
2025-09-26,-0.0282806873,1.2990907593
2025-09-27,-0.0341033513,1.2547874107
2025-09-28,0.009483592,1.2666873026
2025-09-29,0.0252754699,1.2987034194
2025-09-30,0.0414623668,1.3525507369
2025-10-01,-0.0155868963,1.3314686688
2025-10-02,-0.0092981175,1.3190885167
2025-10-03,-0.0458580542,1.258597684
2025-10-04,0.0300178712,1.2963781072
2025-10-05,0.0417509484,1.3505031226
2025-10-06,-0.087875614,1.2318268315
2025-10-07,-0.009498095,1.2201268233
2025-10-08,0.0401472242,1.2691115284
2025-10-09,0.0728714981,1.3615935867
2025-10-10,0.5028017971,2.046205289
