date,daily_return,equity_twr
2025-07-11,0.0973360493,1.0973360493
2025-07-12,-0.0287127796,1.0658284812
2025-07-13,-0.0113866812,1.053692232
2025-07-14,-0.0196038393,1.0330358189
2025-07-15,0.1265790051,1.163796465
2025-07-16,-0.2410639802,0.883247057
2025-07-17,0.0481717922,0.9257946507
2025-07-18,0.1939870501,1.105386824
2025-07-19,-0.0869679243,1.0092536264
2025-07-20,0.0177458816,1.0271637217
2025-07-21,-0.1183019546,0.9056482458
2025-07-22,-0.041308353,0.8682374083
2025-07-23,0.2079751404,1.0488092052
2025-07-24,0.1680367907,1.2250477381
2025-07-25,-0.02794181,1.190817687
2025-07-26,-0.0033526738,1.1868252637
2025-07-27,-0.2206549919,0.9249463448
2025-07-28,0.1488132632,1.0625906286
2025-07-29,0.0389582588,1.1039873093
2025-07-30,0.0693032541,1.1804972224
2025-07-31,0.0420875597,1.2301814697
2025-08-01,0.1102810607,1.365847187
2025-08-02,0.0629602816,1.4518413105
2025-08-03,-0.0709348172,1.3488552126
2025-08-04,-0.1124680314,1.1971521222
2025-08-05,0.1592925363,1.38784952
2025-08-06,-0.0394811838,1.3330555781
2025-08-07,-0.1503305503,1.1326565994
2025-08-08,-0.0773602607,1.0450339896
2025-08-09,-0.1220918092,0.9174438991
2025-08-10,0.0729633338,0.9843836646
2025-08-11,0.075502725,1.0587073137
2025-09-06,0.3383275877,1.4168972053
2025-09-07,-0.0833297953,1.2988274512
2025-09-08,-0.3018397524,0.9067896949
2025-09-09,0.1449200138,1.03820167
2025-09-10,-0.1760069132,0.8554709988
2025-09-11,-0.0613750704,0.802966406
2025-09-12,-0.004507329,0.7993471722
2025-09-13,-0.0707319931,0.7428077536
2025-09-14,0.1580961317,0.860242786
2025-09-15,0.1571214471,0.9954053774
2025-09-16,-0.0562832025,0.939380775
2025-09-17,-0.0884537048,0.8562890652
2025-09-18,-0.0913407886,0.7780749467
2025-09-19,0.2815197436,0.9971184062
2025-09-20,0.0831632828,1.0800420462
