date,daily_return,equity_twr
2025-12-15,0.0,1.0
2025-12-16,0.0,1.0
2025-12-17,0.0224865034,1.0224865034
2025-12-18,0.068603191,1.0926323403
2025-12-19,0.3195497048,1.4417826821
2025-12-20,0.0005991695,1.4426465543
2025-12-21,0.2937741015,1.8664587496
2025-12-22,0.0,1.8664587496
2025-12-23,0.0,1.8664587496
2025-12-24,0.0,1.8664587496
2025-12-25,0.0,1.8664587496
2025-12-26,0.0,1.8664587496
2025-12-27,-0.0025162846,1.8617622082
2025-12-28,0.0,1.8617622082
2025-12-29,0.0,1.8617622082
2025-12-30,0.0,1.8617622082
2025-12-31,0.0,1.8617622082
2026-01-01,0.0,1.8617622082
2026-01-02,-0.0080909526,1.8466987784
2026-01-03,0.1417197147,2.1084124024
2026-01-04,0.0687034805,2.2532676728
