trader,num_return_days,avg_equity,max_net_deposit,is_kept,pos_day_ratio,avg_gain,avg_loss,payoff_ratio,mean_return,std_return,skew_return,kurtosis_excess,p1_return,p5_return,p95_return,p99_return,tail_avg_5pct,max_drawdown_synth,worst_5d_return,worst_10d_return,acf1_return,acf1_abs_return,ret_prev_equity_corr,mean_return_big_equity,mean_return_small_equity,num_active_days,active_day_ratio,max_gap_calendar_days
0x001a1a5eb6800e78197b92a527b3ba8b8d5bfef6,62,352482.2498768413,486706.4200000000,1,0.5000000000,0.1750658587,-0.1422687598,1.2305291678,0.0163985494,0.2401282119,0.9311724810,3.7255430142,-0.6604150734,-0.3047185834,0.3516397460,0.4978000963,-0.4349775371,0.7852790918,-0.5577543684,-0.6819705503,-0.0182719829,0.3927909671,-0.1260159515,-0.0091939472,0.0436972125,62,1.0000000000,25
0x001aba20579795e6ddb8e04ea0a49f44247f09f9,1,1842.4693990000,1842.4600000000,0,0.0000000000,,,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,0.0000000000,,0,0.0000000000,0
0x00303dcbf28e9ca0021b8d0dc5c8708f1f9d378f,46,3683.0718480000,2998.6200000000,0,0.0000000000,,,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,0,0.0000000000,1
0x00683a1bc0171aae299ac7d922c6b9d58b5a9484,1,15521.1895880000,18000.0000000000,0,1.0000000000,0.1578145087,,,0.1578145087,0.0000000000,,,0.1578145087,0.1578145087,0.1578145087,0.1578145087,0.1578145087,0.0000000000,,,,,,0.1578145087,,1,1.0000000000,0
0x006c179d39697cb3b44dfb94d5516041d3fc4c33,3,5698.3974862500,4790.0000000000,0,1.0000000000,0.1248759742,,,0.1248759742,0.0793948092,0.3535939440,-2.0000000000,0.0573804806,0.0573804806,0.1048947299,0.1048947299,0.0573804806,0.0000000000,,,-1.0000000000,-1.0000000000,-0.8561653685,0.0811376052,0.2123527122,3,1.0000000000,1
0x00db0a3628191bed577700b1b4ff8423d3215792,108,5149.1963175780,3682.6800000000,1,0.5462962963,0.0712001342,-0.0564588731,1.2610973317,0.0132807698,0.0995107644,1.2609439550,5.8631329684,-0.2576670222,-0.1106378325,0.1464084069,0.2718269527,-0.1896649591,0.4012273019,-0.2588989282,-0.1416110314,-0.2299161776,0.1506051247,-0.1536137681,-0.0012244603,0.0283333670,108,1.0000000000,52
0x0101eaee8d0013234c32936963ff504a9954220b,114,13149.3371315130,6038.1100000000,1,0.4561403509,0.0899653998,-0.0456513017,1.9707083119,0.0238174984,0.1477733208,3.1619940075,14.6327590695,-0.2883069374,-0.1096042920,0.2447780930,0.6727663718,-0.2366839352,0.4441032604,-0.3991833882,-0.1494501841,0.1835615197,0.6060406027,-0.3907040543,-0.0079100696,0.0566781938,95,0.8333333333,27
0x0111d73d765d9300bbd0cbc03159b7032b0b06d7,1,21309.1521088333,53792.6700000000,0,1.0000000000,0.4233042123,,,0.4233042123,0.0000000000,,,0.4233042123,0.4233042123,0.4233042123,0.4233042123,0.4233042123,0.0000000000,,,,,,0.4233042123,,1,1.0000000000,0
0x011af0d7a38f1b1b43cffd7a51e1aa38d1c61ece,173,913320.9265234194,1870214.0100000000,1,0.5375722543,0.0985934225,-0.0902570661,1.0923623683,0.0112637168,0.1417403985,0.5044559631,5.5340938510,-0.3663507627,-0.1735910498,0.2288465015,0.3197323673,-0.3054881536,0.8668442423,-0.7921324996,-0.7967652369,-0.0095567132,0.1474036893,0.0843283399,0.0168510785,0.0056113858,173,1.0000000000,6
0x0146170a34bc0074f5944fd008cccf4d764ed386,140,35177.9403247234,10000.0000000000,1,0.3285714286,0.0532056481,-0.0625226242,0.8509823245,0.0000648391,0.0655591338,0.3722802376,6.7866319709,-0.2179822168,-0.1017878474,0.0955446634,0.2281593481,-0.1572050887,0.6428351187,-0.3794044278,-0.4459517036,-0.1471527242,0.5000558513,-0.1050482650,-0.0030594970,0.0042306205,85,0.6071428571,27
0x01cc2fc149c4c0b1c7d7d253e793115b31e25a03,90,6605.6764515934,3888.2700000000,1,0.0222222222,0.3251342313,,,0.0072252051,0.0548106566,8.3294879703,70.5077763097,0.0000000000,0.0000000000,0.0000000000,0.1509959173,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0177730154,-0.0177730154,0.0979494877,0.0072252051,,2,0.0222222222,57
0x0203a5b9ec08244801b0fee5479d9a14903b279e,1,511.8631372549,8088.4800000000,0,0.0000000000,,,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,0.0000000000,,0,0.0000000000,0
0x022e3ce4eda264b3e3fef62036c8182ceb88e6ce,28,9264.2596929552,197195.0500000000,0,0.4285714286,0.0157791011,-0.0814054648,0.1938334376,-0.0397549366,0.1899056371,-4.7735581472,21.2160161356,-1.0000000000,-0.0822873729,0.0292635067,0.0393884055,-1.0000000000,1.0000000000,-1.0331266788,-1.0262651710,-0.0292939487,-0.0628137634,-0.2039738184,-0.0708005025,-0.0039331298,28,1.0000000000,1
0x023a3d058020fb76cca98f01b3c48c8938a22355,172,22024276.6710380279,19080800.2100000009,1,0.5465116279,0.0604087994,-0.0630488015,0.9581276397,0.0044222129,0.0906941131,0.3946061290,3.1166991203,-0.2478230163,-0.1452443228,0.1515351157,0.2589535772,-0.2054371376,0.5259361649,-0.3585496994,-0.5724639988,-0.2528212058,0.1756783484,-0.0000930642,0.0071809076,0.0015986078,172,1.0000000000,6
0x027717f112baa657c224eadadbb02602b463508b,172,146742.7081051618,236000.1300000000,1,0.4883720930,0.1149724607,-0.1079838529,1.0647190081,0.0009017887,0.1495539877,-0.1483914188,0.9163944384,-0.4670042940,-0.2337512931,0.2662697722,0.3327385640,-0.3592785078,0.9170369696,-0.9182360634,-1.2597596106,-0.0579714713,-0.0405344029,-0.0413235027,-0.0095246761,0.0115735820,172,1.0000000000,6
0x0284bbd3646b59740a167ef78a306028343f3806,147,1120193.9367666419,549908.5000000000,1,0.3401360544,0.1082705269,-0.1144670061,0.9458666792,0.0080152865,0.1414098356,-1.5202020090,19.1954095463,-0.3233722005,-0.1615485204,0.1458931589,0.4776199750,-0.3361061785,1.0000000000,-0.6809624273,-0.7716338283,-0.1804805686,0.2966794102,-0.0133189138,0.0151841226,0.0007482472,87,0.5918367347,26
0x028b9b041171529590cf216df3396cb6cda067ff,2,2567.4282080000,2298.9300000000,0,0.0000000000,,,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,0,0.0000000000,1
0x02fbbf39d1e3c142994b383af5ac3f2ad744cda9,74,517085.7331848533,463433.8600000000,1,0.5675675676,0.0040597896,-0.0008812736,4.6067299184,0.0020660228,0.0083227859,6.4050246904,45.3903062682,-0.0043277405,-0.0024237110,0.0091390994,0.0204320369,-0.0039248486,0.0050002233,-0.0047803263,-0.0044868029,-0.0492142928,-0.0354572923,-0.2153676606,0.0001350593,0.0041042621,48,0.6486486486,6
0x0319b88008686bcf15c8d0955b90b18050c661d2,131,30616.2833425076,19515.4200000000,1,0.4961832061,0.0578605352,-0.0386358612,1.4975862681,0.0092440301,0.0916460596,3.1560833787,18.8609053997,-0.1438315067,-0.1035150385,0.1065464872,0.3014468923,-0.1447052669,0.4420561030,-0.3678949308,-0.4429473820,-0.0472025659,0.2346623243,-0.1205397778,0.0003111302,0.0183143594,131,1.0000000000,48
0x032a3141ef7f25987712c21dda808fee1cb26d83,31,2822.8784240312,2789.8800000000,1,0.0322580645,0.0251515448,-0.0013752043,18.2893151221,0.0007669787,0.0045323116,5.1829577164,24.9317428013,-0.0013752043,0.0000000000,0.0000000000,0.0000000000,-0.0013752043,0.0013752043,-0.0013752043,-0.0013752043,-0.0867904407,0.0182197165,-0.1862960031,-0.0000458401,0.0251515448,2,0.0645161290,1
0x033ca93c6a1072294ccfd4bdba6a60c655f7e0a8,2,15172.1556880000,14918.8800000000,0,0.0000000000,,,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,0,0.0000000000,1
0x03536c41ec91b13d366c5db4420a0c9326375048,25,2758.0921978846,3961.6500000000,0,0.1600000000,1.0000000000,-1.0000000000,1.0000000000,-0.0400000000,0.6110100927,0.0140282929,-0.3315306122,-1.0000000000,-1.0000000000,1.0000000000,1.0000000000,-1.0000000000,1.0000000000,-3.0000000000,-3.0000000000,0.4724995386,0.9128709292,0.0890870806,0.0000000000,-0.1111111111,9,0.3600000000,17
0x036f299a1ac3e8ad4ba6d3c1bb390e9606aa193d,16,1903.7251750000,1898.8700000000,0,0.0000000000,,,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,0,0.0000000000,23
0x03c23d5f89defdd0854483b06761a9e7896a47cf,106,42205.7364532056,40872.7600000000,1,0.2735849057,0.1552717979,-0.1010912800,1.5359563941,0.0091008240,0.1281454433,0.7139851262,2.4341260217,-0.2992292724,-0.1874957720,0.2343392492,0.3433049626,-0.2755554255,0.6800553255,-0.5550797004,-0.4220342455,0.0040918366,0.4183030663,0.0546999415,0.0150319060,0.0029416234,64,0.6037735849,4
0x03cc42c316c621ea89968851a68c51f76f79cdde,1,3847.2954785000,2319.7100000000,0,1.0000000000,0.1062867927,,,0.1062867927,0.0000000000,,,0.1062867927,0.1062867927,0.1062867927,0.1062867927,0.1062867927,0.0000000000,,,,,,0.1062867927,,1,1.0000000000,0
0x03d50cdc277f5fe70259511d56ea4c5a760064ef,135,5439.2617312059,7475.5500000000,1,0.3925925926,0.0336593665,-0.0143424969,2.3468275323,0.0079023821,0.0505499856,0.9805894170,16.4832749447,-0.0827856123,-0.0184550143,0.0699708458,0.1956765062,-0.0859471708,0.3310015313,-0.2870649759,-0.2870649759,0.0617305238,0.3032280483,0.1458136947,0.0180663172,-0.0024132535,103,0.7629629630,44
0x03dbcdfe309de0d43c739181c8c60c1bc85a92df,61,1570.6333800000,1047.0200000000,0,0.0000000000,,,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,0,0.0000000000,38
0x03e5bea5deed3682e6d131ed46a0e2bc15c76145,15,676.6655290000,3344.5200000000,0,0.7333333333,1.0000000000,-1.0000000000,1.0000000000,0.5333333333,0.8338093878,-1.2135533143,-0.4603490336,-1.0000000000,-1.0000000000,1.0000000000,1.0000000000,-1.0000000000,1.0000000000,1.0000000000,4.0000000000,-0.3169833890,0.0000000000,-0.1769495821,0.5333333333,,14,0.9333333333,88
0x04027058bb4aff889402ffb6e4743a96ce88149a,104,167809.8375445048,38984.6700000000,1,0.0865384615,0.0064893788,-0.0242762089,0.2673143402,-0.0024729453,0.0112209665,-3.1771051291,13.8998519517,-0.0534687689,-0.0271000735,0.0000566770,0.0098678702,-0.0448756847,0.2396705283,-0.0732753316,-0.1019924740,-0.0768413963,0.1364167395,0.1550510036,-0.0011399390,-0.0045212232,21,0.2019230769,16
0x0468aece9ee888878f7d8130c2882f61e3cf677a,59,773.5233543791,1757065.8799999999,0,0.0169491525,1.0000000000,,,0.0169491525,0.1301889110,7.4207679259,53.0508474576,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0175438596,-0.0175438596,0.1087320564,0.0285714286,0.0000000000,1,0.0169491525,27
0x0475e30017e5a4efe79cdc856740088f410fee99,86,3102.7325096207,1336.4600000000,1,0.1860465116,0.1094947380,-0.0457753014,2.3920047438,0.0150484046,0.0741433002,5.3259180759,36.5616148188,-0.0874268760,-0.0530075086,0.1004634203,0.1753754297,-0.0718904179,0.1347272276,-0.0855284377,-0.0000000000,0.0229349249,0.2320945232,-0.3036101071,0.0000000000,0.0369760798,26,0.3023255814,8
0x04a6a14a937c8e2a8e848610a98008cd8e0342e0,5,1738.1462753333,5105.0000000000,0,0.4000000000,0.4498953290,,,0.1799581316,0.3816910836,1.3356104191,-0.4074523177,0.0000000000,0.0000000000,0.0376664091,0.0376664091,0.0000000000,0.0000000000,0.8997906579,,-0.2936671859,-0.2936671859,-0.2083975614,0.1799581316,,2,0.4000000000,1
0x04a94b61531a1b3a3b5bbd01dab4522f297468be,172,88993.7139138902,39969.6100000000,1,0.5232558140,0.0367021590,-0.0397988291,0.9221919312,0.0002307577,0.0524387394,-0.4371180771,2.3813678450,-0.1660125804,-0.0860124322,0.0756419048,0.1323891706,-0.1295311957,0.5991366892,-0.3612850405,-0.3750083171,0.0469062183,0.1782321412,-0.0576537849,-0.0061045237,0.0067151046,172,1.0000000000,7
0x04b4e791a7119ecaf503f9f8f3526fc8a0746e6a,13,949.5471879570,30860.4500000000,0,0.0000000000,,,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,0,0.0000000000,1
0x04c6436109ade28b6eb0e01f8bc30869eacb1c83,178,21863.4233406648,13857.6500000000,1,0.5224719101,0.0612107227,-0.0579667379,1.0559628660,0.0043001376,0.0819162353,0.3371011230,1.2582402723,-0.1838227548,-0.1256658422,0.1694104652,0.2137116160,-0.1693776240,0.6548950031,-0.3780362606,-0.4943296656,-0.0645587623,0.0900338377,-0.1348763371,-0.0110418907,0.0199908483,178,1.0000000000,1
0x04c8e82bbd0a33d3179e767c262223f50e74f7d2,173,17724.5986073333,12255.1900000000,1,0.4566473988,0.0162413270,-0.0136697622,1.1881206746,0.0009372505,0.0228763921,-0.6503133712,11.5104321460,-0.0533635996,-0.0269000033,0.0320190760,0.0734272373,-0.0515067942,0.2472438924,-0.2229382854,-0.2181658611,0.0154505713,0.2274839458,-0.1249814978,-0.0021426119,0.0040529253,160,0.9248554913,6
0x04f1c585053a03fb57698849803e90ce44912ebd,1,1884.4816280000,2826.7000000000,0,0.0000000000,,,,0.0000000000,0.0000000000,,,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,,,,,,0.0000000000,,0,0.0000000000,0
0x05245ef7f5e5fa2db758ab31292ce73487043971,145,122119.9416101164,40440.4600000000,1,0.1862068966,0.0164034572,-0.0141794909,1.1568438789,0.0007074866,0.0119583712,-0.0723738161,4.2844563198,-0.0412233779,-0.0168941615,0.0236768147,0.0359451595,-0.0329267628,0.0746952096,-0.0529712823,-0.0606172668,-0.0822826021,0.3592491063,-0.0609049678,-0.0003779641,0.0019030556,50,0.3448275862,24
0x052ad64f9ceb6d6138467068c3e2f57e9f9d91c7,95,3254.6429268958,2992.5800000000,1,0.2105263158,0.0228280319,-0.0058012576,3.9350143310,0.0038899134,0.0199633254,4.5255270437,22.4504922622,-0.0266073300,-0.0061916321,0.0238718536,0.0945941716,-0.0174159296,0.0539104245,-0.0505767285,-0.0454430526,0.3837728107,0.4500208901,-0.5614601831,-0.0007059930,0.0235501796,35,0.3684210526,42
0x054a01da80ee37d5220af5471b1eedbdcd2cdb2f,172,629411.2940956763,415853.8800000000,1,0.5232558140,0.0356482367,-0.0193156251,1.8455647437,0.0094445351,0.0566803971,3.1723439409,15.8265276485,-0.1220076806,-0.0552370504,0.0714316808,0.2648052057,-0.0818809858,0.2574761972,-0.1729519011,-0.1836172272,-0.1377679907,0.2306165760,-0.1212752602,0.0048075930,0.0141905818,172,1.0000000000,7
